id,source_edge_id,doc_id,sentence_id,sentence_text,subj_canonical_id,subj_canonical_term,rel_text,obj_canonical_id,obj_canonical_term,rel_len,has_prep,is_generic_rel,rel_support_total,rel_support_subj,rel_support_obj,accept,normalized_relation,reason,evidence,model_name,created_at
11,52,doc_915b,doc_915b_sent_00017,"Slurm
Beginning with version 23.11, Slurm has its own plugin that can create and validate credentials.",50,slurm,have,106,plugin,4,0,1,130,52,72,1,unknown,Slurm has its own plugin,Slurm has its own plugin that can create and validate credentials.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
12,56,doc_915b,doc_915b_sent_00047,"If the cluster does not have access to consistent user ids from LDAP or the operating system, you can use the use_client_ids option to allow it to use the Slurm authentication mechanism.",340,cluster,have,4174,access,4,0,1,130,52,72,1,unknown,The sentence states that the cluster 'has' access.,"If the cluster does not have access to consistent user ids from LDAP or the operating system, you can use the use_client_ids option to allow",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
13,58,doc_582b,doc_582b_sent_00001,"This document contains Slurm administrator information specifically for clusters containing 1,024 nodes or more. Some examples of large systems currently managed by Slurm are:
Frontier at Oak Ridge National Laboratory (ORNL) with 8,699,904 cores.",41,document,contain,42,slurm administrator information,7,0,1,22,16,15,1,unknown,The sentence explicitly states that the document contains Slurm administrator information.,"This document contains Slurm administrator information specifically for clusters containing 1,024 nodes or more.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
14,59,doc_582b,doc_582b_sent_00022,The version of systemd shipped with SLES 12 SP2 contains support for the PIDs cgroup controller.,1418,version,contain,2122,support,7,0,1,22,16,15,1,unknown,The sentence states that the version contains support.,The version of systemd shipped with SLES 12 SP2 contains support for the PIDs cgroup controller.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
15,70,doc_582b,doc_582b_sent_00051,"Other
Slurm uses hierarchical communications between the slurmd daemons in order to increase parallelism and improve performance.",50,slurm,use,183,communication,3,0,1,63,35,45,1,uses,"The sentence states that Slurm 'uses' hierarchical communications, which matches the 'uses' relation.",Slurm uses hierarchical communications between the slurmd daemons in order to increase parallelism and improve performance.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
16,73,doc_6722,doc_6722_sent_00003,The Slurm burst buffer plugins call a script at different points during the lifetime of a job:,6272,slurm burst buffer plugin,call,115,script,4,0,1,5,5,3,1,unknown,The sentence states that the plugins 'call' a script.,The Slurm burst buffer plugins call a script at different points during the lifetime of a job:,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
17,76,doc_6722,doc_6722_sent_00012,"Slurm provides support for allocating these resources, staging files in, scheduling compute nodes for jobs using these resources, and staging files out.",50,slurm,provide,2122,support,7,0,1,42,27,28,1,unknown,The sentence explicitly states that Slurm 'provides support' for the listed functions.,"Slurm provides support for allocating these resources, staging files in, scheduling compute nodes for jobs using these resources, and staging files out.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
18,86,doc_6722,doc_6722_sent_00038,The lua plugin calls a single script which must be named burst_buffer.lua.,834,lua plugin,call,115,script,4,0,1,5,5,3,1,unknown,The sentence explicitly states that the lua plugin 'calls' a script.,The lua plugin calls a single script which must be named burst_buffer.lua.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
19,87,doc_6722,doc_6722_sent_00044,"Lua scripts may either be run by themselves in a separate process via the fork() and exec() system calls, or they may be called via Lua's C API from within an existing process. One of the goals of the lua plugin was to avoid calling fork() from within slurmctld because it can severely harm performance of the slurmctld. The datawarp plugin calls fork() and exec() from slurmctld for every burst buffer API call, and this has been shown to severely harm slurmctld performance. Therefore, slurmctld calls burst_buffer.lua using Lua's C API instead of using fork().",801,slurmctld,call,6323,burst_buffer.lua,4,0,1,5,5,3,1,unknown,The sentence states that slurmctld 'calls' burst_buffer.lua using Lua's C API.,slurmctld calls burst_buffer.lua using Lua's C API instead of using fork().,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
20,88,doc_6722,doc_6722_sent_00054,"Whenever one of these functions needs to run, slurmctld tells slurmscriptd to run that function; slurmscriptd then calls fork() to create a new process, then calls the appropriate function.",6364,slurmscriptd,call,3081,fork,4,0,1,5,5,3,1,unknown,The sentence states that'slurmscriptd then calls fork()' which is a clear call relation.,"Whenever one of these functions needs to run, slurmctld tells slurmscriptd to run that function; slurmscriptd then calls fork() to create a new process.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
21,123,doc_6722,doc_6722_sent_00168,units has the same format as the suffix of capacity in the Job Submission Commands section.,2598,unit,have,573,format,4,0,1,130,52,72,1,unknown,The sentence states that 'units' have the'same format' as the suffix of 'capacity'. This implies a 'has' relation.,units has the same format as the suffix of capacity,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
22,131,doc_6722,doc_6722_sent_00193,"Examples include:
Burst buffer operation failures:
If teardown fails, then the burst buffer state changes to teardown-fail. Teardown will be retried. For the burst_buffer/lua plugin, teardown will run a maximum of 3 times before giving up and destroying the burst buffer.",6276,teardown,run,6344,maximum,3,0,1,31,17,11,1,runs_on,Teardown runs a maximum number of times on the burst buffer.,Teardown will run a maximum of 3 times before giving up and destroying the burst buffer.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
23,134,doc_6722,doc_6722_sent_00199,"If slurmctld is stopped, Slurm kills all running burst buffer scripts for all jobs and burst buffer state is saved for each job. When slurmctld restarts, for each job it reads the burst buffer state and does one of the following:
Pending - Do nothing, since no burst buffer scripts were killed.",8141,slurmctld restart,read,6563,burst buffer state,4,0,1,8,8,6,1,reads_from,Slurm reads burst buffer state when restarting slurmctld,"If slurmctld is stopped, Slurm kills all running burst buffer scripts for all jobs and burst buffer state is saved for each job. When slurmctld",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
24,136,doc_ebf2,doc_ebf2_sent_00004,"Slurm plugins can use several of these controllers, e.g.: memory, cpu, devices, freezer, cpuset, cpuacct. Each enabled controller gives the ability to constrain resources to a set of processes.",813,controller,give,4225,ability,4,0,1,3,3,3,1,unknown,The sentence states that 'each enabled controller gives the ability to constrain resources to a set of processes'.,"Slurm plugins can use several of these controllers, e.g.: memory, cpu, devices, freezer, cpuset, cpuacct. Each enabled controller gives the ability to constrain resources to",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
25,138,doc_ebf2,doc_ebf2_sent_00029,"For example, when using proctrack/cgroup, a single step has its own cgroup.procs file, so getting the pids of the step is instantaneous.",1009,step,have,59,file,4,0,1,130,52,72,1,unknown,The sentence states that a'single step' 'has' a 'cgroup.procs file'.,"For example, when using proctrack/cgroup, a single step has its own cgroup.procs file.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
26,140,doc_ebf2,doc_ebf2_sent_00047,"While the cgroup plugin just reads a cgroup.stats file and similar containing the information for the entire subtree of pids, the linux plugin gets information from /proc/pid/stat for every pid and then does the calculations, thus becoming a bit less efficient (thought not noticeable in the practice) than the cgroup one.",11632,cgroup plugin,read,59,file,4,0,1,8,8,6,1,reads_from,The sentence states that the cgroup plugin'reads a cgroup.stats file' and the object is a 'file'.,"While the cgroup plugin just reads a cgroup.stats file and similar containing the information for the entire subtree of pids,",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
27,141,doc_ebf2,doc_ebf2_sent_00047,"While the cgroup plugin just reads a cgroup.stats file and similar containing the information for the entire subtree of pids, the linux plugin gets information from /proc/pid/stat for every pid and then does the calculations, thus becoming a bit less efficient (thought not noticeable in the practice) than the cgroup one.",106,plugin,get,275,information,3,0,1,27,11,15,1,unknown,The sentence states that the linux plugin 'gets information' from /proc/pid/stat for every pid.,"While the cgroup plugin just reads a cgroup.stats file and similar containing the information for the entire subtree of pids, the linux plugin gets information",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
28,146,doc_c721,doc_c721_sent_00003,"Machine Allocation
The chart above shows the resources of the machine allocated to four accounts: A, B, C and D. Furthermore, account A's shares are allocated to sub-accounts A1 through A4.",1757,allocation,show,1749,resource,4,0,1,13,8,12,1,unknown,The sentence states that the chart shows the resources of the machine allocated to accounts.,"The chart above shows the resources of the machine allocated to four accounts: A, B, C and D.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
29,151,doc_c721,doc_c721_sent_00040,"If all users in an account are configured with FairShare=parent the result is that all the jobs drawing from that account will get the same fairshare priority, based on the accounts total usage. No additional fairness is added based on a user's individual usage.",24,job,get,2558,priority,3,0,1,27,11,15,1,unknown,"The sentence states that 'all the jobs drawing from that account will get the same fairshare priority'. This implies that the jobs are receiving the priority, so the relation is 'gets'.",If all users in an account are configured with FairShare=parent the result is that all the jobs drawing from that account will get the same,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
30,155,doc_c721,doc_c721_sent_00055,"For example, if user 2 had been allocated 4 shares instead of 1, user 2 would have had .08 normalized shares.",98,user,have,15,share,4,0,1,130,52,72,1,unknown,"The sentence states that user 2 'had' a certain number of shares, implying possession.","For example, if user 2 had been allocated 4 shares instead of 1, user 2 would have had.08 normalized shares.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
31,172,doc_f0f8,doc_f0f8_sent_00027,"For testing purposes any user name can be used.
 SlurmUser
State Preservation
Define the location of a directory where the slurmctld daemon saves its state.",124,slurmctld daemon,save,716,state,4,0,1,9,6,3,1,writes_to,"The sentence mentions that the slurmctld daemon'saves' its state, which implies writing to a location.",Define the location of a directory where the slurmctld daemon saves its state.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
32,198,doc_2cc9,doc_2cc9_sent_00081,"In the case of SlurmDBD, this will be an alternate socket name for use with a Munge daemon providing enterprise-wide authentication (while the default Munge socket would provide cluster-wide authentication only).",551,socket,provide,1477,authentication,7,0,1,42,27,28,1,unknown,"The sentence states that the socket 'provides' an alternate socket name for use with a Munge daemon, which is a clear statement of the 'provides' relation.","In the case of SlurmDBD, this will be an alternate socket name for use with a Munge daemon providing enterprise-wide authentication.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
33,202,doc_385e,doc_385e_sent_00002,"This means that even when all the resources within a node are not utilized by a given job, another job will not have access to these resources. Nodes possess resources such as processors, memory, swap, local disk, etc. and jobs consume these resources. The exclusive use default policy in Slurm can result in inefficient utilization of the cluster and of its nodes resources. Slurm's cons_tres plugin is available to manage resources on a much more fine-grained basis as described below.",24,job,have,4174,access,4,0,1,130,52,72,1,unknown,The sentence states that 'jobs consume resources' and 'nodes possess resources'. This implies a 'has' relation between 'job' and 'access to resources'.,"This means that even when all the resources within a node are not utilized by a given job, another job will not have access to",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
34,204,doc_385e,doc_385e_sent_00016,The cons_tres plugin also provides functionality specifically related to GPUs.,3336,cons_tre plugin,provide,72,functionality,7,0,1,42,27,28,1,unknown,The sentence explicitly states that the cons_tres plugin 'provides functionality' and then specifies that it provides functionality'specifically related to GPUs'.,The cons_tres plugin also provides functionality specifically related to GPUs.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
35,206,doc_385e,doc_385e_sent_00030,It is important to specify enough memory since Slurm will not allow the application to use more than the requested amount of real memory. The default value for --mem is inherited from DefMemPerNode. See srun(1) for more details.,1555,application,use,1657,memory,3,0,1,63,35,45,1,uses,The sentence states that the application 'uses' the memory.,It is important to specify enough memory since Slurm will not allow the application to use more than the requested amount of real memory.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
36,208,doc_385e,doc_385e_sent_00033,"# Excerpt from sample slurm.conf file
SelectType=select/cons_tres
General Comments
Slurm's default select/linear plugin is using a best fit algorithm based on number of consecutive nodes.",106,plugin,use,3273,algorithm,3,0,1,63,35,45,1,uses,The sentence states that the default plugin 'uses' a best fit algorithm.,Slurm's default select/linear plugin is using a best fit algorithm based on number of consecutive nodes.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
37,213,doc_385e,doc_385e_sent_00071,Job 3 is only using one CPU on each of the 3 nodes.,24,job,use,507,cpu,3,0,1,63,35,45,1,uses,"The sentence states that 'Job 3 is only using one CPU' on each node, which implies a 'uses' relation.",Job 3 is only using one CPU on each of the 3 nodes.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
38,215,doc_385e,doc_385e_sent_00075,The advantage of the exclusive mode scheduling policy is that the a job gets all the resources of the assigned nodes for optimal parallel performance.,24,job,get,1749,resource,3,0,1,27,11,15,1,unknown,The sentence states that a job 'gets' all the resources of the assigned nodes.,The advantage of the exclusive mode scheduling policy is that the a job gets all the resources of the assigned nodes for optimal parallel performance.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
39,218,doc_b406,doc_b406_sent_00003,"The per-partition OverSubscribe setting applies to the entity being selected for scheduling:
When the select/linear plugin is enabled, the per-partition OverSubscribe setting controls whether or not the nodes are shared among jobs.",2013,oversubscribe,set,2612,entity,3,0,1,10,10,9,1,sets,The sentence states that the 'per-partition OverSubscribe setting' sets a property for the 'entity being selected for scheduling'.,The per-partition OverSubscribe setting applies to the entity being selected for scheduling:,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
40,231,doc_b406,doc_b406_sent_00026,"The sharing functionality in the select/cons_tres plugin also supports the new OverSubscribe=FORCE:<num> syntax. If OverSubscribe=FORCE:3 is configured with a consumable resource plugin and CR_Core or CR_Core_Memory, then the plugin will run up to 3 jobs on each core of each node in the partition. If CR_Socket or CR_Socket_Memory is configured, then the plugin will run up to 3 jobs on each socket of each node in the partition.",106,plugin,run,24,job,3,0,1,31,17,11,1,runs_on,The sentence states that the plugin 'runs' jobs on each core/socket of each node.,The plugin will run up to 3 jobs on each core/socket of each node in the partition.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
41,237,doc_b406,doc_b406_sent_00029,"First job ""shareable""First job not ""shareable""
Second job ""shareable""Both jobs can run on the same nodes and may share resourcesJobs do not run on the same nodes
Second job not ""shareable""Jobs do not run on the same nodesJobs can run on the same nodes but will not share resources
The next table contains several scenarios with the select/cons_tres plugin enabled to further clarify how a node is used when it is configured in more than one partition and the partitions have different ""OverSubscribe"" policies.",291,partition,have,818,policy,4,0,1,130,52,72,1,configures,The sentence mentions that 'Jobs can run on the same nodes but will not share resources' when one job has a'shareable' policy and the other does not. This implies that the partitions and their 'OverSubscribe' policies configure how the nodes are used.,"Jobs can run on the same nodes but will not share resources (First job'shareable', Second job not'shareable')",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
42,239,doc_b406,doc_b406_sent_00030,"Slurm configurationResulting Behavior
Two OverSubscribe=NO partitions assigned the same set of nodesJobs from either partition will be assigned to all available consumable resources. No consumable resource will be shared. One node could have 2 jobs running on it, and each job could be from a different partition.",285,node,have,24,job,4,0,1,130,52,72,1,allocates,The sentence states that 'Jobs from either partition will be assigned to all available consumable resources'. This implies that each job is allocated a node.,Jobs from either partition will be assigned to all available consumable resources.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
43,241,doc_b406,doc_b406_sent_00031,"Two partitions assigned the same set of nodes: one partition is OverSubscribe=FORCE, and the other is OverSubscribe=NOA node will only run jobs from one partition at a time. If a node is running jobs from the OverSubscribe=NO partition, then none of its consumable resources will be shared.",285,node,run,24,job,3,0,1,31,17,11,1,runs_on,The sentence states that a node runs jobs from a partition.,"Two partitions assigned the same set of nodes: one partition is OverSubscribe=FORCE, and the other is OverSubscribe=NOA node will only run jobs from one partition",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
44,243,doc_b406,doc_b406_sent_00032,"If a node is running jobs from the OverSubscribe=FORCE partition, then its consumable resources can be shared.",285,node,run,24,job,3,0,1,31,17,11,1,runs_on,The sentence states that 'a node is running jobs' and 'jobs can be shared on a node'. This implies that the node is the entity that runs the jobs.,"If a node is running jobs from the OverSubscribe=FORCE partition, then its consumable resources can be shared.",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
45,245,doc_b406,doc_b406_sent_00035,"One node could have 2 jobs running on it, and each job could be from a different partition.",285,node,have,24,job,4,0,1,130,52,72,1,unknown,The sentence states that a node can have jobs running on it.,"One node could have 2 jobs running on it,",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
46,247,doc_b406,doc_b406_sent_00036,"Two partitions assigned the same set of nodes: one partition is OverSubscribe=FORCE:3, and the other is OverSubscribe=FORCE:5Generally the same behavior as above. However no consumable resource will ever run more than 3 jobs from the first partition, and no consumable resource will ever run more than 5 jobs from the second partition. A consumable resource could have up to 8 jobs running on it at one time.",1749,resource,run,24,job,3,0,1,31,17,11,1,runs_on,The sentence states that 'no consumable resource will ever run more than 3 jobs from the first partition' and 'no consumable resource will ever run more than 5 jobs from the second partition'. This implies that each job runs on a different consumable resource.,"Two partitions assigned the same set of nodes: one partition is OverSubscribe=FORCE:3, and the other is OverSubscribe=FORCE:5. A consumable resource could have up to 8",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
47,249,doc_b406,doc_b406_sent_00036,"Two partitions assigned the same set of nodes: one partition is OverSubscribe=FORCE:3, and the other is OverSubscribe=FORCE:5Generally the same behavior as above. However no consumable resource will ever run more than 3 jobs from the first partition, and no consumable resource will ever run more than 5 jobs from the second partition. A consumable resource could have up to 8 jobs running on it at one time.",2088,consumable resource,have,24,job,4,0,1,130,52,72,1,unknown,The sentence states that a consumable resource 'has' a certain number of jobs assigned to it from each partition.,"Two partitions assigned the same set of nodes: one partition is OverSubscribe=FORCE:3, and the other is OverSubscribe=FORCE:5. A consumable resource could have up to 8",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
48,250,doc_b406,doc_b406_sent_00037,"Note that the ""mixed shared setting"" configuration (row #2 above) introduces the possibility of starvation between jobs in each partition. If a set of nodes are running jobs from the OverSubscribe=NO partition, then these nodes will continue to only be available to jobs from that partition, even if jobs submitted to the OverSubscribe=FORCE partition have a higher priority.",5749,set,run,24,job,3,0,1,31,17,11,1,runs_on,"The sentence states that jobs run on a set of nodes, which is the meaning of runs_on.",Note that the'mixed shared setting' configuration introduces the possibility of starvation between jobs in each partition. If a set of nodes are running jobs from,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
49,259,doc_0ac6,doc_0ac6_sent_00021,"kernel.apparmor_restrict_unprivileged_unconfined=0
sudo sysctl -w kernel.apparmor_restrict_unprivileged_userns=0
Docker also provides a tool to verify the kernel configuration:
$ dockerd-rootless-setuptool.sh check --force",1036,docker,provide,1037,tool,7,0,1,42,27,28,1,unknown,The sentence states that Docker provides a tool.,Docker also provides a tool to verify the kernel configuration:,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
50,261,doc_0ac6,doc_0ac6_sent_00029,"The OCI runtime specification only provides the start and create operations sequence, but these runtimes provides a much more efficient run operation. Sites are strongly encouraged to use the run operation (if provided) as the start and create operations require that Slurm poll the OCI runtime to know when the containers have completed execution. While Slurm attempts to be as efficient as possible with polling, it will result in a thread using CPU time inside of the job and slower response of Slurm to catch when container execution is complete.",1046,oci runtime specification,provide,534,start,7,0,1,42,27,28,1,unknown,"The sentence states that the OCI runtime specification 'only provides' the start and create operations, implying that it is the source of these operations.","The OCI runtime specification only provides the start and create operations sequence,",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
51,263,doc_0ac6,doc_0ac6_sent_00055,Upstream singularity development of the OCI interface appears to have ceased and sites should use the user namespace support instead.,199,site,use,1102,user namespace support,3,0,1,63,35,45,1,uses,"Upstream development has ceased, suggesting that sites should use the user namespace support instead.",Upstream singularity development of the OCI interface appears to have ceased and sites should use the user namespace support instead.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
52,264,doc_0ac6,doc_0ac6_sent_00061,Upstream singularity development of the OCI interface appears to have ceased and sites should use the user namespace support instead.,199,site,use,1102,user namespace support,3,0,1,63,35,45,1,uses,"Upstream development has ceased, suggesting that sites should use the user namespace support instead.",Upstream singularity development of the OCI interface appears to have ceased and sites should use the user namespace support instead.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
53,265,doc_0ac6,doc_0ac6_sent_00082,"Commands run with the --container flag are resolved through PATH before they are sent to the container. If the container has a unique file structure, it may be necessary to give the full path to the command or specify --export=NONE to have the container define the PATH to be used:
srun --container $ABS_PATH_TO_BUNDLE --export=NONE bash -c ""cat /etc/*rel*""
Integration with Rootless Docker (Docker Engine v20.10+ & Slurm-23.02+)",1003,container,have,1815,structure,4,0,1,130,52,72,1,unknown,The sentence states that the container 'has' a unique file structure.,"If the container has a unique file structure, it may be necessary to give the full path to the command or specify --export=NONE to have",mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
54,267,doc_0ac6,doc_0ac6_sent_00095,"This requires that all calls to docker provide the following command line arguments. This can be done via shell variable, an alias, wrapper function, or wrapper script:
--security-opt label:disable --security-opt seccomp=unconfined --security-opt apparmor=unconfined --net=noneDocker's builtin security functionality is not required (or wanted) for containers being run by Slurm. Docker is only acting as a container image lifecycle manager. The containers will be executed remotely via Slurm following the existing security configuration in Slurm outside of unprivileged user control.",1036,docker,provide,868,argument,7,0,1,42,27,28,1,unknown,The sentence states that 'This requires that all calls to docker provide the following command line arguments'.,This requires that all calls to docker provide the following command line arguments.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
55,271,doc_0ac6,doc_0ac6_sent_00112,"Possible configuration additions to daemon.json to use a shared filesystem with vfs storage driver:
{
 ""storage-driver"": ""vfs"",
 ""data-root"": ""/path/to/shared/filesystem/user_name/data/"",
 ""exec-root"": ""/path/to/shared/filesystem/user_name/exec/"",
}Any node expected to be able to run containers from Docker must have ability to at least read the filesystem used.",285,node,have,4225,ability,4,0,1,130,52,72,1,reads_from,The sentence states that a node must be able to'read the filesystem' in order to run containers from Docker.,Any node expected to be able to run containers from Docker must have ability to at least read the filesystem used.,mistralai/Mistral-7B-Instruct-v0.2,2026-01-15T10:43:11Z
