id,child_canonical_id,child_canonical_term,parent_head_text,parent_canonical_id,parent_canonical_term,method,rule,score,support,created_at
28,128,slurmctld memory visible squeue command,command,900,command,head_parent_candidates_v2,head_last_token,78.0,1,2026-01-15T09:21:47Z
29,129,record job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
30,133,job memory slurmctld daemon,daemon,1447,daemon,head_parent_candidates_v2,head_last_token,188.0,1,2026-01-15T09:21:47Z
31,136,prologslurmctld epilogslurmctld,epilogslurmctld,5654,epilogslurmctld,head_parent_candidates_v2,head_last_token,9.0,1,2026-01-15T09:21:47Z
32,137,separate slurmctld thread,thread,184,thread,head_parent_candidates_v2,head_last_token,10.0,1,2026-01-15T09:21:47Z
33,148,job submit time,time,117,time,head_parent_candidates_v2,head_last_token,88.0,1,2026-01-15T09:21:47Z
34,155,interactive job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
35,156,sbatch,type:command,,type:command,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
36,162,scheduling logic,logic,213,logic,head_parent_candidates_v2,head_last_token,10.0,1,2026-01-15T09:21:47Z
37,170,backfill plugin,plugin,106,plugin,head_parent_candidates_v2,head_last_token,158.0,1,2026-01-15T09:21:47Z
38,173,backfill scheduling,scheduling,2508,scheduling,head_parent_candidates_v2,head_last_token,32.0,1,2026-01-15T09:21:47Z
39,175,man page detail,detail,2171,detail,head_parent_candidates_v2,head_last_token,8.0,1,2026-01-15T09:21:47Z
40,187,trade slurmctld,slurmctld,801,slurmctld,head_parent_candidates_v2,head_last_token,257.0,1,2026-01-15T09:21:47Z
41,189,thread count,count,688,count,head_parent_candidates_v2,head_last_token,15.0,1,2026-01-15T09:21:47Z
42,192,incoming rpc request slurmctld,slurmctld,801,slurmctld,head_parent_candidates_v2,head_last_token,257.0,1,2026-01-15T09:21:47Z
43,197,job scheduler,scheduler,1625,scheduler,head_parent_candidates_v2,head_last_token,24.0,1,2026-01-15T09:21:47Z
44,210,job accounting,accounting,1993,accounting,head_parent_candidates_v2,head_last_token,62.0,1,2026-01-15T09:21:47Z
45,215,slurmctlddebug detailed logging,logging,,logging,head_parent_candidates_v2,head_last_token,12.0,1,2026-01-15T09:21:47Z
46,220,operating system,system,1285,system,head_parent_candidates_v2,head_last_token,57.0,1,2026-01-15T09:21:47Z
47,224,slurmddebug detailed logging,logging,,logging,head_parent_candidates_v2,head_last_token,12.0,1,2026-01-15T09:21:47Z
48,225,local storage,storage,846,storage,head_parent_candidates_v2,head_last_token,23.0,1,2026-01-15T09:21:47Z
49,236,slurmdbd configuration,configuration,2,configuration,head_parent_candidates_v2,head_last_token,156.0,1,2026-01-15T09:21:47Z
50,238,delay time slurmdbd,slurmdbd,919,slurmdbd,head_parent_candidates_v2,head_last_token,163.0,1,2026-01-15T09:21:47Z
51,239,connection slurmctld,slurmctld,801,slurmctld,head_parent_candidates_v2,head_last_token,257.0,1,2026-01-15T09:21:47Z
52,243,purge option slurmdbd.conf,slurmdbd.conf,3922,slurmdbd.conf,head_parent_candidates_v2,head_last_token,21.0,1,2026-01-15T09:21:47Z
53,243,purge option slurmdbd.conf,type:config_file,,type:config_file,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
54,247,query parameter â,â,,â,head_parent_candidates_v2,head_last_token,4.0,1,2026-01-15T09:21:47Z
55,248,return type,type,706,type,head_parent_candidates_v2,head_last_token,56.0,1,2026-01-15T09:21:47Z
56,255,media type,type,706,type,head_parent_candidates_v2,head_last_token,56.0,1,2026-01-15T09:21:47Z
57,258,application json,json,8388,json,head_parent_candidates_v2,head_last_token,6.0,1,2026-01-15T09:21:47Z
58,261,v0.0.43 job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
59,265,body parameter â,â,,â,head_parent_candidates_v2,head_last_token,4.0,1,2026-01-15T09:21:47Z
60,268,path parameter,parameter,205,parameter,head_parent_candidates_v2,head_last_token,57.0,1,2026-01-15T09:21:47Z
61,272,query parameter,parameter,205,parameter,head_parent_candidates_v2,head_last_token,57.0,1,2026-01-15T09:21:47Z
62,277,v0.0.43 license slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
63,285,node,type:resource,,type:resource,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
64,297,reservation information,information,275,information,head_parent_candidates_v2,head_last_token,86.0,1,2026-01-15T09:21:47Z
65,328,result ping test,test,3581,test,head_parent_candidates_v2,head_last_token,18.0,1,2026-01-15T09:21:47Z
66,343,configuration information,information,275,information,head_parent_candidates_v2,head_last_token,86.0,1,2026-01-15T09:21:47Z
67,362,list job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
68,366,list qos v0.0.43_openapi_slurmdbd_qos_resp,v0.0.43_openapi_slurmdbd_qos_resp,,v0.0.43_openapi_slurmdbd_qos_resp,head_parent_candidates_v2,head_last_token,4.0,1,2026-01-15T09:21:47Z
69,367,qos information v0.0.43_openapi_slurmdbd_qos_resp,v0.0.43_openapi_slurmdbd_qos_resp,,v0.0.43_openapi_slurmdbd_qos_resp,head_parent_candidates_v2,head_last_token,4.0,1,2026-01-15T09:21:47Z
70,371,list user,user,98,user,head_parent_candidates_v2,head_last_token,132.0,1,2026-01-15T09:21:47Z
71,395,format int,int,490,int,head_parent_candidates_v2,head_last_token,8.0,1,2026-01-15T09:21:47Z
72,400,slurmd joule format int,int,490,int,head_parent_candidates_v2,head_last_token,8.0,1,2026-01-15T09:21:47Z
73,406,string account,account,334,account,head_parent_candidates_v2,head_last_token,19.0,1,2026-01-15T09:21:47Z
74,407,string cluster,cluster,340,cluster,head_parent_candidates_v2,head_last_token,87.0,1,2026-01-15T09:21:47Z
75,408,string arbitrary comment,comment,4169,comment,head_parent_candidates_v2,head_last_token,5.0,1,2026-01-15T09:21:47Z
76,416,string partition,partition,291,partition,head_parent_candidates_v2,head_last_token,72.0,1,2026-01-15T09:21:47Z
77,426,string user,user,98,user,head_parent_candidates_v2,head_last_token,132.0,1,2026-01-15T09:21:47Z
78,430,number job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
79,438,string node,node,285,node,head_parent_candidates_v2,head_last_token,242.0,1,2026-01-15T09:21:47Z
80,450,slurmctld primary controller,controller,813,controller,head_parent_candidates_v2,head_last_token,38.0,1,2026-01-15T09:21:47Z
81,453,true number,number,68,number,head_parent_candidates_v2,head_last_token,71.0,1,2026-01-15T09:21:47Z
82,471,string job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
83,472,false job job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
84,473,string quality service,service,1432,service,head_parent_candidates_v2,head_last_token,23.0,1,2026-01-15T09:21:47Z
85,487,resource allocation,allocation,1757,allocation,head_parent_candidates_v2,head_last_token,45.0,1,2026-01-15T09:21:47Z
86,488,integer port,port,222,port,head_parent_candidates_v2,head_last_token,32.0,1,2026-01-15T09:21:47Z
87,498,cluster sibling job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
88,507,cpu,type:resource,,type:resource,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
89,511,gre gpu,gpu,1826,gpu,head_parent_candidates_v2,head_last_token,17.0,1,2026-01-15T09:21:47Z
90,515,list feature,feature,638,feature,head_parent_candidates_v2,head_last_token,9.0,1,2026-01-15T09:21:47Z
91,527,job step,step,1009,step,head_parent_candidates_v2,head_last_token,38.0,1,2026-01-15T09:21:47Z
92,532,profile acct_gather_profile plugin,plugin,106,plugin,head_parent_candidates_v2,head_last_token,158.0,1,2026-01-15T09:21:47Z
93,535,string reservation,reservation,642,reservation,head_parent_candidates_v2,head_last_token,22.0,1,2026-01-15T09:21:47Z
94,539,list node,node,285,node,head_parent_candidates_v2,head_last_token,242.0,1,2026-01-15T09:21:47Z
95,543,job format int,int,490,int,head_parent_candidates_v2,head_last_token,8.0,1,2026-01-15T09:21:47Z
96,552,string tre,tre,369,tre,head_parent_candidates_v2,head_last_token,9.0,1,2026-01-15T09:21:47Z
97,571,integer number license,license,279,license,head_parent_candidates_v2,head_last_token,23.0,1,2026-01-15T09:21:47Z
98,576,integer number,number,68,number,head_parent_candidates_v2,head_last_token,71.0,1,2026-01-15T09:21:47Z
99,578,license information,information,275,information,head_parent_candidates_v2,head_last_token,86.0,1,2026-01-15T09:21:47Z
100,582,state node,node,285,node,head_parent_candidates_v2,head_last_token,242.0,1,2026-01-15T09:21:47Z
101,587,job node,node,285,node,head_parent_candidates_v2,head_last_token,242.0,1,2026-01-15T09:21:47Z
102,589,integer tcp port number slurmd format int,int,490,int,head_parent_candidates_v2,head_last_token,8.0,1,2026-01-15T09:21:47Z
103,602,string topology,topology,7004,topology,head_parent_candidates_v2,head_last_token,13.0,1,2026-01-15T09:21:47Z
104,604,string slurmd version,version,1418,version,head_parent_candidates_v2,head_last_token,64.0,1,2026-01-15T09:21:47Z
105,616,integer slurm numeric error identifier format int,int,490,int,head_parent_candidates_v2,head_last_token,8.0,1,2026-01-15T09:21:47Z
106,625,return code,code,3448,code,head_parent_candidates_v2,head_last_token,50.0,1,2026-01-15T09:21:47Z
107,632,core,type:resource,,type:resource,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
108,636,node feature,feature,638,feature,head_parent_candidates_v2,head_last_token,9.0,1,2026-01-15T09:21:47Z
109,653,list license,license,279,license,head_parent_candidates_v2,head_last_token,23.0,1,2026-01-15T09:21:47Z
110,660,integer number message slurmdbd,slurmdbd,919,slurmdbd,head_parent_candidates_v2,head_last_token,163.0,1,2026-01-15T09:21:47Z
111,683,long total time,time,117,time,head_parent_candidates_v2,head_last_token,88.0,1,2026-01-15T09:21:47Z
112,689,integer number rpc,rpc,346,rpc,head_parent_candidates_v2,head_last_token,7.0,1,2026-01-15T09:21:47Z
113,710,boolean true number,number,68,number,head_parent_candidates_v2,head_last_token,71.0,1,2026-01-15T09:21:47Z
114,718,user root,root,3265,root,head_parent_candidates_v2,head_last_token,25.0,1,2026-01-15T09:21:47Z
115,742,job resource node,node,285,node,head_parent_candidates_v2,head_last_token,242.0,1,2026-01-15T09:21:47Z
116,755,list qos,qos,324,qos,head_parent_candidates_v2,head_last_token,24.0,1,2026-01-15T09:21:47Z
117,756,job partition,partition,291,partition,head_parent_candidates_v2,head_last_token,72.0,1,2026-01-15T09:21:47Z
118,763,tre type,type,706,type,head_parent_candidates_v2,head_last_token,56.0,1,2026-01-15T09:21:47Z
119,764,usage job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
120,765,preemptmode mechanism,mechanism,2762,mechanism,head_parent_candidates_v2,head_last_token,20.0,1,2026-01-15T09:21:47Z
121,766,gang scheduling,scheduling,2508,scheduling,head_parent_candidates_v2,head_last_token,32.0,1,2026-01-15T09:21:47Z
122,788,slurm cli_filter plugin api,api,254,api,head_parent_candidates_v2,head_last_token,29.0,1,2026-01-15T09:21:47Z
123,790,slurm cli_filter plugin,plugin,106,plugin,head_parent_candidates_v2,head_last_token,158.0,1,2026-01-15T09:21:47Z
124,808,job_submit plugin,plugin,106,plugin,head_parent_candidates_v2,head_last_token,158.0,1,2026-01-15T09:21:47Z
125,810,server slurm controller,controller,813,controller,head_parent_candidates_v2,head_last_token,38.0,1,2026-01-15T09:21:47Z
126,816,alternate slurm.conf clifilterplugin option,option,150,option,head_parent_candidates_v2,head_last_token,101.0,1,2026-01-15T09:21:47Z
127,819,slurm plugin api following specification,specification,496,specification,head_parent_candidates_v2,head_last_token,14.0,1,2026-01-15T09:21:47Z
128,823,sample slurm distribution,distribution,1569,distribution,head_parent_candidates_v2,head_last_token,24.0,1,2026-01-15T09:21:47Z
129,827,version slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
130,829,plugin different version slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
131,830,slurm command daemon version,version,1418,version,head_parent_candidates_v2,head_last_token,64.0,1,2026-01-15T09:21:47Z
132,832,function change slurm function plugin,plugin,106,plugin,head_parent_candidates_v2,head_last_token,158.0,1,2026-01-15T09:21:47Z
133,834,lua plugin,plugin,106,plugin,head_parent_candidates_v2,head_last_token,158.0,1,2026-01-15T09:21:47Z
134,835,lua script,script,115,script,head_parent_candidates_v2,head_last_token,37.0,1,2026-01-15T09:21:47Z
135,837,default script directory,directory,1068,directory,head_parent_candidates_v2,head_last_token,40.0,1,2026-01-15T09:21:47Z
136,839,installation directory,directory,1068,directory,head_parent_candidates_v2,head_last_token,40.0,1,2026-01-15T09:21:47Z
137,840,api function,function,841,function,head_parent_candidates_v2,head_last_token,25.0,1,2026-01-15T09:21:47Z
138,847,init fini function,function,841,function,head_parent_candidates_v2,head_last_token,25.0,1,2026-01-15T09:21:47Z
139,850,time system,system,1285,system,head_parent_candidates_v2,head_last_token,57.0,1,2026-01-15T09:21:47Z
140,852,slurm init slurm fini,fini,,fini,head_parent_candidates_v2,head_last_token,5.0,1,2026-01-15T09:21:47Z
141,853,system fini,fini,,fini,head_parent_candidates_v2,head_last_token,5.0,1,2026-01-15T09:21:47Z
142,854,salloc,type:command,,type:command,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
143,858,srun command,command,900,command,head_parent_candidates_v2,head_last_token,78.0,1,2026-01-15T09:21:47Z
144,859,job allocation,allocation,1757,allocation,head_parent_candidates_v2,head_last_token,45.0,1,2026-01-15T09:21:47Z
145,869,option input slurm option datum structure,structure,1815,structure,head_parent_candidates_v2,head_last_token,19.0,1,2026-01-15T09:21:47Z
146,874,cli option processing communication slurmctld,slurmctld,801,slurmctld,head_parent_candidates_v2,head_last_token,257.0,1,2026-01-15T09:21:47Z
147,881,job component,component,907,component,head_parent_candidates_v2,head_last_token,23.0,1,2026-01-15T09:21:47Z
148,895,default configuration directory,directory,1068,directory,head_parent_candidates_v2,head_last_token,40.0,1,2026-01-15T09:21:47Z
149,897,source code,code,3448,code,head_parent_candidates_v2,head_last_token,50.0,1,2026-01-15T09:21:47Z
150,898,struct slurm_opt_t src common slurm_opt.h option,option,150,option,head_parent_candidates_v2,head_last_token,101.0,1,2026-01-15T09:21:47Z
151,901,salloc job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
152,902,salloc command,command,900,command,head_parent_candidates_v2,head_last_token,78.0,1,2026-01-15T09:21:47Z
153,903,sbatch command,command,900,command,head_parent_candidates_v2,head_last_token,78.0,1,2026-01-15T09:21:47Z
154,905,submission command,command,900,command,head_parent_candidates_v2,head_last_token,78.0,1,2026-01-15T09:21:47Z
155,909,srun,type:command,,type:command,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
156,910,default partition,partition,291,partition,head_parent_candidates_v2,head_last_token,72.0,1,2026-01-15T09:21:47Z
157,917,installation slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
158,928,development file,file,59,file,head_parent_candidates_v2,head_last_token,224.0,1,2026-01-15T09:21:47Z
159,932,slurm.conf option,option,150,option,head_parent_candidates_v2,head_last_token,101.0,1,2026-01-15T09:21:47Z
160,940,typeless mode slurm elasticsearch plugin version,version,1418,version,head_parent_candidates_v2,head_last_token,64.0,1,2026-01-15T09:21:47Z
161,971,slurm index,index,,index,head_parent_candidates_v2,head_last_token,6.0,1,2026-01-15T09:21:47Z
162,977,job slurm index,index,,index,head_parent_candidates_v2,head_last_token,6.0,1,2026-01-15T09:21:47Z
163,981,official documentation,documentation,3489,documentation,head_parent_candidates_v2,head_last_token,23.0,1,2026-01-15T09:21:47Z
164,983,primary slurmctld,slurmctld,801,slurmctld,head_parent_candidates_v2,head_last_token,257.0,1,2026-01-15T09:21:47Z
165,984,elasticsearch plugin,plugin,106,plugin,head_parent_candidates_v2,head_last_token,158.0,1,2026-01-15T09:21:47Z
166,986,information slurmctld,slurmctld,801,slurmctld,head_parent_candidates_v2,head_last_token,257.0,1,2026-01-15T09:21:47Z
167,990,configuration oci runtime,runtime,,runtime,head_parent_candidates_v2,head_last_token,15.0,1,2026-01-15T09:21:47Z
168,991,oci runtime,runtime,,runtime,head_parent_candidates_v2,head_last_token,15.0,1,2026-01-15T09:21:47Z
169,992,container job step,step,1009,step,head_parent_candidates_v2,head_last_token,38.0,1,2026-01-15T09:21:47Z
170,997,pmix v4 container,container,1003,container,head_parent_candidates_v2,head_last_token,19.0,1,2026-01-15T09:21:47Z
171,998,container support plugin,plugin,106,plugin,head_parent_candidates_v2,head_last_token,158.0,1,2026-01-15T09:21:47Z
172,1013,slurmd compute node,node,285,node,head_parent_candidates_v2,head_last_token,242.0,1,2026-01-15T09:21:47Z
173,1015,compute node,node,285,node,head_parent_candidates_v2,head_last_token,242.0,1,2026-01-15T09:21:47Z
174,1016,container slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
175,1018,limitation slurm oci container implementation,implementation,2398,implementation,head_parent_candidates_v2,head_last_token,15.0,1,2026-01-15T09:21:47Z
176,1020,slurm user special permission,permission,6661,permission,head_parent_candidates_v2,head_last_token,7.0,1,2026-01-15T09:21:47Z
177,1028,job container,container,1003,container,head_parent_candidates_v2,head_last_token,19.0,1,2026-01-15T09:21:47Z
178,1029,oci.conf,type:config_file,,type:config_file,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
179,1031,slurm job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
180,1044,functional oci bundle generation tool slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
181,1046,oci runtime specification,specification,496,specification,head_parent_candidates_v2,head_last_token,14.0,1,2026-01-15T09:21:47Z
182,1050,runtime possible slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
183,1058,slurm poll oci runtime,runtime,,runtime,head_parent_candidates_v2,head_last_token,15.0,1,2026-01-15T09:21:47Z
184,1059,execution slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
185,1062,job slow response slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
186,1077,root= run,run,1138,run,head_parent_candidates_v2,head_last_token,29.0,1,2026-01-15T09:21:47Z
187,1080,create start,start,534,start,head_parent_candidates_v2,head_last_token,11.0,1,2026-01-15T09:21:47Z
188,1102,user namespace support,support,2122,support,head_parent_candidates_v2,head_last_token,44.0,1,2026-01-15T09:21:47Z
189,1127,generic oci.conf,type:config_file,,type:config_file,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
190,1128,wrapper script,script,115,script,head_parent_candidates_v2,head_last_token,37.0,1,2026-01-15T09:21:47Z
191,1130,opt slurm oci run,run,1138,run,head_parent_candidates_v2,head_last_token,29.0,1,2026-01-15T09:21:47Z
192,1132,slurm oci run,run,1138,run,head_parent_candidates_v2,head_last_token,29.0,1,2026-01-15T09:21:47Z
193,1133,slurm oci slurm oci run default,default,65,default,head_parent_candidates_v2,head_last_token,91.0,1,2026-01-15T09:21:47Z
194,1135,opt slurm oci slurm oci run default,default,65,default,head_parent_candidates_v2,head_last_token,91.0,1,2026-01-15T09:21:47Z
195,1144,slurm oci slurm oci run defaultonce user,user,98,user,head_parent_candidates_v2,head_last_token,132.0,1,2026-01-15T09:21:47Z
196,1145,script ~ .slurm oci run,run,1138,run,head_parent_candidates_v2,head_last_token,29.0,1,2026-01-15T09:21:47Z
197,1155,salloc srun,srun,909,srun,head_parent_candidates_v2,head_last_token,59.0,1,2026-01-15T09:21:47Z
198,1158,batch interactive step,step,1009,step,head_parent_candidates_v2,head_last_token,38.0,1,2026-01-15T09:21:47Z
199,1176,slurm scrun,scrun,,scrun,head_parent_candidates_v2,head_last_token,4.0,1,2026-01-15T09:21:47Z
200,1177,rootless docker,docker,1036,docker,head_parent_candidates_v2,head_last_token,7.0,1,2026-01-15T09:21:47Z
201,1178,container job,job,24,job,head_parent_candidates_v2,head_last_token,416.0,1,2026-01-15T09:21:47Z
202,1179,special user permission,permission,6661,permission,head_parent_candidates_v2,head_last_token,7.0,1,2026-01-15T09:21:47Z
203,1180,slurm.conf,type:config_file,,type:config_file,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
204,1181,munge authentication,authentication,1477,authentication,head_parent_candidates_v2,head_last_token,54.0,1,2026-01-15T09:21:47Z
205,1184,site storage configuration,configuration,2,configuration,head_parent_candidates_v2,head_last_token,156.0,1,2026-01-15T09:21:47Z
206,1189,present node scrun,scrun,,scrun,head_parent_candidates_v2,head_last_token,4.0,1,2026-01-15T09:21:47Z
207,1190,sufficient environment path,path,1174,path,head_parent_candidates_v2,head_last_token,29.0,1,2026-01-15T09:21:47Z
208,1193,jwt authentication,authentication,1477,authentication,head_parent_candidates_v2,head_last_token,54.0,1,2026-01-15T09:21:47Z
209,1196,configuration option,option,150,option,head_parent_candidates_v2,head_last_token,101.0,1,2026-01-15T09:21:47Z
210,1200,slurm docker,docker,1036,docker,head_parent_candidates_v2,head_last_token,7.0,1,2026-01-15T09:21:47Z
211,1202,security configuration slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
212,1206,slurm controller,controller,813,controller,head_parent_candidates_v2,head_last_token,38.0,1,2026-01-15T09:21:47Z
213,1207,slurm compute node,node,285,node,head_parent_candidates_v2,head_last_token,242.0,1,2026-01-15T09:21:47Z
214,1210,docker swarm command,command,900,command,head_parent_candidates_v2,head_last_token,78.0,1,2026-01-15T09:21:47Z
215,1216,setup procedure,procedure,4666,procedure,head_parent_candidates_v2,head_last_token,6.0,1,2026-01-15T09:21:47Z
216,1225,default runtime slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
217,1226,correct path,path,1174,path,head_parent_candidates_v2,head_last_token,29.0,1,2026-01-15T09:21:47Z
218,1253,printenv slurm_job_id,slurm_job_id,1300,slurm_job_id,head_parent_candidates_v2,head_last_token,7.0,1,2026-01-15T09:21:47Z
219,1274,slurm support,support,2122,support,head_parent_candidates_v2,head_last_token,44.0,1,2026-01-15T09:21:47Z
220,1275,podman run,run,1138,run,head_parent_candidates_v2,head_last_token,29.0,1,2026-01-15T09:21:47Z
221,1277,container containers.conf,type:config_file,,type:config_file,head_parent_candidates_v2,typed_rule,5.0,1,2026-01-15T09:21:47Z
222,1345,spank plugin,plugin,106,plugin,head_parent_candidates_v2,head_last_token,158.0,1,2026-01-15T09:21:47Z
223,1358,presentation shifter slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
224,1359,code docker functionality shifter slurm,slurm,50,slurm,head_parent_candidates_v2,head_last_token,1469.0,1,2026-01-15T09:21:47Z
225,1376,slurmrestd man page,page,1372,page,head_parent_candidates_v2,head_last_token,21.0,1,2026-01-15T09:21:47Z
226,1378,quick start,start,534,start,head_parent_candidates_v2,head_last_token,11.0,1,2026-01-15T09:21:47Z
227,1380,basic usage,usage,27,usage,head_parent_candidates_v2,head_last_token,21.0,1,2026-01-15T09:21:47Z
228,1381,token management,management,,management,head_parent_candidates_v2,head_last_token,13.0,1,2026-01-15T09:21:47Z
229,1389,compile time order slurmrestd,slurmrestd,1410,slurmrestd,head_parent_candidates_v2,head_last_token,98.0,1,2026-01-15T09:21:47Z
230,1393,accounting slurmdbd slurmrestd,slurmrestd,1410,slurmrestd,head_parent_candidates_v2,head_last_token,98.0,1,2026-01-15T09:21:47Z
231,1395,slurmctld machine,machine,4125,machine,head_parent_candidates_v2,head_last_token,21.0,1,2026-01-15T09:21:47Z
232,1398,unique instance slurmrestd cluster,cluster,340,cluster,head_parent_candidates_v2,head_last_token,87.0,1,2026-01-15T09:21:47Z
233,1399,component slurmrestd,slurmrestd,1410,slurmrestd,head_parent_candidates_v2,head_last_token,98.0,1,2026-01-15T09:21:47Z
