canonical_term,term_type,synonyms_json,abbreviations_json,member_term_ids_json,freq_total,freq_docs,created_at,updated_at
linux,,"[""Linux cgroups"", ""Linux command"", ""Linux host"", ""Linux installation"", ""Linux system""]",[],"[35, 931, 1391, 1740, 1784, 2155]",23,3,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
cgroup,,"[""cgroup plugin""]",[],"[36, 2246]",5,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
jobcomptype,,"[""JobCompType""]",[],[37],3,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
job completion,,"[""job completion data"", ""job completion information"", ""job completion plugin"", ""job completion records""]",[],"[38, 175, 180, 304]",5,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
user,,"[""User Options"", ""User permission"", ""User programs"", ""user ID"", ""user accounts"", ""user associations"", ""user brian"", ""user claimed_user"", ""user cluster"", ""user commands"", ""user da"", ""user data"", ""user entities"", ""user groups"", ""user name"", ""user naming"", ""user processes"", ""user records"", ""user uid"", ""users""]",[],"[40, 66, 68, 100, 102, 109, 193, 510, 541, 563, 596, 597, 611, 889, 1001, 1062, 1689, 1852, 1857, 1981]",98,3,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
node,,"[""node definition"", ""node file"", ""node n"", ""node name"", ""node selection"", ""nodes""]",[],"[41, 372, 2083, 2099, 2106, 2219]",64,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
time,,"[""time period"", ""time zones""]",[],"[42, 513, 1812]",15,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
completion,,"[""completion time""]",[],"[43, 327]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
exit,,"[""EXIT"", ""exit status"", ""exit value""]","[""EXIT""]","[44, 707, 708]",5,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
preservation,,[],[],[45],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
only basic job,,"[""only basic job information""]",[],[46],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
minimal,,"[""minimal overhead"", ""minimal security""]",[],"[47, 299]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
mariadb,,"[""MariaDB database""]",[],[48],3,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
appropriate,,"[""appropriate hosts"", ""appropriate libraries"", ""appropriate options"", ""appropriate plugin"", ""appropriate values""]",[],"[50, 498, 843, 1344, 1359]",5,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
jobcomp,,"[""jobcomp plugin""]",[],"[51, 185]",3,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
filetxt,,[],[],[52],2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
pathname,,[],[],[53],4,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
file,,"[""File Example"", ""File systems"", ""file lsf10.1.0_linux2."", ""file option"", ""file respath"", ""file space"", ""files first""]",[],"[54, 138, 694, 916, 988, 1393, 1621, 1937]",63,4,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
log,,"[""Log messages"", ""log directories"", ""log files""]",[],"[55, 58, 948, 1622]",12,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
job_completion,,"[""job_completions""]",[],[56],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
similar,,"[""similar syntax"", ""similar tool""]",[],"[57, 540]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
sigusr2,,"[""SIGUSR2 signal""]",[],[59],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
slurmctld,,"[""slurmctld daemon"", ""slurmctld execute""]",[],"[60, 394]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
new log,,"[""new log files""]",[],[61],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
datum,,"[""data""]",[],[62],13,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
availability,,[],[],[63],4,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
password,,"[""Password"", ""password data"", ""password usage""]",[],"[64, 181, 415]",10,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
slurm control,,"[""Slurm control daemon""]",[],[65],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
sacctmgr,,"[""sacctmgr command"", ""sacctmgr options""]",[],"[67, 532, 555]",12,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
intermediate,,"[""intermediate daemon""]",[],[70],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
well,,"[""better security""]",[],[71],2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
performance,,"[""performance metrics""]",[],"[72, 529]",6,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
slurm database,,"[""Slurm Database Daemon""]",[],[73],5,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
such,,"[""such file"", ""such services""]",[],"[74, 1720]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
configuration,,"[""Configuration Reference"", ""configuration changes"", ""configuration directories"", ""configuration errors"", ""configuration files"", ""configuration parameters""]",[],"[75, 305, 677, 947, 1434, 1471, 1985]",53,3,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
authentication,,"[""authentication method"", ""authentication module""]",[],"[77, 144, 368]",8,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
other slurm,,"[""other Slurm commands"", ""other Slurm daemons""]",[],"[80, 450]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
daemon,,"[""Daemon log"", ""daemon mode"", ""daemon socket"", ""daemon time"", ""daemons""]",[],"[81, 457, 1018, 1210, 1870]",16,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
host,,"[""HOSTS definition"", ""Host Architecture"", ""Host hostname"", ""Host types"", ""Hosts section"", ""host host_name"", ""host hosta"", ""host information"", ""host models"", ""host names"", ""host selection"", ""host setup"", ""host status"", ""hosts file"", ""hosts time""]",[],"[82, 793, 794, 839, 882, 956, 1173, 1177, 1318, 1421, 1529, 1665, 1756, 1757, 1787, 1975]",177,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
server,,"[""Server version"", ""server column"", ""server hosts./usr""]",[],"[84, 426, 886, 973]",6,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
mysql,,"[""MySQL Configuration"", ""MySQL databases"", ""MySQL installation"", ""MySQL monitor"", ""MySQL plugin"", ""MySQL versions""]",[],"[85, 186, 204, 249, 283, 408, 424]",24,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
cluster,,"[""Cluster Options"", ""Cluster characteristics"", ""Cluster name"", ""cluster administrators"", ""cluster configuration"", ""cluster define"", ""cluster operations"", ""cluster properties"", ""cluster snowflake"", ""cluster status"", ""cluster users""]",[],"[87, 90, 552, 553, 673, 680, 691, 693, 945, 1042, 1043, 2045]",129,4,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
sacctmgr list,,"[""sacctmgr list cluster""]",[],[88],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
snowflake,,[],[],[89],3,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
failure,,"[""Failure""]",[],[91],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
switch,,[],[],[92],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
new,,"[""new UNIX"", ""new cluster"", ""new configuration"", ""new connections"", ""new daemon"", ""new hosts"", ""new information"", ""new installation"", ""new job"", ""new refers"", ""new resources"", ""new values"", ""new version"", ""new work""]",[],"[93, 778, 837, 924, 930, 1377, 1873, 1902, 1976, 1986, 2002, 2026, 2027, 2059]",34,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
same,,"[""same Account"", ""same SlurmUser"", ""same UID"", ""same database"", ""same example"", ""same host"", ""same information"", ""same level"", ""same name"", ""same node"", ""same person"", ""same subset"", ""same time"", ""same type"", ""same users""]",[],"[94, 103, 107, 155, 165, 166, 397, 551, 573, 636, 802, 1580, 2125, 2136, 2175]",21,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
unexpected,,"[""unexpected results""]",[],[95],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
infrastructure,,"[""Infrastructure""]",[],[96],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
multiple,,"[""multiple clusters"", ""multiple hosts""]",[],"[97, 1767]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
single,,"[""single location"", ""single machine"", ""single node"", ""single process"", ""single user""]",[],"[98, 750, 784, 1200, 2127]",14,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
constraint,,"[""constraints""]",[],[99],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
computer,,"[""computers""]",[],[104],5,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
user id,,"[""user ID numbers"", ""user ID uid""]",[],"[105, 1931]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
slurmuser,,"[""SlurmUser""]",[],[106],2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
administrator,,"[""administrator overview"", ""administrators""]",[],"[108, 669]",6,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
limit,,"[""Limit Enforcement"", ""limits""]",[],"[110, 578]",14,3,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
consistent,,"[""consistent names""]",[],[111],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
access,,"[""access AFS""]",[],"[112, 908]",12,3,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
record,,"[""records""]",[],[113],4,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
default,,"[""DEFAULT host model"", ""DEFAULT host type"", ""DEFAULT model"", ""DEFAULT type"", ""Default wckey"", ""default account"", ""default allocation"", ""default behavior"", ""default collation"", ""default database"", ""default partition"", ""default queue"", ""default value""]",[],"[114, 280, 333, 350, 401, 542, 575, 1229, 1773, 1775, 1776, 1777, 2194, 2213]",64,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
lowercase,,"[""lowercase usernames""]",[],[115],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
slurmdbd.conf,file,[],[],[116],5,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
username,,"[""usernames""]",[],[117],2,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
uppercase,,"[""uppercase characters""]",[],[118],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
good,,"[""best advantage"", ""best host"", ""best way""]",[],"[119, 782, 1613]",4,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
security,,"[""security purposes""]",[],"[120, 395]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
data,,"[""data retention"", ""data structure""]",[],"[121, 464, 629]",4,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
communication,,"[""Communication time"", ""communication timeouts"", ""communications""]",[],"[122, 1654, 1656]",8,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
munge,,"[""MUNGE"", ""MUNGE authentication"", ""MUNGE daemon"", ""MUNGE enhancements""]","[""MUNGE""]","[123, 131, 343, 344]",9,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
purpose,,[],[],[124],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
normal munge,,"[""normal MUNGE configuration""]",[],[125],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
machine,,[],[],[126],6,3,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
choice,,[],[],[127],2,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
single munge,,"[""single MUNGE key""]",[],[128],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
unique,,"[""unique CPUs"", ""unique identifiers"", ""unique key"", ""unique name""]",[],"[129, 352, 495, 2199]",6,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
second,,"[""second definition"", ""second key"", ""second node""]",[],"[130, 1884, 2217]",3,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
key,,"[""key files"", ""key words"", ""keys""]",[],"[132, 137, 588]",3,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
single configuration,,"[""single configuration file""]",[],[133],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
different,,"[""Different tasks"", ""different ELIM"", ""different classes"", ""different configurations"", ""different daemons"", ""different hosts"", ""different keys"", ""different machine"", ""different meanings"", ""different name"", ""different points"", ""different priorities"", ""different set"", ""different subsets""]",[],"[134, 135, 136, 162, 558, 655, 803, 864, 1214, 1567, 1568, 1723, 2135, 2137]",15,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
proper,,"[""proper key"", ""proper output""]",[],"[139, 1109]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
distinct local domain,,"[""distinct local domain sockets""]",[],[140],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
local domain,,"[""local domain socket""]",[],[141],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
slurmdbd configuration,,"[""SlurmDBD configuration files""]",[],[142],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
more,,"[""more details"", ""more experience"", ""more help"", ""more info"", ""more information"", ""more jobs"", ""more licenses"", ""more time""]",[],"[143, 419, 515, 866, 1162, 1360, 1425, 1556]",24,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
uid,,"[""UIDs""]",[],[145],2,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
same i,,"[""same i d""]",[],[146],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
case,,[],[],[147],17,3,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
combination,,[],[],[148],5,3,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
passwd,,"[""passwd file""]",[],[149],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
dbd,,"[""DBD""]","[""DBD""]",[151],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
action,,[],[],[152],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
operator,,[],[],[153],2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
ldap,,"[""LDAP server""]",[],[156],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
storage backup,,"[""Storage Backup Host""]",[],[157],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
backup,,"[""backup host"", ""backup instance""]",[],"[158, 161]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
accountingstoragebackuphost,,"[""AccountingStorageBackupHost""]",[],[159],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
dbdbackuphost,,"[""DbdBackupHost""]",[],[160],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
primary,,"[""primary administrator"", ""primary instance""]",[],"[163, 1483]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
instance,,"[""instances""]",[],[164],5,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
gid,,"[""GIDs""]",[],[167],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
network,,"[""network page"", ""network port"", ""networks""]",[],"[168, 183, 695]",8,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
visual,,"[""visual representation""]",[],[169],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
slurm jobcomp,,"[""Slurm JobComp Configuration""]",[],[170],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
script,,[],[],[172],7,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
flat,,"[""flat file""]",[],[173],3,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
accounting storage,,"[""accounting storage mechanism"", ""accounting storage plugin""]",[],"[174, 404]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
important,,"[""Important directories"", ""important files"", ""important parameters""]",[],"[176, 696, 936]",6,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
address,,[],[],[177],3,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
database server,,"[""database server executes""]",[],[178],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
location,,"[""LOCATION parameter"", ""Location""]",[],"[179, 1565]",8,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
jobcompport,,"[""JobCompPort""]",[],[182],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
type,,"[""TYPE parameter"", ""Type"", ""type UNKNOWN"", ""type X86_"", ""type columns"", ""type detection""]",[],"[184, 795, 1424, 1552, 1760, 1781]",18,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
jobcompuser,,"[""JobCompUser""]",[],[187],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
jobcompparam,,"[""JobCompParams""]",[],[188],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
arbitrary text,,"[""arbitrary text string""]",[],[189],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
slurm accounting,,"[""Slurm Accounting Configuration""]",[],[190],2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
build,,"[""Build""]",[],[191],3,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
creation,,[],[],[192],4,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
association,,"[""associations""]",[],[194],12,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
account,,"[""Account Options"", ""account hierarchy"", ""account mappings"", ""account name"", ""account none"", ""account test""]",[],"[195, 539, 544, 554, 556, 559, 1003]",24,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
partition,,"[""partition definition""]",[],"[196, 2080]",9,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
preferred,,"[""preferred database""]",[],[197],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
upgrade,,"[""Upgrade Guide""]",[],"[198, 253]",3,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
place,,"[""place upgrades"", ""places""]",[],"[199, 386]",3,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
db,,"[""DB server packages""]",[],[200],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
development,,"[""development package""]",[],[201],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
system,,"[""system PATH"", ""system call"", ""system configuration"", ""system environment"", ""system name"", ""system startup"", ""system utilization""]",[],"[202, 432, 469, 1188, 1463, 1513, 1717, 2011]",17,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
innodb storage,,"[""InnoDB storage engine""]",[],[203],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
rollback,,[],[],[205],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
configure,,"[""Configure LSF"", ""configure script"", ""configure time""]",[],"[206, 391, 1050]",4,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
mysql_config,,"[""mysql_config option"", ""mysql_config script""]",[],"[207, 210, 211]",3,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
library,,"[""libraries""]",[],[208],2,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
header,,"[""headers""]",[],[209],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
successful,,"[""successful configure""]",[],[212],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
output,,"[""output files""]",[],"[213, 1348]",11,3,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
bin/mysql_config,,[],[],[214],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
mysql test,,"[""MySQL test program""]",[],[215],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
note,,"[""NOTE""]","[""NOTE""]",[216],7,4,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
first,,"[""first host"", ""first node"", ""first time""]",[],"[217, 884, 2216]",4,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
several,,"[""Several parameters"", ""several MySQL"", ""several commands"", ""several states""]",[],"[218, 702, 2079, 2146]",5,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
mariadb server,,"[""MariaDB server settings""]",[],[219],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
percent,,[],[],[220],2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
available,,"[""available CPUs"", ""available host"", ""available memory"", ""available queues"", ""available resources""]",[],"[221, 1120, 1245, 1570, 2114]",7,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
sql,,"[""SQL"", ""SQL server"", ""SQL server shuts""]","[""SQL""]","[222, 233, 586]",3,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
gib.,,"[""GiB.""]",[],[223],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
problem,,"[""problems""]",[],[224],17,2,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
large slurm,,"[""large Slurm databases""]",[],[225],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
old,,"[""old file"", ""old records""]",[],"[226, 2035]",2,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
innodb_buffer_pool_size,,[],[],[227],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
innodb_log_files_in_group,,[],[],[228],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
unnecessary small,,"[""unnecessary small writes""]",[],[229],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
disk,,[],[],[230],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
mind,,[],[],[231],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
recovery,,"[""recovery times""]",[],[232],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
innodb_redo_log_capacity,,[],[],[234],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
mysql 8.0.30,,"[""MySQL 8.0.30 +""]",[],[235],1,1,2025-11-24T01:29:41Z,2025-11-24T01:29:41Z
