term_id,term_text,tf,idf,tf_idf,c_value,score
2063,cons_tres,16.00,1.92,30.66,0.00,5.43
2123,overcommitment,16.00,1.92,30.66,0.00,5.43
366,socket,25.00,1.22,30.58,0.00,3.99
612,step,29.00,1.00,29.00,0.00,3.40
717,mbatchd daemon,14.00,1.92,26.83,12.50,6.75
307,option,21.00,1.22,25.69,0.00,3.78
224,problems,17.00,1.51,25.68,0.00,4.37
388,directories,17.00,1.51,25.68,0.00,4.37
62,data,13.00,1.92,24.91,0.00,5.06
763,UNIX,13.00,1.92,24.91,0.00,6.56
195,account,16.00,1.51,24.17,0.00,4.28
625,command line,16.00,1.51,24.17,14.33,5.56
194,associations,12.00,1.92,23.00,0.00,4.92
741,mbatchd,12.00,1.92,23.00,0.00,4.92
770,application,12.00,1.92,23.00,0.00,4.92
882,Hosts section,12.00,1.92,23.00,12.00,6.39
1040,lsadmin,12.00,1.92,23.00,0.00,4.92
1538,lsf.shared file,12.00,1.92,23.00,11.00,6.39
515,more information,15.00,1.51,22.66,15.00,5.45
254,tables,18.00,1.22,22.02,0.00,3.60
15,status,14.00,1.51,21.15,0.00,4.09
441,Comment,14.00,1.51,21.15,0.00,4.79
1051,lsf.sudoers file,11.00,1.92,21.08,11.00,6.19
1058,operation,11.00,1.92,21.08,0.00,4.76
1435,unrecoverable errors,11.00,1.92,21.08,11.00,6.19
2066,threads,11.00,1.92,21.08,0.00,4.76
2194,default partition,11.00,1.92,21.08,11.00,6.19
147,case,17.00,1.22,20.79,0.00,3.54
42,time,13.00,1.51,19.64,0.00,3.99
184,Type,13.00,1.51,19.64,0.00,4.69
35,linux,16.00,1.22,19.57,0.00,3.47
744,LSF host,10.00,1.92,19.16,9.00,5.97
885,LSF server hosts,10.00,1.92,19.16,15.85,7.35
905,parameters,10.00,1.92,19.16,0.00,4.60
944,primary LSF administrator,10.00,1.92,19.16,15.85,7.35
957,models,10.00,1.92,19.16,0.00,4.60
1377,new hosts,10.00,1.92,19.16,7.50,5.97
1382,lsb.queues file,10.00,1.92,19.16,10.00,5.97
2127,single node,10.00,1.92,19.16,10.00,5.97
2196,possible pattern,10.00,1.92,19.16,10.00,5.97
81,daemons,12.00,1.51,18.13,0.00,3.88
286,error message,12.00,1.51,18.13,10.33,5.04
67,sacctmgr,9.00,1.92,17.25,0.00,4.41
718,sbatchd daemon,9.00,1.92,17.25,9.00,5.74
794,host models,9.00,1.92,17.25,8.00,5.74
879,conf,9.00,1.92,17.25,0.00,4.41
937,lsf.conf,9.00,1.92,17.25,0.00,4.41
941,configdir,9.00,1.92,17.25,0.00,4.41
1041,badmin,9.00,1.92,17.25,0.00,4.41
1067,Troubleshooting LSF problems,9.00,1.92,17.25,14.26,7.06
2027,new cluster,9.00,1.92,17.25,9.00,5.74
2132,Binding,9.00,1.92,17.25,0.00,5.11
309,list,13.00,1.22,15.90,0.00,3.23
244,row,8.00,1.92,15.33,0.00,4.21
682,LSF jobs,8.00,1.92,15.33,7.00,5.47
694,File systems,8.00,1.92,15.33,7.00,5.47
1059,badmin command,8.00,1.92,15.33,6.00,5.47
1072,LSF environment,8.00,1.92,15.33,7.00,5.47
1138,Aug,8.00,1.92,15.33,0.00,4.91
1444,lshosts,8.00,1.92,15.33,0.00,4.21
2112,default allocation method,8.00,1.92,15.33,12.68,6.74
2138,task affinity,8.00,1.92,15.33,8.00,5.47
615,srun,10.00,1.51,15.11,0.00,3.62
75,configuration,12.00,1.22,14.68,0.00,3.14
110,limits,12.00,1.22,14.68,0.00,3.14
416,line,12.00,1.22,14.68,0.00,3.14
40,user name,9.00,1.51,13.60,9.00,4.52
202,system,9.00,1.51,13.60,0.00,3.48
112,access,11.00,1.22,13.45,0.00,3.04
5,Accounting records,7.00,1.92,13.41,7.00,5.18
754,bsub command,7.00,1.92,13.41,7.00,5.18
966,lsf/cluster,7.00,1.92,13.41,11.09,6.38
1052,software licenses,7.00,1.92,13.41,7.00,5.18
1323,remote hosts,7.00,1.92,13.41,6.00,5.18
1434,configuration errors,7.00,1.92,13.41,3.50,5.18
1442,hostsetup command,7.00,1.92,13.41,7.00,5.18
1664,Management host LIM,7.00,1.92,13.41,7.92,6.38
1846,Request,7.00,1.92,13.41,0.00,4.68
2150,CPU ids,7.00,1.92,13.41,5.33,5.18
2231,CPUsCPU,7.00,1.92,13.41,0.00,5.98
213,output,10.00,1.22,12.23,0.00,2.93
181,Password,8.00,1.51,12.09,0.00,4.02
350,default value,8.00,1.51,12.09,8.00,4.32
553,Cluster name,8.00,1.51,12.09,7.00,4.32
18,sreport,6.00,1.92,11.50,0.00,3.73
49,sacct,6.00,1.92,11.50,0.00,3.73
122,communications,6.00,1.92,11.50,0.00,3.73
123,MUNGE,6.00,1.92,11.50,0.00,5.23
246,sec,6.00,1.92,11.50,0.00,3.73
725,execution host,6.00,1.92,11.50,6.00,4.85
786,resource requirements,6.00,1.92,11.50,5.00,4.85
788,load,6.00,1.92,11.50,0.00,3.73
923,typical directory structures,6.00,1.92,11.50,9.51,5.97
932,lsfinstall command,6.00,1.92,11.50,6.00,4.85
939,LSB_CONFDIR,6.00,1.92,11.50,0.00,5.73
1045,bsub,6.00,1.92,11.50,0.00,3.73
1047,bjobs command,6.00,1.92,11.50,6.00,4.85
1056,following commands,6.00,1.92,11.50,6.00,4.85
1074,cshrc.lsf,6.00,1.92,11.50,0.00,3.73
1085,LSF cluster,6.00,1.92,11.50,4.50,4.85
1091,management host,6.00,1.92,11.50,3.78,4.85
1155,common configuration errors,6.00,1.92,11.50,9.51,5.97
1436,reconfiguration exits,6.00,1.92,11.50,6.00,4.85
2096,salloc,6.00,1.92,11.50,0.00,3.73
2116,robin fashion,6.00,1.92,11.50,6.00,4.85
2212,Task id,6.00,1.92,11.50,6.00,4.85
2222,Socket id,6.00,1.92,11.50,6.00,4.85
508,details,9.00,1.22,11.01,0.00,2.82
24,slurm.conf,7.00,1.51,10.58,0.00,3.14
172,script,7.00,1.51,10.58,0.00,3.14
179,Location,7.00,1.51,10.58,0.00,3.84
305,configuration parameters,7.00,1.51,10.58,5.75,4.08
514,man pages,7.00,1.51,10.58,6.00,4.08
652,processes,7.00,1.51,10.58,0.00,3.14
752,group,7.00,1.51,10.58,0.00,3.14
73,Slurm Database Daemon,5.00,1.92,9.58,7.92,5.49
116,slurmdbd.conf,5.00,1.92,9.58,0.00,3.43
312,qos,5.00,1.92,9.58,0.00,3.43
330,wckeys,5.00,1.92,9.58,0.00,3.43
402,slurm_acct_db,5.00,1.92,9.58,0.00,3.43
692,installation,5.00,1.92,9.58,0.00,3.43
695,networks,5.00,1.92,9.58,0.00,3.43
809,CPU factor,5.00,1.92,9.58,3.00,4.46
827,Load indices,5.00,1.92,9.58,3.56,4.46
831,External load indices,5.00,1.92,9.58,6.34,5.49
940,cluster_name,5.00,1.92,9.58,0.00,3.43
975,lsbatch,5.00,1.92,9.58,0.00,3.43
1014,logdir,5.00,1.92,9.58,0.00,3.43
1020,LSF_LOGDIR,5.00,1.92,9.58,0.00,5.43
1046,lsrun commands,5.00,1.92,9.58,5.00,4.46
1088,LSF commands,5.00,1.92,9.58,3.00,4.46
1112,lsid command,5.00,1.92,9.58,5.00,4.46
1118,bhosts,5.00,1.92,9.58,0.00,3.43
1119,bqueues command,5.00,1.92,9.58,5.00,4.46
1128,EGO,5.00,1.92,9.58,0.00,4.93
1167,hosta,5.00,1.92,9.58,0.00,3.43
1168,hostc,5.00,1.92,9.58,0.00,3.43
1184,badmin ckconfig command,5.00,1.92,9.58,7.92,5.49
1221,Active,5.00,1.92,9.58,0.00,4.13
1255,job ID,5.00,1.92,9.58,4.00,4.46
1414,cluster1/10.1.,5.00,1.92,9.58,0.00,3.43
1470,badmin reconfig command,5.00,1.92,9.58,4.75,5.49
1592,resource names,5.00,1.92,9.58,4.00,4.46
2086,CPU resources,5.00,1.92,9.58,3.00,4.46
2099,node selection,5.00,1.92,9.58,3.00,4.46
2176,bind,5.00,1.92,9.58,0.00,3.43
2225,affinity,5.00,1.92,9.58,0.00,3.43
2229,Nodenamen,5.00,1.92,9.58,0.00,4.13
2230,Allocated CPUs,5.00,1.92,9.58,5.00,4.46
2237,CPU ids,5.00,1.92,9.58,2.00,4.46
4,job step,6.00,1.51,9.06,5.00,3.82
77,authentication,6.00,1.51,9.06,0.00,2.94
196,partition,6.00,1.51,9.06,0.00,2.94
265,order,6.00,1.51,9.06,0.00,2.94
410,permissions,6.00,1.51,9.06,0.00,2.94
590,change,6.00,1.51,9.06,0.00,2.94
641,task i d,6.00,1.51,9.06,9.51,4.70
697,LSF configuration,6.00,1.51,9.06,4.80,3.82
746,processor,6.00,1.51,9.06,0.00,2.94
245,set,7.00,1.22,8.56,0.00,2.54
2,accounting information,4.00,1.92,7.67,4.00,4.01
25,plugins,4.00,1.92,7.67,0.00,3.08
29,text file,4.00,1.92,7.67,3.00,4.01
53,pathname,4.00,1.92,7.67,0.00,3.08
101,Accounting,4.00,1.92,7.67,0.00,3.78
113,records,4.00,1.92,7.67,0.00,3.08
192,creation,4.00,1.92,7.67,0.00,3.08
430,Query OK,4.00,1.92,7.67,4.00,4.01
431,grant,4.00,1.92,7.67,0.00,3.08
509,entities,4.00,1.92,7.67,0.00,3.08
545,other accounts,4.00,1.92,7.67,4.00,4.01
680,cluster properties,4.00,1.92,7.67,4.00,4.01
681,LSF status,4.00,1.92,7.67,4.00,4.01
683,LSF problems,4.00,1.92,7.67,0.25,4.01
685,LSF error messages,4.00,1.92,7.67,6.34,4.93
713,LSF system,4.00,1.92,7.67,3.00,4.01
729,bkill command,4.00,1.92,7.67,4.00,4.01
769,batch job,4.00,1.92,7.67,3.00,4.01
779,Interactive task,4.00,1.92,7.67,4.00,4.01
839,host information,4.00,1.92,7.67,4.00,4.01
849,threshold,4.00,1.92,7.67,0.00,3.08
874,install.config file,4.00,1.92,7.67,4.00,4.01
883,LSF management host,4.00,1.92,7.67,4.75,4.93
929,figure,4.00,1.92,7.67,0.00,3.08
938,lsf.cluster.cluster_name,4.00,1.92,7.67,0.00,3.08
946,paths,4.00,1.92,7.67,0.00,3.08
956,host names,4.00,1.92,7.67,3.00,4.01
1036,error logs,4.00,1.92,7.67,2.83,4.01
1039,Use LSF administration,4.00,1.92,7.67,6.34,4.93
1043,cluster status,4.00,1.92,7.67,4.00,4.01
1048,Control job execution,4.00,1.92,7.67,6.34,4.93
1049,bresume,4.00,1.92,7.67,0.00,3.08
1060,non-root user,4.00,1.92,7.67,8.00,5.86
1062,user cluster,4.00,1.92,7.67,4.00,4.01
1105,LSF Command Reference,4.00,1.92,7.67,4.75,4.93
1111,lsload commands,4.00,1.92,7.67,3.00,4.01
1116,LSF batch workload system,4.00,1.92,7.67,4.00,5.86
1176,few seconds,4.00,1.92,7.67,4.00,4.01
1242,lsrun,4.00,1.92,7.67,0.00,3.08
1279,standard output,4.00,1.92,7.67,4.00,4.01
1294,JOBID USER STAT QUEUE,4.00,1.92,7.67,8.00,5.86
1379,references,4.00,1.92,7.67,0.00,3.08
1383,new queue definition,4.00,1.92,7.67,6.34,4.93
1407,new host type,4.00,1.92,7.67,6.34,4.93
1438,Reconfiguration,4.00,1.92,7.67,0.00,3.78
1448,Results,4.00,1.92,7.67,0.00,3.78
1496,lsf.sudoers,4.00,1.92,7.67,0.00,3.08
1501,/etc,4.00,1.92,7.67,0.00,3.08
1503,sparc,4.00,1.92,7.67,0.00,3.08
1504,sol,4.00,1.92,7.67,0.00,3.08
1547,Numeric,4.00,1.92,7.67,0.00,3.78
1708,client host,4.00,1.92,7.67,4.00,4.01
1751,lsb.hosts file,4.00,1.92,7.67,4.00,4.01
1752,unknown host,4.00,1.92,7.67,2.00,4.01
1861,res,4.00,1.92,7.67,0.00,3.08
2068,consumable resource type,4.00,1.92,7.67,6.34,4.93
2070,select plugin,4.00,1.92,7.67,4.00,4.01
2074,additional parameters,4.00,1.92,7.67,4.00,4.01
2087,whole nodes,4.00,1.92,7.67,4.00,4.01
2142,CPU usage,4.00,1.92,7.67,4.00,4.01
55,log,5.00,1.51,7.55,0.00,2.71
104,computers,5.00,1.51,7.55,0.00,2.71
108,administrators,5.00,1.51,7.55,0.00,2.71
164,instances,5.00,1.51,7.55,0.00,2.71
322,Service,5.00,1.51,7.55,0.00,3.41
670,IBM Spectrum LSF,5.00,1.51,7.55,5.55,4.33
762,conditions,5.00,1.51,7.55,0.00,2.71
1415,install,5.00,1.51,7.55,0.00,2.71
126,machine,6.00,1.22,7.34,0.00,2.38
216,NOTE,7.00,1.00,7.00,0.00,3.58
148,combination,5.00,1.22,6.12,0.00,2.19
348,run,5.00,1.22,6.12,0.00,2.19
414,info,5.00,1.22,6.12,0.00,2.19
475,units,5.00,1.22,6.12,0.00,2.19
608,reason,5.00,1.22,6.12,0.00,2.19
63,availability,4.00,1.51,6.04,0.00,2.43
72,performance,4.00,1.51,6.04,0.00,2.43
109,user accounts,4.00,1.51,6.04,4.00,3.16
269,field,4.00,1.51,6.04,0.00,2.43
336,port,4.00,1.51,6.04,0.00,2.43
440,Support,4.00,1.51,6.04,0.00,3.13
534,start,4.00,1.51,6.04,0.00,2.43
620,memory,4.00,1.51,6.04,0.00,2.43
693,cluster administrators,4.00,1.51,6.04,4.00,3.16
26,AccountingStorageType,3.00,1.92,5.75,0.00,4.66
37,JobCompType,3.00,1.92,5.75,0.00,4.66
48,MariaDB database,3.00,1.92,5.75,3.00,3.45
89,snowflake,3.00,1.92,5.75,0.00,2.66
90,cluster snowflake,3.00,1.92,5.75,3.00,3.45
155,same UID,3.00,1.92,5.75,3.00,3.45
173,flat file,3.00,1.92,5.75,3.00,3.45
262,database tables,3.00,1.92,5.75,3.00,3.45
278,StorageLoc,3.00,1.92,5.75,0.00,4.66
325,TRES,3.00,1.92,5.75,0.00,4.16
340,accounting data,3.00,1.92,5.75,1.00,3.45
374,localhost,3.00,1.92,5.75,0.00,2.66
536,test,3.00,1.92,5.75,0.00,2.66
542,default account,3.00,1.92,5.75,3.00,3.45
635,TresUsageInTot,3.00,1.92,5.75,0.00,4.66
708,EXIT,3.00,1.92,5.75,0.00,4.16
723,ZOMBI state,3.00,1.92,5.75,3.00,3.45
726,re-runnable job,3.00,1.92,5.75,6.00,5.05
761,Job files,3.00,1.92,5.75,3.00,3.45
791,ls command,3.00,1.92,5.75,3.00,3.45
796,Intel_EM64 T,3.00,1.92,5.75,3.00,3.45
826,PIM,3.00,1.92,5.75,0.00,4.16
836,program,3.00,1.92,5.75,0.00,2.66
886,server column,3.00,1.92,5.75,3.00,3.45
888,only hosts,3.00,1.92,5.75,3.00,3.45
898,NFS,3.00,1.92,5.75,0.00,4.16
942,lsb.queues,3.00,1.92,5.75,0.00,2.66
959,keywords,3.00,1.92,5.75,0.00,2.66
974,lsf/cluste,3.00,1.92,5.75,4.75,4.25
976,clus,3.00,1.92,5.75,0.00,2.66
977,ter,3.00,1.92,5.75,0.00,2.66
988,File Example,3.00,1.92,5.75,3.00,3.45
1029,sbatchd,3.00,1.92,5.75,0.00,2.66
1035,LSF server,3.00,1.92,5.75,-0.25,3.45
1042,cluster configuration,3.00,1.92,5.75,2.00,3.45
1057,lsadmin command,3.00,1.92,5.75,3.00,3.45
1077,csh,3.00,1.92,5.75,0.00,2.66
1078,tcsh shell,3.00,1.92,5.75,3.00,3.45
1081,ksh,3.00,1.92,5.75,0.00,2.66
1082,bash shell,3.00,1.92,5.75,3.00,3.45
1083,profile.lsf,3.00,1.92,5.75,0.00,2.66
1086,# bctrld,3.00,1.92,5.75,2.00,3.45
1087,sbd,3.00,1.92,5.75,0.00,2.66
1090,lim daemon,3.00,1.92,5.75,2.00,3.45
1094,restart lim,3.00,1.92,5.75,2.00,3.45
1102,section,3.00,1.92,5.75,0.00,2.66
1137,/opt,3.00,1.92,5.75,0.00,2.66
1140,Master LIM,3.00,1.92,5.75,3.00,3.45
1194,LSF batch commands,3.00,1.92,5.75,4.75,4.25
1212,common LSF problems,3.00,1.92,5.75,1.58,4.25
1222,priority,3.00,1.92,5.75,0.00,2.66
1223,night,3.00,1.92,5.75,0.00,2.66
1246,best available host,3.00,1.92,5.75,4.75,4.25
1277,email,3.00,1.92,5.75,0.00,2.66
1289,batch interactive job,3.00,1.92,5.75,4.75,4.25
1293,% bjobs,3.00,1.92,5.75,3.00,3.45
1297,Jun,3.00,1.92,5.75,0.00,3.36
1304,Job owners,3.00,1.92,5.75,3.00,3.45
1334,shell script,3.00,1.92,5.75,1.50,3.45
1343,string,3.00,1.92,5.75,0.00,2.66
1385,queue definition,3.00,1.92,5.75,0.50,3.45
1387,.cshrc file,3.00,1.92,5.75,3.00,3.45
1409,a. Log,3.00,1.92,5.75,3.00,3.45
1426,client,3.00,1.92,5.75,0.00,2.66
1440,confirm,3.00,1.92,5.75,0.00,2.66
1443,Command Reference,3.00,1.92,5.75,0.50,3.45
1459,lsadmin reconfig command,3.00,1.92,5.75,1.58,4.25
1466,automatic LSF,3.00,1.92,5.75,2.00,3.45
1471,Configuration Reference,3.00,1.92,5.75,2.00,3.45
1480,bswitch,3.00,1.92,5.75,0.00,2.66
1506,LSF_SERVERDIR directory,3.00,1.92,5.75,3.00,3.45
1549,license1 resource,3.00,1.92,5.75,3.00,3.45
1554,resources license,3.00,1.92,5.75,3.00,3.45
1618,contact IBM Support,3.00,1.92,5.75,4.75,4.25
1646,symbolic link,3.00,1.92,5.75,3.00,3.45
1670,loopback address,3.00,1.92,5.75,3.00,3.45
1675,management host LIM IP address,3.00,1.92,5.75,6.97,5.84
1690,remote execution,3.00,1.92,5.75,2.00,3.45
1693,identification daemon,3.00,1.92,5.75,3.00,3.45
1736,new process group,3.00,1.92,5.75,4.75,4.25
1774,binary incompatibility,3.00,1.92,5.75,3.00,3.45
1832,auth_user,3.00,1.92,5.75,0.00,2.66
1845,userok,3.00,1.92,5.75,0.00,2.66
1943,jobId,3.00,1.92,5.75,0.00,4.66
2030,new lsf.conf file,3.00,1.92,5.75,4.75,4.25
2062,SelectType,3.00,1.92,5.75,0.00,4.66
2072,parameterPossible valuesDescription,3.00,1.92,5.75,3.00,3.45
2073,NodeName,3.00,1.92,5.75,0.00,4.66
2075,layout,3.00,1.92,5.75,0.00,2.66
2077,logical CPUs,3.00,1.92,5.75,3.00,3.45
2080,partition definition,3.00,1.92,5.75,3.00,3.45
2083,node definition,3.00,1.92,5.75,3.00,3.45
2097,sbatch command line options,3.00,1.92,5.75,6.00,5.05
2198,following conditions,3.00,1.92,5.75,3.00,3.45
2199,unique CPUs,3.00,1.92,5.75,3.00,3.45
2209,Nodenamen0n1n,3.00,1.92,5.75,0.00,3.36
2224,Allocated CPU ids,3.00,1.92,5.75,4.75,4.25
2226,cyclic,3.00,1.92,5.75,0.00,2.66
2234,block allocation method,3.00,1.92,5.75,3.17,4.25
2239,cyclic distribution method,3.00,1.92,5.75,4.75,4.25
2246,cgroup plugin,3.00,1.92,5.75,3.00,3.45
10,resource usage,3.00,1.51,4.53,1.67,2.72
58,log files,3.00,1.51,4.53,2.00,2.72
107,same name,3.00,1.51,4.53,3.00,2.72
177,address,3.00,1.51,4.53,0.00,2.09
191,Build,3.00,1.51,4.53,0.00,2.79
329,usage,3.00,1.51,4.53,0.00,2.09
378,work,3.00,1.51,4.53,0.00,2.09
448,local host,3.00,1.51,4.53,1.00,2.72
472,form,3.00,1.51,4.53,0.00,2.09
484,site,3.00,1.51,4.53,0.00,2.09
613,part,3.00,1.51,4.53,0.00,2.09
649,other jobs,3.00,1.51,4.53,3.00,2.72
1198,Maximum number,3.00,1.51,4.53,3.00,2.72
1213,LSF queues,3.00,1.51,4.53,3.00,2.72
1564,attribute,3.00,1.51,4.53,0.00,2.09
19,reports,2.00,1.92,3.83,0.00,2.11
31,JobAcctGatherType,2.00,1.92,3.83,0.00,4.11
51,jobcomp,2.00,1.92,3.83,0.00,2.11
52,filetxt,2.00,1.92,3.83,0.00,2.11
71,better security,2.00,1.92,3.83,2.00,2.74
76,Slurm plugins,2.00,1.92,3.83,2.00,2.74
106,SlurmUser,2.00,1.92,3.83,0.00,4.11
143,more details,2.00,1.92,3.83,2.00,2.74
153,operator,2.00,1.92,3.83,0.00,2.11
175,job completion plugin,2.00,1.92,3.83,3.17,3.37
176,important parameters,2.00,1.92,3.83,2.00,2.74
183,network port,2.00,1.92,3.83,2.00,2.74
190,Slurm Accounting Configuration,2.00,1.92,3.83,3.17,3.37
220,percent,2.00,1.92,3.83,0.00,2.11
237,queries,2.00,1.92,3.83,0.00,2.11
241,SHOW VARIABLES,2.00,1.92,3.83,2.00,2.74
242,| Value |,2.00,1.92,3.83,3.17,3.37
250,default row format,2.00,1.92,3.83,3.17,3.37
252,issues,2.00,1.92,3.83,0.00,2.11
253,upgrade,2.00,1.92,3.83,0.00,2.11
256,DYNAMIC,2.00,1.92,3.83,0.00,3.61
268,InnoDB,2.00,1.92,3.83,0.00,4.11
274,innodb_default_row_format,2.00,1.92,3.83,0.00,2.11
276,db_name,2.00,1.92,3.83,0.00,2.11
277,Slurm database,2.00,1.92,3.83,-1.00,2.74
280,default collation,2.00,1.92,3.83,2.00,2.74
308,comma,2.00,1.92,3.83,0.00,2.11
310,valid options,2.00,1.92,3.83,2.00,2.74
314,nojobs,2.00,1.92,3.83,0.00,2.11
316,nosteps,2.00,1.92,3.83,0.00,2.11
331,optional partition name,2.00,1.92,3.83,3.17,3.37
332,AccountingStorageEnforce,2.00,1.92,3.83,0.00,4.11
337,AccountingStoragePort,2.00,1.92,3.83,0.00,4.11
345,default MUNGE daemon,2.00,1.92,3.83,3.17,3.37
360,SlurmDBD executes,2.00,1.92,3.83,2.00,2.74
393,slurmdbd daemon,2.00,1.92,3.83,2.00,2.74
403,job accounting data,2.00,1.92,3.83,3.17,3.37
406,accounting_storage,2.00,1.92,3.83,0.00,2.11
432,system name,2.00,1.92,3.83,2.00,2.74
433,slurm'@'system,2.00,1.92,3.83,0.00,2.11
434,database storage host,2.00,1.92,3.83,3.17,3.37
435,some_pass,2.00,1.92,3.83,0.00,2.11
436,grant option,2.00,1.92,3.83,2.00,2.74
471,Purge options,2.00,1.92,3.83,2.00,2.74
478,day,2.00,1.92,3.83,0.00,2.11
482,Archive Server,2.00,1.92,3.83,2.00,2.74
485,archive instance,2.00,1.92,3.83,2.00,2.74
489,production server,2.00,1.92,3.83,2.00,2.74
496,mysqldump,2.00,1.92,3.83,0.00,2.11
510,user associations,2.00,1.92,3.83,2.00,2.74
519,dashboards,2.00,1.92,3.83,0.00,2.11
526,Prometheus,2.00,1.92,3.83,0.00,2.81
527,InfluxDB,2.00,1.92,3.83,0.00,4.11
528,exporter tool,2.00,1.92,3.83,2.00,2.74
529,performance metrics,2.00,1.92,3.83,2.00,2.74
537,execute line,2.00,1.92,3.83,1.00,2.74
544,account test,2.00,1.92,3.83,2.00,2.74
555,sacctmgr options,2.00,1.92,3.83,2.00,2.74
556,account name,2.00,1.92,3.83,2.00,2.74
578,Limit Enforcement,2.00,1.92,3.83,2.00,2.74
596,user records,2.00,1.92,3.83,2.00,2.74
598,brian,2.00,1.92,3.83,0.00,2.11
617,metrics,2.00,1.92,3.83,0.00,2.11
621,energy,2.00,1.92,3.83,0.00,2.11
633,sum,2.00,1.92,3.83,0.00,2.11
637,TresUsageInMax,2.00,1.92,3.83,0.00,4.11
659,MaxRSS,2.00,1.92,3.83,0.00,4.11
674,LSF cluster overview,2.00,1.92,3.83,3.17,3.37
675,overview,2.00,1.92,3.83,0.00,2.11
676,important LSF directories,2.00,1.92,3.83,3.17,3.37
684,Troubleshoot common LSF problems,2.00,1.92,3.83,4.00,4.00
686,solution,2.00,1.92,3.83,0.00,2.11
688,LSF terms,2.00,1.92,3.83,2.00,2.74
689,concepts,2.00,1.92,3.83,0.00,2.11
690,LSF basic terms,2.00,1.92,3.83,3.17,3.37
691,Cluster characteristics,2.00,1.92,3.83,2.00,2.74
696,Important directories,2.00,1.92,3.83,2.00,2.74
698,several configuration files,2.00,1.92,3.83,3.17,3.37
699,behavior,2.00,1.92,3.83,0.00,2.11
700,Job states,2.00,1.92,3.83,2.00,2.74
703,PEND,2.00,1.92,3.83,0.00,3.61
705,scheduling,2.00,1.92,3.83,0.00,2.11
714,Post-processing,2.00,1.92,3.83,3.17,3.37
716,UNKWN,2.00,1.92,3.83,0.00,3.61
722,ZOMBI,2.00,1.92,3.83,0.00,3.61
733,lsb.params file,2.00,1.92,3.83,2.00,2.74
737,running job,2.00,1.92,3.83,2.00,2.74
738,signal,2.00,1.92,3.83,0.00,2.11
739,job processes,2.00,1.92,3.83,2.00,2.74
755,LSF schedules,2.00,1.92,3.83,2.00,2.74
756,controls,2.00,1.92,3.83,0.00,2.11
765,execution time,2.00,1.92,3.83,2.00,2.74
766,Windows,2.00,1.92,3.83,0.00,2.81
771,advantage,2.00,1.92,3.83,0.00,2.11
776,interactive job,2.00,1.92,3.83,0.00,2.74
778,new job,2.00,1.92,3.83,2.00,2.74
782,best host,2.00,1.92,3.83,2.00,2.74
783,candidate hosts,2.00,1.92,3.83,2.00,2.74
798,operating system,2.00,1.92,3.83,1.00,2.74
802,same type,2.00,1.92,3.83,2.00,2.74
804,LSF binary files,2.00,1.92,3.83,1.58,3.37
808,calculations,2.00,1.92,3.83,0.00,2.11
810,LSF resources,2.00,1.92,3.83,2.00,2.74
815,individual hosts,2.00,1.92,3.83,2.00,2.74
817,resource limits,2.00,1.92,3.83,1.00,2.74
818,load thresholds,2.00,1.92,3.83,1.00,2.74
834,External Load Information Manager,2.00,1.92,3.83,4.00,4.00
838,Static resources,2.00,1.92,3.83,1.00,2.74
859,queue level,2.00,1.92,3.83,2.00,2.74
