head_text,head_canonical_id,frequency,example_terms_json
script,197,13,"[""batch script"", ""lua script"", ""wrapper script"", ""epilog script"", ""slurm configure script"", ""configure script"", ""job script"", ""single script"", ""slurm job epilog script"", ""prolog script""]"
partition,416,12,"[""string partition"", ""default partition"", ""nodelist node partition"", ""high prioritytier partition"", ""prioritytier partition"", ""single partition"", ""priority partition"", ""optional partition"", ""slurm partition"", ""slurm_job_partition partition""]"
code,1788,12,"[""return code"", ""source code"", ""error code"", ""slurmctld daemon code"", ""slurm code"", ""slurm central manager daemon code"", ""slurm daemon code"", ""exit code"", ""high exit code"", ""slurmâ source code""]"
state,395,11,"[""job state"", ""current state"", ""slurmctld state"", ""slurmd state"", ""slurm state"", ""hold state"", ""completing state"", ""drain state"", ""burst buffer state"", ""node state""]"
cluster,272,10,"[""large cluster"", ""string cluster"", ""slurm cluster"", ""small cluster"", ""small linux cluster"", ""entire cluster"", ""local cluster"", ""origin cluster"", ""viable cluster"", ""remote cluster""]"
default,118,10,"[""job default"", ""list default"", ""output format default"", ""parent account default"", ""cluster default"", ""usage default"", ""association default"", ""coordinator default"", ""wckey default"", ""slurm default""]"
allocation,1160,10,"[""job allocation"", ""resource allocation"", ""slurm allocation"", ""exclusive allocation"", ""step allocation"", ""job step allocation"", ""node allocation"", ""slurm job allocation"", ""heterogeneous job allocation"", ""slurmctld grant allocation""]"
format,464,10,"[""number content format"", ""job format"", ""task format"", ""slurmd format"", ""node format"", ""integer slurm numeric error identifier format"", ""reset format"", ""last_run format"", ""output format"", ""hostlist expression format""]"
request,146,10,"[""job request"", ""burst buffer request"", ""resource request"", ""cpu request"", ""energy request"", ""gre request"", ""license request"", ""memory request"", ""submission request"", ""incoming request""]"
account,10,9,"[""parent account"", ""string account"", ""user account"", ""sub account"", ""default account"", ""bank account"", ""slurmuser account"", ""slurm_job_account account"", ""child account""]"
count,1026,9,"[""thread count"", ""node count"", ""task count"", ""cpu count"", ""core count"", ""processor count"", ""maximum node count"", ""total count"", ""shard count""]"
system,119,9,"[""operating system"", ""time system"", ""job scheduling system"", ""entire slurm system"", ""slurm system"", ""file system"", ""large system"", ""authentication system"", ""slurmd system""]"
step,432,9,"[""job step"", ""interactive step"", ""batch step"", ""regular step"", ""slurm step"", ""single job step"", ""extern step"", ""heterogeneous job step"", ""slurm job step""]"
api,1208,9,"[""slurm plugin api"", ""rest api"", ""slurm api"", ""slurm priority site factor plugin api"", ""slurm site_factor api"", ""burst buffer api"", ""c api"", ""slurm rest api"", ""slurm scheduler api""]"
function,64,9,"[""slurm function"", ""api function"", ""fini function"", ""slurm api function"", ""plugin function"", ""slurm_bb_path function"", ""slurm_bb_job_process function"", ""slurm_bb_get_statu function"", ""hostlist function""]"
structure,2190,9,"[""slurm option datum structure"", ""datum structure"", ""data structure"", ""slurm directory structure"", ""slurm data structure"", ""global datum structure"", ""slurm_step_layout_t data structure"", ""slurm_step_launch_params_t data structure"", ""slurm_step_layout_req_t data structure""]"
variable,135,9,"[""environment variable"", ""slurm_conf_server environment variable"", ""slurm_dir variable"", ""slurm_job_id environment variable"", ""slurmstepd_oom_adj environment variable"", ""slurm environment variable"", ""slurm_procid environment variable"", ""invalid slurm_jwt environment variable"", ""slurm_job_uid environment variable""]"
process,465,9,"[""slurmd process"", ""slurmstepd process"", ""job process"", ""user process"", ""slurm process"", ""spawned process"", ""non killable process"", ""slurm build process"", ""local slurmstepd process""]"
factor,2842,8,"[""share factor"", ""age factor"", ""priority factor"", ""association factor"", ""job size factor"", ""partition factor"", ""qos factor"", ""decay factor""]"
page,1808,8,"[""man page"", ""slurmrestd man page"", ""slurm.conf man page"", ""memory page"", ""sacctmgr man page"", ""srun man page"", ""cgroup.conf man page"", ""slurmrestd.8 man page""]"
slurmdbd,182,8,"[""time slurmdbd"", ""external slurmdbd"", ""grep slurmdbd"", ""archive slurmdbd"", ""optional slurmdbd"", ""upgrade slurmdbd"", ""v0.0.41 s slurmdbd"", ""version 17.11.x slurmdbd""]"
version,985,8,"[""string slurmd version"", ""slurm version"", ""previous version"", ""prior version"", ""late version"", ""previous slurm version"", ""pre release version"", ""future slurm version""]"
directory,1496,8,"[""installation directory"", ""parent directory"", ""unique directory"", ""top level directory"", ""slurm source directory"", ""slurm_submit_dir directory"", ""grep statesavelocationentire slurm configuration directory"", ""slurm build directory""]"
slurmctld,201,8,"[""primary slurmctld"", ""backup slurmctld"", ""served slurmctld"", ""pidof slurmctld"", ""restart slurmctld"", ""srun notifie slurmctld"", ""secondary slurmctld"", ""grep slurmctld""]"
slurmrestd,1825,8,"[""run slurmrestd"", ""systemctl edit slurmrestd"", ""run systemctl edit slurmrestd"", ""systemctl revert slurmrestd"", ""configure slurmrestd"", ""optional slurmrestd"", ""original slurmrestd"", ""null slurmrestd""]"
component,550,7,"[""heterogeneous job component"", ""job component"", ""hetjob component"", ""slurm component"", ""individual component"", ""optional slurm component"", ""core slurm component""]"
method,843,7,"[""authentication method"", ""distribution method"", ""default distribution method"", ""default allocation method"", ""block allocation method"", ""block distribution method"", ""cyclic distribution method""]"
mode,724,7,"[""run mode"", ""exclusive mode"", ""interactive mode"", ""inet service mode"", ""power saving mode"", ""mcdram mode"", ""numa mode""]"
database,349,7,"[""slurm database"", ""single database"", ""mariadb database"", ""slurm accounting database"", ""large slurm database"", ""mysql database"", ""accounting database""]"
slurm.conf,1593,6,"[""alternate slurm.conf"", ""man slurm.conf"", ""slurm configuration file slurm.conf"", ""sample slurm.conf"", ""change slurm.conf"", ""consistent slurm.conf""]"
library,2537,6,"[""system library"", ""pmi 2 library"", ""pmi library"", ""slurm library"", ""nvml library"", ""slurm plugin library""]"
support,2440,6,"[""oci support"", ""slurm support"", ""slurm multi core support"", ""cpu affinity support"", ""slurmd support"", ""slurmrestd support""]"
priority,13,6,"[""high priority"", ""scheduling priority"", ""job priority"", ""slurm_prio_process scheduling priority"", ""integer priority"", ""age priority""]"
release,1754,6,"[""slurm release"", ""stable slurm release"", ""major release"", ""slurm major release"", ""slurm 20.11 release"", ""major slurm release""]"
reservation,386,6,"[""backfill reservation"", ""advanced reservation"", ""resource reservation"", ""magnetic reservation"", ""slurm_job_reservation reservation"", ""maintenance reservation""]"
server,1238,6,"[""compute server"", ""kafka server"", ""database server"", ""slurmdbd server"", ""license server"", ""mps server""]"
size,278,5,"[""memory size"", ""stack size"", ""job size"", ""resident set size"", ""maximum size""]"
record,210,5,"[""accounting record"", ""slurmctld daemon record"", ""dns srv record"", ""job record"", ""step record""]"
memory,116,5,"[""slurmctld memory"", ""real memory"", ""default memory"", ""maximum memory"", ""locked memory""]"
list,373,5,"[""cluster list"", ""job list"", ""user list"", ""slurm mailing list"", ""full list""]"
string,681,5,"[""time string"", ""string arbitrary string"", ""ascii text string"", ""arbitrary string"", ""comment string""]"
controller,709,5,"[""primary controller"", ""slurm controller"", ""optional backup controller"", ""backup controller"", ""freezer controller""]"
scheduler,335,5,"[""backfill scheduler"", ""gang scheduler"", ""slurm gang scheduler"", ""slurm scheduler"", ""slurm backfill scheduler""]"
documentation,3650,5,"[""official documentation"", ""pam_slurm_adopt documentation"", ""slurm documentation"", ""slurmrestd documentation"", ""slurm.conf documentation""]"
path,1458,5,"[""correct path"", ""slurm installation path"", ""qualified path"", ""absolute path"", ""slurmdb path""]"
operation,1023,5,"[""proper operation"", ""slurm operation"", ""asynchronous operation"", ""normal operation"", ""power saving operation""]"
slurmd,654,5,"[""systemctl restart slurmd"", ""local slurmd"", ""upgrade slurmd"", ""relevant slurmd"", ""single slurmd""]"
level,22,4,"[""high level"", ""cluster level"", ""top level"", ""slurmddebug level""]"
qos,472,4,"[""raw qos"", ""partition qos"", ""relative qos"", ""job qos""]"
d,,4,"[""i d"", ""task i d"", ""slurm slurmdbd d"", ""socket i d""]"
datum,1232,4,"[""energy datum"", ""accounting datum"", ""slurm accounting datum"", ""task datum""]"
user,166,4,"[""string user"", ""http: groups.google.com group slurm user"", ""slurm user"", ""slurm_job_user user""]"
tre,603,4,"[""string tre"", ""billable tre"", ""global tre"", ""billing tre""]"
feature,328,4,"[""node feature"", ""slurm feature"", ""slurm_job_constraint feature"", ""active feature""]"
line,1875,4,"[""command line"", ""nodename line"", ""execute line"", ""pam_slurm_adopt line""]"
cpu,805,4,"[""srun cpu"", ""idle cpu"", ""logical cpu"", ""unique cpu""]"
requirement,1469,4,"[""memory requirement"", ""resource requirement"", ""burst buffer requirement"", ""job memory requirement""]"
flag,357,4,"[""level flag"", ""bind flag"", ""usagefactorsafe flag"", ""state flag""]"
task,222,4,"[""launch task"", ""user task"", ""individual task"", ""parallel task""]"
manager,,4,"[""slurm job manager"", ""hydra process manager"", ""slurm workload manager"", ""slurmstepdthe job step manager""]"
mechanism,1185,4,"[""slurm bootstrap mechanism"", ""bootstrap mechanism"", ""authentication mechanism"", ""slurm authentication mechanism""]"
tool,1466,4,"[""slurm configuration tool"", ""administrator tool"", ""configuration tool"", ""slurm tool""]"
machine,1832,4,"[""control machine"", ""separate machine"", ""slurmrestd machine"", ""slurmctld machine""]"
usage,53,4,"[""effective usage"", ""resource usage"", ""cpu usage"", ""actual usage""]"
host,126,4,"[""backup host"", ""slurm_submit_host host"", ""backup slurmdbd host"", ""slurmctld host""]"
execute,4265,4,"[""slurmdbd daemon execute"", ""slurmctld execute"", ""slurmctld daemon execute"", ""slurmd daemon execute""]"
functionality,129,4,"[""current slurm functionality"", ""non slurmdbd functionality"", ""basic slurm functionality"", ""slurm functionality""]"
group,584,4,"[""user group"", ""control group"", ""slurm_job_group group"", ""tim@blackhole srun getent s slurm group""]"
module,3711,4,"[""pam_slurm_adopt module"", ""pam module"", ""pam_listfile module"", ""slurm pam module""]"
lock,291,3,"[""internal lock"", ""global slurmctld lock"", ""slurmctld lock""]"
thread,160,3,"[""separate slurmctld thread"", ""logical thread"", ""separate processing thread""]"
logic,309,3,"[""scheduling logic"", ""gang scheduling logic"", ""slurm job preemption logic""]"
call,1054,3,"[""remote procedure call"", ""api call"", ""system call""]"
header,3364,3,"[""accept request header"", ""type response header"", ""type request header""]"
description,380,3,"[""job description"", ""complete description"", ""reservation description""]"
socket,142,3,"[""physical processor socket"", ""unix socket"", ""individual socket""]"
distribution,1976,3,"[""slurm distribution"", ""cyclic distribution"", ""linux distribution""]"
environment,175,3,"[""job environment"", ""test environment"", ""slurm environment""]"
implementation,2178,3,"[""slurm oci container implementation"", ""mpi implementation"", ""internal pmi implementation""]"
slurm_job_id,1721,3,"[""printenv slurm_job_id"", ""environment variable slurm_job_id"", ""print slurm_job_id""]"
log,213,3,"[""slurmrestd log"", ""slurm job accounting log"", ""slurm log""]"
ids,,3,"[""task ids"", ""cpu ids"", ""slurm abstract cpu ids""]"
setting,1301,3,"[""configuration setting"", ""slurm.conf setting"", ""sample slurm.conf file setting""]"
management,4468,3,"[""resource management"", ""scalable cluster management"", ""cpu management""]"
queue,308,3,"[""job queue"", ""slurm scheduling queue"", ""slurmdbd agent queue""]"
n,,3,"[""salloc n"", ""srun n"", ""node n""]"
port,319,3,"[""slurm port"", ""slurmd port"", ""default port""]"
accounting,305,3,"[""job accounting"", ""slurm accounting"", ""slurmdbd accounting""]"
program,1216,3,"[""slurmstepd program"", ""epilog program"", ""prolog program""]"
behavior,1868,3,"[""normal slurm behavior"", ""default behavior"", ""slurm behavior""]"
rpm,1839,3,"[""slurmdbd rpm"", ""slurm rpm"", ""pam_slurm rpm""]"
start,866,3,"[""slurmctld start"", ""init.d slurmdbd start"", ""slurm start""]"
expression,1038,3,"[""node range expression"", ""regular expression"", ""slurm hostlist expression""]"
client,1235,3,"[""slurm job submission client"", ""slurmrestd web client"", ""slurm client""]"
update,1749,3,"[""automatic update"", ""major slurm update"", ""scontrol update""]"
credential,2222,3,"[""invalid job credential"", ""launch credential"", ""job step credential""]"
field,1645,3,"[""modified field"", ""missing field"", ""slurm_job_extra extra field""]"
license,400,3,"[""remote license"", ""matlab rlm_host license"", ""slurm license""]"
topology,982,3,"[""network topology"", ""tree topology"", ""block topology""]"
run,1492,3,"[""slurmctld daemon run"", ""slurmctld run"", ""slurm run""]"
section,1552,3,"[""slurmdbd section"", ""slurmd section"", ""slurmctld section""]"
ratio,,2,"[""effective usage ratio"", ""usage ratio""]"
communication,150,2,"[""slurm communication"", ""hierarchical communication""]"
throughput,,2,"[""job throughput"", ""system throughput""]"
array,741,2,"[""job array"", ""entire job array""]"
termination,764,2,"[""job termination"", ""slurmctld verifie termination""]"
change,101,2,"[""state change"", ""configuration change""]"
scheduling,232,2,"[""backfill scheduling"", ""gang scheduling""]"
storage,1284,2,"[""local storage"", ""job accounting storage""]"
â,,2,"[""query parameter â"", ""body parameter â""]"
test,2561,2,"[""ping test"", ""slurmd daemon test""]"
reconfigure,,2,"[""request slurmctld reconfigure"", ""scontrol reconfigure""]"
v0.0.43_openapi_slurmdbd_qos_resp,,2,"[""qos v0.0.43_openapi_slurmdbd_qos_resp"", ""qos information v0.0.43_openapi_slurmdbd_qos_resp""]"
comment,667,2,"[""string arbitrary comment"", ""slurm_job_comment comment""]"
failure,1269,2,"[""job failure"", ""slurm failure""]"
period,2311,2,"[""time period"", ""maintenance period""]"
index,1379,2,"[""slurm index"", ""array index""]"
authentication,1807,2,"[""munge authentication"", ""jwt authentication""]"
location,1224,2,"[""installation location"", ""slurmdlogfile location""]"
gpu,812,2,"[""nvidia gpu"", ""multi instance gpu""]"
s,,2,"[""curl s"", ""state cpu s""]"
message,100,2,"[""debug message"", ""error message""]"
processor,2047,2,"[""logical processor"", ""knl processor""]"
launch,,2,"[""task launch"", ""slurm job launch""]"
srun,1227,2,"[""man srun"", ""slurmstepd notifie srun""]"
amount,2333,2,"[""maximum amount"", ""total amount""]"
selection,1998,2,"[""resource selection"", ""node selection""]"
cgroup,2163,2,"[""linux cgroup"", ""slurm cgroup""]"
restart,1449,2,"[""slurmd restart"", ""slurmctld restart""]"
suspend,1178,2,"[""scontrol suspend"", ""job suspend""]"
administrator,777,2,"[""slurm system administrator"", ""system administrator""]"
control,2457,2,"[""slurm parameter control"", ""slurm control""]"
mpi,2448,2,"[""open mpi"", ""intel mpi""]"
upgrade,1751,2,"[""slurm upgrade"", ""place upgrade""]"
association,451,2,"[""user association"", ""requested association""]"
switch,871,2,"[""leaf switch"", ""network switch""]"
pair,2227,2,"[""partition pair"", ""index pair""]"
cycle,,2,"[""backfill cycle"", ""plugin life cycle""]"
plug,,2,"[""cons_tre plug"", ""spankslurm plug""]"
specialization,,2,"[""core specialization"", ""resource specialization""]"
tree,23,2,"[""fair tree"", ""association tree""]"
algorithm,1081,2,"[""fair tree algorithm"", ""fit algorithm""]"
r,,2,"[""lsf sleep root r"", ""user r""]"
source,1001,2,"[""open source"", ""slurm source""]"
buffer,4185,2,"[""burst buffer"", ""persistent burst buffer""]"
problem,2092,2,"[""file system problem"", ""configuration problem""]"
guide,1830,2,"[""upgrade guide"", ""slurm federated scheduling guide""]"
slurm_acct_db,4165,2,"[""database slurm_acct_db"", ""drop database slurm_acct_db""]"
execution,76,2,"[""late execution"", ""slurmdbd execution""]"
slurm_array_task_id,4492,2,"[""environment variable slurm_array_task_id"", ""high slurm_array_task_id""]"
frequency,337,2,"[""cpu frequency"", ""gpu frequency""]"
ipc,,2,"[""system v ipc"", ""sysv ipc""]"
entry,1144,2,"[""duplicate entry"", ""slurmctldhost entry""]"
specification,792,2,"[""job specification"", ""openapi specification""]"
fashion,3088,2,"[""timely fashion"", ""robin fashion""]"
23.11.1.tar.bz,,2,"[""tar xjvf slurm 23.11.1.tar.bz"", ""rpmbuild ta slurm 23.11.1.tar.bz""]"
package,2480,2,"[""slurm package"", ""deb package""]"
binary,5416,2,"[""slurm * binary"", ""slurmdbd daemon binary""]"
slurmdtimeout,3119,2,"[""configuration parameter slurmdtimeout"", ""preferred slurmdtimeout""]"
performance,181,2,"[""slurmctld performance"", ""slurm performance""]"
stage,5829,2,"[""burst buffer stage"", ""buffer stage""]"
key,1323,2,"[""jwt key"", ""default key""]"
note,267,2,"[""release note"", ""slurm openapi plugin release note""]"
auth,1596,2,"[""sackdslurm auth"", ""slurm auth""]"
instance,526,2,"[""slurmd instance"", ""slurmctld instance""]"
network,846,2,"[""dragonfly network"", ""hierarchical network""]"
c,,2,"[""slurmd c"", ""account c""]"
valuesdescription,,2,"[""step 1slurm.conf parameterpossible valuesdescription"", ""step 3slurm.conf parameterpossible valuesdescription""]"
definition,,2,"[""partition definition"", ""node definition""]"
nss_slurm,9387,2,"[""enabling nss_slurm"", ""information nss_slurm""]"
hierarchy,678,1,"[""account hierarchy""]"
formula,20,1,"[""share formula""]"
decay,8056,1,"[""life decay""]"
computing,,1,"[""high throughput computing""]"
connection,347,1,"[""tcp connection""]"
logging,,1,"[""detailed logging""]"
body,,1,"[""request body""]"
timestamp,,1,"[""unix timestamp""]"
v0.0.43_openapi_slurmdbd_qos_removed_resp,493,1,"[""ping test v0.0.43_openapi_slurmdbd_qos_removed_resp""]"
v0.0.43_openapi_slurmdbd_config_resp,,1,"[""slurmdbd configuration v0.0.43_openapi_slurmdbd_config_resp""]"
diagnostic,,1,"[""slurmdb diagnostic""]"
v0.0.43_openapi_slurmdbd_stats_resp,,1,"[""statistic v0.0.43_openapi_slurmdbd_stats_resp""]"
v0.0.43_openapi_resp,,1,"[""slurmdbd configuration v0.0.43_openapi_resp""]"
reached,,1,"[""integer reached""]"
filtering,4398,1,"[""node filtering""]"
constraint,556,1,"[""extra constraint""]"
bundle,1457,1,"[""oci container bundle""]"
quality,2834,1,"[""string quality""]"
true,,1,"[""boolean true""]"
comma,1039,1,"[""string comma""]"
notification,,1,"[""email notification""]"
response,207,1,"[""job signal response""]"
root,24,1,"[""user root""]"
weight,979,1,"[""billing weight""]"
rollup,,1,"[""daily rollup""]"
processing,5163,1,"[""option processing""]"
plugin_version,,1,"[""uint32_t plugin_version""]"
initialization,1290,1,"[""global initialization""]"
init,1291,1,"[""slurm init""]"
fini,1294,1,"[""slurm fini""]"
slurm_opt_t,,1,"[""struct slurm_opt_t""]"
runtime,1459,1,"[""oci runtime""]"
docker,1465,1,"[""rootless docker""]"
namespace,,1,"[""mount namespace""]"
poll,,1,"[""slurm poll""]"
%u,,1,"[""user %u""]"
kill,,1,"[""user %u kill""]"
p,,1,"[""sigkill % p""]"
purpose,1210,1,"[""testing purpose""]"
etc,,1,"[""slurm: etc""]"
oci.conf,1460,1,"[""generic oci.conf""]"
*rel,,1,"[""cat etc *rel""]"
permission,1869,1,"[""special user permission""]"
argument,1270,1,"[""command line argument""]"
with,,1,"[""slurm with""]"
integration,1429,1,"[""slurm integration""]"
synchronization,,1,"[""slurm image synchronization""]"
token,330,1,"[""json web token""]"
slurm_jwt,1900,1,"[""export slurm_jwt""]"
ship,,1,"[""slurm ship""]"
unit,2873,1,"[""slurmrestd service unit""]"
slurmrestdif,,1,"[""nologin u slurmrestdif""]"
availability,2680,1,"[""high availability""]"
service,759,1,"[""slurmrestd service""]"
mask,2069,1,"[""affinity mask""]"
affinity,1954,1,"[""task affinity""]"
utility,,1,"[""slurm utility""]"
action,1263,1,"[""task launch action""]"
conf,,1,"[""slurmd conf""]"
slurmctl,2268,1,"[""server slurmctl""]"
order,152,1,"[""priority order""]"
testing,,1,"[""initial testing""]"
reconfig,,1,"[""scontrol reconfig""]"
interval,776,1,"[""schedulertimeslice interval""]"
manpage,,1,"[""slurm.conf manpage""]"
preemption,2314,1,"[""job preemption""]"
bitmap,2197,1,"[""active bitmap""]"
kernel,1446,1,"[""linux kernel""]"
announce@schedmd.com,,1,"[""slurm announce@schedmd.com""]"
users@schedmd.com,,1,"[""slurm users@schedmd.com""]"
community,,1,"[""slurm community""]"
application,364,1,"[""user application""]"
slurm_mpi_type,,1,"[""equivalent environment variable slurm_mpi_type""]"
rpmbuild,,1,"[""user@testbox:~ slurm_rpm rpmbuild""]"
tmpf,4344,1,"[""slurmd tmpf""]"
app,2037,1,"[""user app""]"
tracking,,1,"[""process tracking""]"
lib,1895,1,"[""slurm lib""]"
installation,1332,1,"[""slurm installation""]"
context,2713,1,"[""selinux context""]"
session,1498,1,"[""ssh session""]"
submission,1167,1,"[""job submission""]"
reason,586,1,"[""performance reason""]"
slurm.html,,1,"[""https: slurm.schedmd.com slurm.html""]"
variety,2490,1,"[""wide variety""]"
pathname,3982,1,"[""qualified pathname""]"
disk,5118,1,"[""local disk""]"
container,745,1,"[""job container""]"
initiation,3310,1,"[""job step initiation""]"
completion,2753,1,"[""job completion""]"
gather,,1,"[""job accounting gather""]"
wait,,1,"[""slurm controller wait""]"
fix,,1,"[""bug fix""]"
statesavelocation,1421,1,"[""slurm statesavelocation""]"
clustername,2971,1,"[""slurm clustername""]"
shell,3356,1,"[""interactive shell""]"
core,140,1,"[""specialized core""]"
slurmdoffspec,,1,"[""taskpluginparam slurmdoffspec""]"
integer,136,1,"[""unsigned integer""]"
fs,,1,"[""level fs""]"
fairshare,683,1,"[""level fairshare""]"
space,3155,1,"[""disk space""]"
pd,,1,"[""lsf sleep root pd""]"
approach,2080,1,"[""default slurm approach""]"
linux,2224,1,"[""node linux""]"
difference,244,1,"[""main difference""]"
modification,95,1,"[""kernel modification""]"
input,1308,1,"[""standard input""]"
output,1320,1,"[""standard output""]"
slurmdlogfile,5207,1,"[""instance slurmdlogfile""]"
foo,7831,1,"[""slurmd n foo""]"
n%i,,1,"[""slurmd n%i""]"
%i.pid,,1,"[""slurmd %i.pid""]"
slurmd@nodexyz,3779,1,"[""restart slurmd@nodexyz""]"
sql,,1,"[""slurm sql""]"
snowflake,3995,1,"[""cluster snowflake""]"
build,4050,1,"[""slurm build""]"
table,1357,1,"[""database table""]"
set,70,1,"[""option set""]"
archive,2446,1,"[""slurmdbd archive""]"
entity,339,1,"[""slurm entity""]"
adev,4412,1,"[""node adev""]"
%a_%a.out,,1,"[""slurm %a_%a.out""]"
36_3.out,,1,"[""slurm 36_3.out""]"
element,2187,1,"[""job array element""]"
dependencie,,1,"[""job dependencie""]"
base,,1,"[""slurm code base""]"
team,,1,"[""slurm team""]"
4d_toru,,1,"[""topology 4d_toru""]"
label,1706,1,"[""mcs label""]"
enforcement,3045,1,"[""label enforcement""]"
software,1470,1,"[""free software""]"
prompt,,1,"[""shell prompt""]"
commit,,1,"[""slurm commit""]"
crashed,,1,"[""slurmctld daemon crashed""]"
dump,5417,1,"[""slurm daemon core dump""]"
3.81.slurm.patch,,1,"[""make 3.81.slurm.patch""]"
4.0.slurm.patch,,1,"[""make 4.0.slurm.patch""]"
tolerance,,1,"[""fault tolerance""]"
x11.git,,1,"[""git clone https: github.com hautreux slurm spank x11.git""]"
limits.conf,5258,1,"[""man limits.conf""]"
hostname,716,1,"[""slurmd n hostname""]"
slurm.spec,6204,1,"[""file slurm.spec""]"
24.11.0.tar.bz,,1,"[""slurm 24.11.0.tar.bz""]"
basi,217,1,"[""partition basi""]"
slurm_showq,,1,"[""https: github.com pedmon slurm_showq""]"
register,,1,"[""slurmd daemon register""]"
address,941,1,"[""ip address""]"
check,3729,1,"[""node health check""]"
computer,2975,1,"[""slurm computer""]"
slurm_job_nodelist,4805,1,"[""print slurm_job_nodelist""]"
descriptor,,1,"[""file descriptor""]"
slurmctldepilog,,1,"[""cat slurmctldepilog""]"
dvvvvv,,1,"[""slurmctld dvvvvv""]"
executing,,1,"[""slurmd daemon executing""]"
dvv,,1,"[""slurmdbd dvv""]"
nodename,2170,1,"[""slurm nodename""]"
noise,,1,"[""system noise""]"
hetjob,768,1,"[""sbatch hetjob""]"
directive,1893,1,"[""burst buffer directive""]"
leader,,1,"[""heterogeneous job leader""]"
het,,1,"[""srun het""]"
slurm_procid,4841,1,"[""unique slurm_procid""]"
prep,5773,1,"[""slurm prep""]"
responsiveness,208,1,"[""slurmctld responsiveness""]"
burst_buffer,5037,1,"[""slurm burst_buffer""]"
slurm_bb_pool,5869,1,"[""function slurm_bb_pool""]"
operator,2688,1,"[""slurm operator""]"
track,2373,1,"[""slurm track""]"
starttime,,1,"[""reservation starttime""]"
complete,5903,1,"[""job complete""]"
proxy,1926,1,"[""authenticating proxy""]"
jwt,1899,1,"[""slurm jwt""]"
var,4143,1,"[""slurm var""]"
username,4014,1,"[""slurm username""]"
stack,2621,1,"[""account stack""]"
$slurm_job_uid,,1,"[""user $slurm_job_uid""]"
adopt,,1,"[""pam_slurm adopt""]"
