edge_id,head_lemma,relation_label,tail_lemma,head_term,tail_term,relation_type,doc_id,chunk_id,confidence,evidence_json,raw_json
15,slurm,is_designated_for,slurm-announce,Slurm,slurm-announce,component_interaction,doc_2247,doc_2247_chunk_0001,0.9,"{""head_lemma"": ""slurm"", ""tail_lemma"": ""slurm-announce"", ""relation"": ""is_designated_for"", ""relation_type"": ""component_interaction"", ""reason"": ""SchedMD maintains slurm-announce mailing list for communications about Slurm releases."", ""confidence"": 0.9, ""raw_item"": {""head"": ""slurm"", ""tail"": ""slurm-announce"", ""relation"": ""is_designated_for"", ""relation_type"": ""component_interaction"", ""confidence"": 0.9, ""reason"": ""SchedMD maintains slurm-announce mailing list for communications about Slurm releases.""}}","{
  ""relations"": [
    {
      ""head"": ""slurm"",
      ""tail"": ""slurm-announce"",
      ""relation"": ""is_designated_for"",
      ""relation_type"": ""component_interaction"",
      ""confidence"": 0.9,
      ""reason"": ""SchedMD maintains slurm-announce mailing list for communications about Slurm releases.""
    },
    {
      ""head"": ""slurm"",
      ""tail"": ""slurm-users"",
      ""relation"": ""is_used_by"",
      ""relation_type"": ""component_interaction"",
      ""confidence"": 0.9,
      ""reason"": ""slurm-users mailing list is typically used by Slurm system administrators for discussion and community-provided support.""
    }
  ]
}"
16,slurm,is_used_by,slurm-users,Slurm,slurm-users,component_interaction,doc_2247,doc_2247_chunk_0001,0.9,"{""head_lemma"": ""slurm"", ""tail_lemma"": ""slurm-users"", ""relation"": ""is_used_by"", ""relation_type"": ""component_interaction"", ""reason"": ""slurm-users mailing list is typically used by Slurm system administrators for discussion and community-provided support."", ""confidence"": 0.9, ""raw_item"": {""head"": ""slurm"", ""tail"": ""slurm-users"", ""relation"": ""is_used_by"", ""relation_type"": ""component_interaction"", ""confidence"": 0.9, ""reason"": ""slurm-users mailing list is typically used by Slurm system administrators for discussion and community-provided support.""}}","{
  ""relations"": [
    {
      ""head"": ""slurm"",
      ""tail"": ""slurm-announce"",
      ""relation"": ""is_designated_for"",
      ""relation_type"": ""component_interaction"",
      ""confidence"": 0.9,
      ""reason"": ""SchedMD maintains slurm-announce mailing list for communications about Slurm releases.""
    },
    {
      ""head"": ""slurm"",
      ""tail"": ""slurm-users"",
      ""relation"": ""is_used_by"",
      ""relation_type"": ""component_interaction"",
      ""confidence"": 0.9,
      ""reason"": ""slurm-users mailing list is typically used by Slurm system administrators for discussion and community-provided support.""
    }
  ]
}"
17,libraries,potential_install_location,/usr/lib64,libraries,/usr/lib64,file_usage,doc_2329,doc_2329_chunk_0004,0.8,"{""head_lemma"": ""libraries"", ""tail_lemma"": ""/usr/lib64"", ""relation"": ""potential_install_location"", ""relation_type"": ""file_usage"", ""reason"": ""Libraries might end up being installed under standard locations like /usr/lib64."", ""confidence"": 0.8, ""raw_item"": {""head"": ""libraries"", ""tail"": ""/usr/lib64"", ""relation"": ""potential_install_location"", ""relation_type"": ""file_usage"", ""confidence"": 0.8, ""reason"": ""Libraries might end up being installed under standard locations like /usr/lib64.""}}","{
  ""relations"": [
    {
      ""head"": ""libraries"",
      ""tail"": ""/usr/lib64"",
      ""relation"": ""potential_install_location"",
      ""relation_type"": ""file_usage"",
      ""confidence"": 0.8,
      ""reason"": ""Libraries might end up being installed under standard locations like /usr/lib64.""
    }
  ]
}"
18,default value,controls,time,default value,time,config_dependency,doc_2770,doc_2770_chunk_0007,0.9,"{""head_lemma"": ""default value"", ""tail_lemma"": ""time"", ""relation"": ""controls"", ""relation_type"": ""config_dependency"", ""reason"": ""The default value sets the length of time for which the locks are relinquished, which affects the job's duration."", ""confidence"": 0.9, ""raw_item"": {""head"": ""default value"", ""tail"": ""time"", ""relation"": ""controls"", ""relation_type"": ""config_dependency"", ""confidence"": 0.9, ""reason"": ""The default value sets the length of time for which the locks are relinquished, which affects the job's duration.""}}","{
  ""relations"": [
    {
      ""head"": ""default value"",
      ""tail"": ""time"",
      ""relation"": ""controls"",
      ""relation_type"": ""config_dependency"",
      ""confidence"": 0.9,
      ""reason"": ""The default value sets the length of time for which the locks are relinquished, which affects the job's duration.""
    }
  ]
}"
19,command,mentioned_in,commit message,command,commit message,other,doc_2ec1,doc_2ec1_chunk_0003,0.9,"{""head_lemma"": ""command"", ""tail_lemma"": ""commit message"", ""relation"": ""mentioned_in"", ""relation_type"": ""other"", ""reason"": ""The command/regex used to generate changes should be mentioned in the commit message."", ""confidence"": 0.9, ""raw_item"": {""head"": ""command"", ""tail"": ""commit message"", ""relation"": ""mentioned_in"", ""relation_type"": ""other"", ""confidence"": 0.9, ""reason"": ""The command/regex used to generate changes should be mentioned in the commit message.""}}","{
  ""relations"": [
    {
      ""head"": ""command"",
      ""tail"": ""commit message"",
      ""relation"": ""mentioned_in"",
      ""relation_type"": ""other"",
      ""confidence"": 0.9,
      ""reason"": ""The command/regex used to generate changes should be mentioned in the commit message.""
    }
  ]
}"
20,slurmctld daemon,manages,slurmstepd,slurmctld daemon,slurmstepd,component_interaction,doc_33d3,doc_33d3_chunk_0003,0.95,"{""head_lemma"": ""slurmctld daemon"", ""tail_lemma"": ""slurmstepd"", ""relation"": ""manages"", ""relation_type"": ""component_interaction"", ""reason"": ""slurmctld daemon spawns a slurmstepd program to manage the job step."", ""confidence"": 0.95, ""raw_item"": {""head"": ""slurmctld daemon"", ""tail"": ""slurmstepd"", ""relation"": ""manages"", ""relation_type"": ""component_interaction"", ""confidence"": 0.95, ""reason"": ""slurmctld daemon spawns a slurmstepd program to manage the job step.""}}","{
  ""relations"": [
    {
      ""head"": ""slurmctld daemon"",
      ""tail"": ""slurmstepd"",
      ""relation"": ""manages"",
      ""relation_type"": ""component_interaction"",
      ""confidence"": 0.95,
      ""reason"": ""slurmctld daemon spawns a slurmstepd program to manage the job step.""
    }
  ]
}"
21,prioritysitefactorplugin,config_dependency,prioritycalcperiod,PrioritySiteFactorPlugin,PriorityCalcPeriod,config_dependency,doc_3773,doc_3773_chunk_0003,0.9,"{""head_lemma"": ""prioritysitefactorplugin"", ""tail_lemma"": ""prioritycalcperiod"", ""relation"": ""config_dependency"", ""relation_type"": ""config_dependency"", ""reason"": ""PrioritySiteFactorPlugin specifies the plugin used, and PriorityCalcPeriod configures the interval between calls to site_factor_p_update()."", ""confidence"": 0.9, ""raw_item"": {""head"": ""prioritysitefactorplugin"", ""tail"": ""prioritycalcperiod"", ""relation"": ""config_dependency"", ""relation_type"": ""config_dependency"", ""confidence"": 0.9, ""reason"": ""PrioritySiteFactorPlugin specifies the plugin used, and PriorityCalcPeriod configures the interval between calls to site_factor_p_update().""}}","{
  ""relations"": [
    {
      ""head"": ""prioritysitefactorplugin"",
      ""tail"": ""prioritycalcperiod"",
      ""relation"": ""config_dependency"",
      ""relation_type"": ""config_dependency"",
      ""confidence"": 0.9,
      ""reason"": ""PrioritySiteFactorPlugin specifies the plugin used, and PriorityCalcPeriod configures the interval between calls to site_factor_p_update().""
    }
  ]
}"
22,srun,allocates_to,node,srun,node,command_resource,doc_385e,doc_385e_chunk_0006,0.9,"{""head_lemma"": ""srun"", ""tail_lemma"": ""node"", ""relation"": ""allocates_to"", ""relation_type"": ""command_resource"", ""reason"": ""srun allocates jobs to nodes in the cluster."", ""confidence"": 0.9, ""raw_item"": {""head"": ""srun"", ""tail"": ""node"", ""relation"": ""allocates_to"", ""relation_type"": ""command_resource"", ""confidence"": 0.9, ""reason"": ""srun allocates jobs to nodes in the cluster.""}}","{
  ""relations"": [
    {
      ""head"": ""srun"",
      ""tail"": ""node"",
      ""relation"": ""allocates_to"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""srun allocates jobs to nodes in the cluster.""
    },
    {
      ""head"": ""srun"",
      ""tail"": ""kernel"",
      ""relation"": ""shares_with"",
      ""relation_type"": ""component_interaction"",
      ""confidence"": 0.8,
      ""reason"": ""srun shares the cluster's kernel with other jobs.""
    },
    {
      ""head"": ""srun"",
      ""tail"": ""daemons"",
      ""relation"": ""interacts_with"",
      ""relation_type"": ""component_interaction"",
      ""confidence"": 0.8,
      ""reason"": ""srun interacts with Slurm daemons to manage job allocation.""
    }
  ]
}"
23,srun,shares_with,kernel,srun,kernel,component_interaction,doc_385e,doc_385e_chunk_0006,0.8,"{""head_lemma"": ""srun"", ""tail_lemma"": ""kernel"", ""relation"": ""shares_with"", ""relation_type"": ""component_interaction"", ""reason"": ""srun shares the cluster's kernel with other jobs."", ""confidence"": 0.8, ""raw_item"": {""head"": ""srun"", ""tail"": ""kernel"", ""relation"": ""shares_with"", ""relation_type"": ""component_interaction"", ""confidence"": 0.8, ""reason"": ""srun shares the cluster's kernel with other jobs.""}}","{
  ""relations"": [
    {
      ""head"": ""srun"",
      ""tail"": ""node"",
      ""relation"": ""allocates_to"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""srun allocates jobs to nodes in the cluster.""
    },
    {
      ""head"": ""srun"",
      ""tail"": ""kernel"",
      ""relation"": ""shares_with"",
      ""relation_type"": ""component_interaction"",
      ""confidence"": 0.8,
      ""reason"": ""srun shares the cluster's kernel with other jobs.""
    },
    {
      ""head"": ""srun"",
      ""tail"": ""daemons"",
      ""relation"": ""interacts_with"",
      ""relation_type"": ""component_interaction"",
      ""confidence"": 0.8,
      ""reason"": ""srun interacts with Slurm daemons to manage job allocation.""
    }
  ]
}"
24,srun,interacts_with,daemons,srun,daemons,component_interaction,doc_385e,doc_385e_chunk_0006,0.8,"{""head_lemma"": ""srun"", ""tail_lemma"": ""daemons"", ""relation"": ""interacts_with"", ""relation_type"": ""component_interaction"", ""reason"": ""srun interacts with Slurm daemons to manage job allocation."", ""confidence"": 0.8, ""raw_item"": {""head"": ""srun"", ""tail"": ""daemons"", ""relation"": ""interacts_with"", ""relation_type"": ""component_interaction"", ""confidence"": 0.8, ""reason"": ""srun interacts with Slurm daemons to manage job allocation.""}}","{
  ""relations"": [
    {
      ""head"": ""srun"",
      ""tail"": ""node"",
      ""relation"": ""allocates_to"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""srun allocates jobs to nodes in the cluster.""
    },
    {
      ""head"": ""srun"",
      ""tail"": ""kernel"",
      ""relation"": ""shares_with"",
      ""relation_type"": ""component_interaction"",
      ""confidence"": 0.8,
      ""reason"": ""srun shares the cluster's kernel with other jobs.""
    },
    {
      ""head"": ""srun"",
      ""tail"": ""daemons"",
      ""relation"": ""interacts_with"",
      ""relation_type"": ""component_interaction"",
      ""confidence"": 0.8,
      ""reason"": ""srun interacts with Slurm daemons to manage job allocation.""
    }
  ]
}"
25,assocgrpbb,affects_resource,burst buffer,AssocGrpBB,Burst Buffer,command_resource,doc_405b,doc_405b_chunk_0002,0.9,"{""head_lemma"": ""assocgrpbb"", ""tail_lemma"": ""burst buffer"", ""relation"": ""affects_resource"", ""relation_type"": ""command_resource"", ""reason"": ""AssocGrpBB indicates that the job's association has reached its aggregate Burst Buffer limit."", ""confidence"": 0.9, ""raw_item"": {""head"": ""assocgrpbb"", ""tail"": ""burst buffer"", ""relation"": ""affects_resource"", ""relation_type"": ""command_resource"", ""confidence"": 0.9, ""reason"": ""AssocGrpBB indicates that the job's association has reached its aggregate Burst Buffer limit.""}}","{
  ""relations"": [
    {
      ""head"": ""assocgrpbb"",
      ""tail"": ""burst buffer"",
      ""relation"": ""affects_resource"",
      ""relation_type"": ""command_resource"",
      ""confidence"": 0.9,
      ""reason"": ""AssocGrpBB indicates that the job's association has reached its aggregate Burst Buffer limit.""
    },
    {
      ""head"": ""assocgrpcpulimit"",
      ""tail"": ""billing limit"",
      ""relation"": ""controls"",
      ""relation_type"": ""config_dependency"",
      ""confidence"": 0.9,
      ""reason"": ""AssocGrpCpuLimit is a configuration parameter that sets the aggregate CPU limit, which affects the Billing limit.""
    }
  ]
}"
