term,example_doc_id,example_chunk_id,freq_total,doc_count
/dev/random,doc_6b88,doc_6b88_chunk_0003,2,2
/dev/shm,doc_4600,doc_4600_chunk_0001,1,1
/etc/default/slurmrestd,doc_0e42,doc_0e42_chunk_0003,1,1
/etc/gai.conf,doc_e2a1,doc_e2a1_chunk_0005,1,1
/etc/hosts,doc_5755,doc_5755_chunk_0041,2,1
/etc/init.d/slurm,doc_f2ec,doc_f2ec_chunk_0004,1,1
/etc/munge/munge.key,doc_915b,doc_915b_chunk_0001,1,1
/etc/nsswitch.conf,doc_e643,doc_e643_chunk_0003,1,1
/etc/pam.d/sshd,doc_5755,doc_5755_chunk_0046,1,1
/etc/rc.d/rc.local,doc_04b1,doc_04b1_chunk_0001,1,1
/etc/ssh/allowed_users,doc_5755,doc_5755_chunk_0046,1,1
/etc/ssh/sshd_config,doc_732b,doc_732b_chunk_0002,1,1
/etc/sysconfig/slurm,doc_5755,doc_5755_chunk_0025,2,1
/etc/sysconfig/slurmrestd,doc_0e42,doc_0e42_chunk_0003,1,1
/etc/sysctl.conf,doc_04b1,doc_04b1_chunk_0001,1,1
/instance,doc_8ca0,doc_8ca0_chunk_0017,1,1
/instances,doc_8ca0,doc_8ca0_chunk_0017,1,1
/lib64/security/pam_listfile.so,doc_5755,doc_5755_chunk_0046,1,1
/proc/cpuinfo,doc_10c5,doc_10c5_chunk_0007,2,2
/proc/sys/fs/file-max,doc_04b1,doc_04b1_chunk_0001,2,2
/proc/sys/fs/suid_dumpable,doc_5755,doc_5755_chunk_0056,1,1
/proc/sys/net/core/somaxconn,doc_04b1,doc_04b1_chunk_0002,2,2
/proc/sys/net/ipv4/tcp_max_syn_backlog,doc_582b,doc_582b_chunk_0002,1,1
/proc/sys/net/ipv4/tcp_synack_retries,doc_04b1,doc_04b1_chunk_0002,1,1
/proc/sys/net/ipv4/tcp_syncookies,doc_04b1,doc_04b1_chunk_0002,1,1
/run/slurm/conf,doc_193a,doc_193a_chunk_0002,1,1
/slurm/v0.0.39/node/{node_id},doc_7425,doc_7425_chunk_0028,1,1
/slurmdb/,doc_d199,doc_d199_chunk_0004,1,1
/storage,doc_5755,doc_5755_chunk_0053,1,1
/sys/class/infiniband,doc_5755,doc_5755_chunk_0060,1,1
/sys/class/net,doc_5755,doc_5755_chunk_0060,1,1
/tmp,doc_4600,doc_4600_chunk_0001,2,2
/usr/lib64,doc_2329,doc_2329_chunk_0004,1,1
/var/nvme/storage,doc_4600,doc_4600_chunk_0001,1,1
/var/spool/abrt,doc_5755,doc_5755_chunk_0057,1,1
/var/spool/slurm/statesave/jwt.key,doc_6b88,doc_6b88_chunk_0007,1,1
0-255 range,doc_9fd4,doc_9fd4_chunk_0001,1,1
0.5 seconds,doc_2770,doc_2770_chunk_0007,1,1
1 day,doc_4387,doc_4387_chunk_0023,1,1
"1,024 nodes",doc_582b,doc_582b_chunk_0001,1,1
10 node,doc_977e,doc_977e_chunk_0007,1,1
10 seconds,doc_8ca0,doc_8ca0_chunk_0005,1,1
1000 units,doc_6722,doc_6722_chunk_0008,1,1
1440 minutes,doc_2770,doc_2770_chunk_0006,1,1
2 seconds,doc_2770,doc_2770_chunk_0006,1,1
256 bit keys,doc_6b88,doc_6b88_chunk_0004,1,1
3-node,doc_c8a9,doc_c8a9_chunk_0010,1,1
30 minutes,doc_977e,doc_977e_chunk_0007,1,1
4 GiB,doc_4387,doc_4387_chunk_0007,1,1
4 nodes,doc_977e,doc_977e_chunk_0007,1,1
404 error,doc_d199,doc_d199_chunk_0004,1,1
4d_torus,doc_4ff0,doc_4ff0_chunk_0001,2,1
"50,000 jobs",doc_7940,doc_7940_chunk_0001,1,1
500 simple batch jobs,doc_04b1,doc_04b1_chunk_0001,1,1
6 CPUs,doc_d9be,doc_d9be_chunk_0014,1,1
60 minutes,doc_977e,doc_977e_chunk_0007,1,1
60 seconds,doc_2770,doc_2770_chunk_0006,1,1
8 bit unsigned number,doc_9fd4,doc_9fd4_chunk_0001,1,1
80-characters,doc_2ec1,doc_2ec1_chunk_0001,1,1
::ffff:0:0/96,doc_e2a1,doc_e2a1_chunk_0005,1,1
ABS_PATH_TO_BUNDLE,doc_0ac6,doc_0ac6_chunk_0008,1,1
ACCRUE_ALWAYS,doc_ac8b,doc_ac8b_chunk_0010,1,1
ACK,doc_04b1,doc_04b1_chunk_0002,1,1
ACTIVE,doc_7940,doc_7940_chunk_0002,1,1
AI/ML,doc_e2d8,doc_e2d8_chunk_0001,1,1
ALL,doc_e2ce,doc_e2ce_chunk_0001,1,1
ANSI_QUOTES,doc_5755,doc_5755_chunk_0038,1,1
API,doc_05be,doc_05be_chunk_0001,6,6
API Functions,doc_e992,doc_e992_chunk_0002,1,1
API call,doc_05b9,doc_05b9_chunk_0007,1,1
API calls,doc_e992,doc_e992_chunk_0002,1,1
APIs,doc_2329,doc_2329_chunk_0011,1,1
AUKS,doc_8b12,doc_8b12_chunk_0001,1,1
AUKS plugin,doc_8b12,doc_8b12_chunk_0001,1,1
AVAIL,doc_c8a9,doc_c8a9_chunk_0011,1,1
Account,doc_4387,doc_4387_chunk_0022,4,3
Account A,doc_c721,doc_c721_chunk_0004,3,1
Account B,doc_c721,doc_c721_chunk_0006,1,1
Account C,doc_c721,doc_c721_chunk_0006,1,1
Account D,doc_c721,doc_c721_chunk_0005,2,1
Account E,doc_c721,doc_c721_chunk_0006,1,1
Account F,doc_c721,doc_c721_chunk_0006,1,1
Account Gather Energy,doc_8e0f,doc_8e0f_chunk_0002,1,1
Account Options,doc_4387,doc_4387_chunk_0021,1,1
Account association,doc_d41b,doc_d41b_chunk_0001,1,1
AccountNotAllowed,doc_405b,doc_405b_chunk_0001,1,1
Accounting,doc_2660,doc_2660_chunk_0002,3,2
Accounting Database,doc_5755,doc_5755_chunk_0005,1,1
Accounting Storage,doc_8e0f,doc_8e0f_chunk_0002,1,1
Accounting Storage Plugin,doc_8e0f,doc_8e0f_chunk_0003,1,1
Accounting records,doc_4387,doc_4387_chunk_0020,1,1
AccountingPolicy,doc_405b,doc_405b_chunk_0001,1,1
AccountingStorage,doc_d41b,doc_d41b_chunk_0003,1,1
AccountingStorageBackupHost,doc_4387,doc_4387_chunk_0005,2,2
AccountingStorageEnforce,doc_289e,doc_289e_chunk_0006,10,5
AccountingStorageExternal,doc_4387,doc_4387_chunk_0011,1,1
AccountingStorageExternalHost,doc_4387,doc_4387_chunk_0011,1,1
AccountingStorageHost,doc_4387,doc_4387_chunk_0011,1,1
AccountingStoragePass,doc_2cc9,doc_2cc9_chunk_0008,2,2
AccountingStoragePort,doc_4387,doc_4387_chunk_0011,3,1
AccountingStorageTRES,doc_85cb,doc_85cb_chunk_0002,7,4
AccountingStorageTres,doc_6722,doc_6722_chunk_0003,1,1
AccountingStorageType,doc_04b1,doc_04b1_chunk_0003,7,5
AccountingStorageUser,doc_2cc9,doc_2cc9_chunk_0008,1,1
AccountingStoreFlags,doc_2cc9,doc_2cc9_chunk_0008,2,2
AcctGatherEnergyType,doc_5755,doc_5755_chunk_0036,2,2
AcctGatherFilesystemType,doc_5755,doc_5755_chunk_0036,2,2
AcctGatherInterconnectType,doc_5755,doc_5755_chunk_0036,2,2
AcctGatherProfileType,doc_e541,doc_e541_chunk_0002,1,1
Active,doc_7940,doc_7940_chunk_0008,1,1
Active Sibling,doc_7940,doc_7940_chunk_0008,1,1
Address Space,doc_5755,doc_5755_chunk_0026,1,1
Address already in use,doc_0e42,doc_0e42_chunk_0005,1,1
Admin,doc_236f,doc_236f_chunk_0001,2,2
AdminLevel,doc_236f,doc_236f_chunk_0001,3,2
Advanced Reservations,doc_6722,doc_6722_chunk_0001,1,1
Affinity,doc_10c5,doc_10c5_chunk_0001,3,3
Affinity Mask,doc_10c5,doc_10c5_chunk_0001,1,1
Alejandro Sanchez,doc_0605,doc_0605_chunk_0003,1,1
AllocCPUs,doc_10c5,doc_10c5_chunk_0010,1,1
AllocMem,doc_50f7,doc_50f7_chunk_0006,1,1
Allocated Buffers,doc_6722,doc_6722_chunk_0015,1,1
Allocated CPU ids,doc_d9be,doc_d9be_chunk_0015,1,1
Allocations,doc_8ca0,doc_8ca0_chunk_0013,1,1
AllowNUMA,doc_96c0,doc_96c0_chunk_0006,1,1
AllowSpecResourcesUsage,doc_3740,doc_3740_chunk_0001,3,1
Amazon Cognito,doc_6b88,doc_6b88_chunk_0003,1,1
Amazon Web Services,doc_8ca0,doc_8ca0_chunk_0001,1,1
Amazon's EC2,doc_5755,doc_5755_chunk_0006,2,1
Ansys program,doc_5755,doc_5755_chunk_0001,1,1
Apache,doc_6b88,doc_6b88_chunk_0002,1,1
Application,doc_10c5,doc_10c5_chunk_0005,1,1
Application Program Interfaces,doc_3bdd,doc_3bdd_chunk_0003,1,1
Application Programming Interfaces (APIs),doc_3583,doc_3583_chunk_0001,1,1
Arbitrary Generic RESources,doc_b2f9,doc_b2f9_chunk_0001,1,1
Arbitrary comment,doc_05b9,doc_05b9_chunk_0028,1,1
Arch,doc_50f7,doc_50f7_chunk_0006,2,2
Architecture of the Slurm Workload Manager,doc_5755,doc_5755_chunk_0009,1,1
ArrayJobID,doc_4d9f,doc_4d9f_chunk_0001,1,1
ArrayJobId,doc_4d9f,doc_4d9f_chunk_0006,2,1
ArrayTaskId,doc_4d9f,doc_4d9f_chunk_0006,2,1
AssocGrp,doc_405b,doc_405b_chunk_0001,1,1
AssocGrpBB,doc_405b,doc_405b_chunk_0001,2,1
AssocGrpBBLimit,doc_405b,doc_405b_chunk_0002,1,1
AssocGrpBBMinutes,doc_405b,doc_405b_chunk_0002,1,1
AssocGrpBBRunMinutes,doc_405b,doc_405b_chunk_0002,1,1
AssocGrpBilling,doc_405b,doc_405b_chunk_0002,1,1
AssocGrpBillingMinutes,doc_405b,doc_405b_chunk_0002,1,1
AssocGrpBillingRunMinutes,doc_405b,doc_405b_chunk_0002,1,1
AssocGrpCpuLimit,doc_405b,doc_405b_chunk_0002,1,1
AssocGrpGRES,doc_405b,doc_405b_chunk_0003,1,1
AssocGrpGRESLimit,doc_405b,doc_405b_chunk_0003,1,1
AssocGrpGRESMinutes,doc_405b,doc_405b_chunk_0003,1,1
AssocGrpGRESRunMinutes,doc_405b,doc_405b_chunk_0003,1,1
AssocGrpJobsLimit,doc_405b,doc_405b_chunk_0003,1,1
AssocGrpLicense,doc_405b,doc_405b_chunk_0003,1,1
AssocGrpLicenseLimit,doc_405b,doc_405b_chunk_0003,1,1
AssocGrpLicenseMinutes,doc_405b,doc_405b_chunk_0003,1,1
AssocGrpLicenseRunMinutes,doc_405b,doc_405b_chunk_0003,1,1
AssocGrpMemLimit,doc_405b,doc_405b_chunk_0003,1,1
AssocGrpMemMinutes,doc_405b,doc_405b_chunk_0003,1,1
AssocGrpSubmitJobsLimit,doc_405b,doc_405b_chunk_0004,1,1
AssocGrpUnknown,doc_405b,doc_405b_chunk_0004,1,1
AssocGrpUnknownMinutes,doc_405b,doc_405b_chunk_0004,1,1
AssocGrpUnknownRunMinutes,doc_405b,doc_405b_chunk_0004,1,1
AssocGrpWallLimit,doc_405b,doc_405b_chunk_0004,1,1
AssocMax,doc_405b,doc_405b_chunk_0001,1,1
AssocMaxBBMinutesPerJob,doc_405b,doc_405b_chunk_0004,1,1
AssocMaxBBPerJob,doc_405b,doc_405b_chunk_0004,1,1
AssocMaxBBPerNode,doc_405b,doc_405b_chunk_0004,1,1
AssocMaxBillingMinutesPerJob,doc_405b,doc_405b_chunk_0004,1,1
AssocMaxBillingPerJob,doc_405b,doc_405b_chunk_0004,1,1
AssocMaxCpuMinutesPerJobLimit,doc_405b,doc_405b_chunk_0005,1,1
AssocMaxCpuPerJobLimit,doc_405b,doc_405b_chunk_0005,1,1
AssocMaxCpuPerNode,doc_405b,doc_405b_chunk_0005,1,1
AssocMaxEnergyMinutesPerJob,doc_405b,doc_405b_chunk_0005,1,1
AssocMaxEnergyPerJob,doc_405b,doc_405b_chunk_0005,1,1
AssocMaxEnergyPerNode,doc_405b,doc_405b_chunk_0005,1,1
AssocMaxGRESMinutesPerJob,doc_405b,doc_405b_chunk_0005,1,1
AssocMaxGRESPerJob,doc_405b,doc_405b_chunk_0005,1,1
AssocMaxGRESPerNode,doc_405b,doc_405b_chunk_0005,1,1
AssocMaxJobsLimit,doc_405b,doc_405b_chunk_0005,1,1
AssocMaxLicenseMinutesPerJob,doc_405b,doc_405b_chunk_0006,1,1
AssocMaxLicensePerJob,doc_405b,doc_405b_chunk_0006,1,1
AssocMaxMemMinutesPerJob,doc_405b,doc_405b_chunk_0006,1,1
AssocMaxMemPerJob,doc_405b,doc_405b_chunk_0006,1,1
AssocMaxMemPerNode,doc_405b,doc_405b_chunk_0006,1,1
AssocMaxNodeMinutesPerJob,doc_405b,doc_405b_chunk_0006,1,1
AssocMaxNodePerJobLimit,doc_405b,doc_405b_chunk_0006,1,1
AssocMaxSubmitJobLimit,doc_405b,doc_405b_chunk_0006,1,1
AssocMaxUnknownMinutesPerJob,doc_405b,doc_405b_chunk_0006,1,1
AssocMaxUnknownPerJob,doc_405b,doc_405b_chunk_0006,1,1
AssocMaxUnknownPerNode,doc_405b,doc_405b_chunk_0006,2,1
AssocMaxWallDurationPerJobLimit,doc_405b,doc_405b_chunk_0007,1,1
Association,doc_4387,doc_4387_chunk_0019,3,2
Association limits,doc_289e,doc_289e_chunk_0005,1,1
AssociationJobLimit,doc_405b,doc_405b_chunk_0007,1,1
AssociationResourceLimit,doc_405b,doc_405b_chunk_0007,1,1
AssociationTimeLimit,doc_405b,doc_405b_chunk_0007,1,1
Auth,doc_6b88,doc_6b88_chunk_0004,1,1
Auth/munge,doc_915b,doc_915b_chunk_0002,1,1
Auth/slurm,doc_915b,doc_915b_chunk_0002,1,1
AuthAltParameters,doc_6b88,doc_6b88_chunk_0003,2,1
AuthAltType,doc_6b88,doc_6b88_chunk_0001,1,1
AuthAltTypes,doc_6b88,doc_6b88_chunk_0003,3,2
AuthInfo,doc_4387,doc_4387_chunk_0012,2,1
AuthType,doc_4387,doc_4387_chunk_0013,7,4
Authentication,doc_8e0f,doc_8e0f_chunk_0002,1,1
AuthenticationMethods,doc_732b,doc_732b_chunk_0002,1,1
AutoBasePath,doc_4600,doc_4600_chunk_0001,1,1
AutoDetect,doc_b2f9,doc_b2f9_chunk_0004,5,1
Average,doc_e541,doc_e541_chunk_0006,1,1
B account,doc_c721,doc_c721_chunk_0005,1,1
BUILD SYSTEM CHANGES,doc_2ec1,doc_2ec1_chunk_0002,1,1
Backfill,doc_2cc9,doc_2cc9_chunk_0004,2,2
Backfill scheduling,doc_2770,doc_2770_chunk_0004,1,1
Backup Controller Hostname,doc_2cc9,doc_2cc9_chunk_0002,1,1
BackupAddr,doc_ce7f,doc_ce7f_chunk_0008,1,1
BadConstraints,doc_405b,doc_405b_chunk_0007,1,1
Base64,doc_915b,doc_915b_chunk_0004,1,1
Base64url,doc_915b,doc_915b_chunk_0004,1,1
BaseBoard,doc_10c5,doc_10c5_chunk_0001,1,1
BasePath,doc_4600,doc_4600_chunk_0001,2,2
Bash,doc_5755,doc_5755_chunk_0017,1,1
Batch JobId,doc_5755,doc_5755_chunk_0007,3,1
BeginTime,doc_405b,doc_405b_chunk_0001,2,1
Beta state,doc_9ca6,doc_9ca6_chunk_0001,1,1
Billing,doc_cc8b,doc_cc8b_chunk_0001,2,1
Billing TRES,doc_cc8b,doc_cc8b_chunk_0003,2,1
Billing limit,doc_405b,doc_405b_chunk_0002,1,1
BlockSizes,doc_b00c,doc_b00c_chunk_0005,1,1
BlueGene/Q,doc_582b,doc_582b_chunk_0001,1,1
Board,doc_385e,doc_385e_chunk_0001,1,1
Boards,doc_50f7,doc_50f7_chunk_0006,1,1
BootTime,doc_8ca0,doc_8ca0_chunk_0003,1,1
Booting Different Images,doc_8ca0,doc_8ca0_chunk_0013,1,1
Builtin,doc_2cc9,doc_2cc9_chunk_0004,2,2
Burst Buffer,doc_405b,doc_405b_chunk_0002,1,1
Burst Buffer Resources,doc_6722,doc_6722_chunk_0011,1,1
Burst Buffer States,doc_6722,doc_6722_chunk_0001,2,1
Burst Buffer plugin,doc_405b,doc_405b_chunk_0008,1,1
Burst Buffers,doc_ac8b,doc_ac8b_chunk_0005,1,1
Burst buffers,doc_cc8b,doc_cc8b_chunk_0001,1,1
BurstBufferOperation,doc_405b,doc_405b_chunk_0007,1,1
BurstBufferResources,doc_405b,doc_405b_chunk_0007,1,1
BurstBufferStageIn,doc_405b,doc_405b_chunk_0007,3,2
BurstBufferType,doc_6722,doc_6722_chunk_0002,3,1
C - Contributions,doc_2ec1,doc_2ec1_chunk_0001,1,1
C API,doc_8186,doc_8186_chunk_0001,1,1
C account,doc_c721,doc_c721_chunk_0005,1,1
C language,doc_3bdd,doc_3bdd_chunk_0001,1,1
C plugin,doc_5755,doc_5755_chunk_0036,1,1
C program,doc_e8f0,doc_e8f0_chunk_0007,1,1
C run-time system,doc_3773,doc_3773_chunk_0002,2,2
C++ style,doc_2ec1,doc_2ec1_chunk_0002,1,1
C-style,doc_2ec1,doc_2ec1_chunk_0002,1,1
CALCULATE_RUNNING,doc_ac8b,doc_ac8b_chunk_0010,1,1
CANCEL,doc_c8a9,doc_c8a9_chunk_0007,2,1
CHANGELOG,doc_8f5e,doc_8f5e_chunk_0004,1,1
CLI,doc_05be,doc_05be_chunk_0003,2,1
CLI_COMMAND,doc_8f5e,doc_8f5e_chunk_0006,1,1
CLOUD,doc_8ca0,doc_8ca0_chunk_0005,3,1
COMPACT,doc_4387,doc_4387_chunk_0008,1,1
COMPLETED,doc_5755,doc_5755_chunk_0022,1,1
COMPLETING,doc_5755,doc_5755_chunk_0022,1,1
COMPLETING state,doc_5755,doc_5755_chunk_0003,2,2
CONFIG_MEMCG_SWAP,doc_ebf2,doc_ebf2_chunk_0008,1,1
CORES,doc_10c5,doc_10c5_chunk_0009,1,1
CPU,doc_385e,doc_385e_chunk_0001,7,4
CPU Frequency,doc_e541,doc_e541_chunk_0007,3,1
CPU Management,doc_b406,doc_b406_chunk_0001,1,1
CPU Time,doc_e541,doc_e541_chunk_0010,1,1
CPU Utilization,doc_e541,doc_e541_chunk_0010,1,1
CPU affinity,doc_10c5,doc_10c5_chunk_0007,1,1
CPU binding,doc_1988,doc_1988_chunk_0009,1,1
CPU cores per GPU,doc_05b9,doc_05b9_chunk_0028,1,1
CPU frequency,doc_5755,doc_5755_chunk_0007,2,2
CPU ids,doc_d9be,doc_d9be_chunk_0006,1,1
CPU limit,doc_5d35,doc_5d35_chunk_0014,1,1
CPU management,doc_d9be,doc_d9be_chunk_0007,1,1
CPU resources,doc_d9be,doc_d9be_chunk_0001,1,1
CPU usage,doc_d9be,doc_d9be_chunk_0007,1,1
CPU/task binding,doc_d9be,doc_d9be_chunk_0006,1,1
CPUAlloc,doc_50f7,doc_50f7_chunk_0006,1,1
CPULoad,doc_50f7,doc_50f7_chunk_0006,1,1
CPUS,doc_385e,doc_385e_chunk_0004,1,1
CPUSpecList,doc_3740,doc_3740_chunk_0003,1,1
CPUTot,doc_50f7,doc_50f7_chunk_0006,1,1
CPUs,doc_1988,doc_1988_chunk_0008,14,11
CRAY API,doc_6722,doc_6722_chunk_0009,1,1
CRON,doc_5755,doc_5755_chunk_0040,1,1
CR_CORE_Memory,doc_8ca0,doc_8ca0_chunk_0016,1,1
CR_CPU,doc_385e,doc_385e_chunk_0003,6,4
CR_CPU_MEMORY,doc_385e,doc_385e_chunk_0003,1,1
CR_CPU_Memory,doc_1988,doc_1988_chunk_0008,8,4
CR_Core,doc_b406,doc_b406_chunk_0001,5,2
CR_Core_Memory,doc_1988,doc_1988_chunk_0008,5,3
CR_Memory,doc_10c5,doc_10c5_chunk_0004,3,3
CR_Socket,doc_b406,doc_b406_chunk_0002,1,1
CR_Socket_Memory,doc_385e,doc_385e_chunk_0002,4,2
CSV,doc_05b9,doc_05b9_chunk_0005,2,1
CSV ID list,doc_05b9,doc_05b9_chunk_0011,1,1
CSV QOS list,doc_05b9,doc_05b9_chunk_0006,2,1
CSV accounts list,doc_05b9,doc_05b9_chunk_0006,1,1
CSV clusters list,doc_05b9,doc_05b9_chunk_0006,1,1
CSV partition name list,doc_05b9,doc_05b9_chunk_0007,1,1
CSV user list,doc_05b9,doc_05b9_chunk_0006,2,1
CUDA Multi-Process Service,doc_b2f9,doc_b2f9_chunk_0008,1,1
CUDA Multi-Process Service (MPS) devices,doc_b2f9,doc_b2f9_chunk_0001,1,1
CUDA libraries,doc_16b3,doc_16b3_chunk_0003,1,1
CUDA_DEVICE_ORDER,doc_b2f9,doc_b2f9_chunk_0008,2,1
CUDA_MPS_ACTIVE_THREAD_PERCENTAGE,doc_8a75,doc_8a75_chunk_0003,3,2
