edge_id,child_lemma,parent_lemma,child_term,parent_term,doc_id,chunk_id,confidence,evidence_json,raw_json
11,selinux_context,req_context,selinux_context,req_context,doc_2660,doc_2660_chunk_0002,0.9,"{""child_lemma"": ""selinux_context"", ""parent_lemma"": ""req_context"", ""reason"": ""selinux_context is a specific configuration parameter within job_desc that inherits from req_context."", ""confidence"": 0.9, ""raw_item"": {""child"": ""selinux_context"", ""parent"": ""req_context"", ""confidence"": 0.9, ""reason"": ""selinux_context is a specific configuration parameter within job_desc that inherits from req_context.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""selinux_context"",
      ""parent"": ""req_context"",
      ""confidence"": 0.9,
      ""reason"": ""selinux_context is a specific configuration parameter within job_desc that inherits from req_context.""
    }
  ]
}"
12,job qos,qos,job QOS,QOS,doc_289e,doc_289e_chunk_0002,0.9,"{""child_lemma"": ""job qos"", ""parent_lemma"": ""qos"", ""reason"": ""Job QOS is a specific type of QOS associated with a job."", ""confidence"": 0.9, ""raw_item"": {""child"": ""job qos"", ""parent"": ""qos"", ""confidence"": 0.9, ""reason"": ""Job QOS is a specific type of QOS associated with a job.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""job qos"",
      ""parent"": ""qos"",
      ""confidence"": 0.9,
      ""reason"": ""Job QOS is a specific type of QOS associated with a job.""
    },
    {
      ""child"": ""partition qos"",
      ""parent"": ""qos"",
      ""confidence"": 0.9,
      ""reason"": ""Partition QOS is a specific type of QOS associated with a partition.""
    },
    {
      ""child"": ""floating partition"",
      ""parent"": ""partition"",
      ""confidence"": 0.95,
      ""reason"": ""A floating partition is a specific type of partition with no restrictions on which nodes it uses to get resources.""
    }
  ]
}"
13,partition qos,qos,Partition QOS,QOS,doc_289e,doc_289e_chunk_0002,0.9,"{""child_lemma"": ""partition qos"", ""parent_lemma"": ""qos"", ""reason"": ""Partition QOS is a specific type of QOS associated with a partition."", ""confidence"": 0.9, ""raw_item"": {""child"": ""partition qos"", ""parent"": ""qos"", ""confidence"": 0.9, ""reason"": ""Partition QOS is a specific type of QOS associated with a partition.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""job qos"",
      ""parent"": ""qos"",
      ""confidence"": 0.9,
      ""reason"": ""Job QOS is a specific type of QOS associated with a job.""
    },
    {
      ""child"": ""partition qos"",
      ""parent"": ""qos"",
      ""confidence"": 0.9,
      ""reason"": ""Partition QOS is a specific type of QOS associated with a partition.""
    },
    {
      ""child"": ""floating partition"",
      ""parent"": ""partition"",
      ""confidence"": 0.95,
      ""reason"": ""A floating partition is a specific type of partition with no restrictions on which nodes it uses to get resources.""
    }
  ]
}"
14,relative resource limits,resource limits,relative resource limits,resource limits,doc_289e,doc_289e_chunk_0003,0.9,"{""child_lemma"": ""relative resource limits"", ""parent_lemma"": ""resource limits"", ""reason"": ""Relative resource limits are a type of resource limits expressed as percentages of the total resources available."", ""confidence"": 0.9, ""raw_item"": {""child"": ""relative resource limits"", ""parent"": ""resource limits"", ""confidence"": 0.9, ""reason"": ""Relative resource limits are a type of resource limits expressed as percentages of the total resources available.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""floating partition"",
      ""parent"": ""partition"",
      ""confidence"": 0.9,
      ""reason"": ""A floating partition is a specific type of partition that can access resources from any node.""
    },
    {
      ""child"": ""relative resource limits"",
      ""parent"": ""resource limits"",
      ""confidence"": 0.9,
      ""reason"": ""Relative resource limits are a type of resource limits expressed as percentages of the total resources available.""
    },
    {
      ""child"": ""partition qos"",
      ""parent"": ""qos"",
      ""confidence"": 0.9,
      ""reason"": ""Partition QOS is a specific type of QOS assigned to a Slurm partition.""
    }
  ]
}"
15,partition qos,qos,Partition QOS,QOS,doc_289e,doc_289e_chunk_0003,0.9,"{""child_lemma"": ""partition qos"", ""parent_lemma"": ""qos"", ""reason"": ""Partition QOS is a specific type of QOS assigned to a Slurm partition."", ""confidence"": 0.9, ""raw_item"": {""child"": ""partition qos"", ""parent"": ""qos"", ""confidence"": 0.9, ""reason"": ""Partition QOS is a specific type of QOS assigned to a Slurm partition.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""floating partition"",
      ""parent"": ""partition"",
      ""confidence"": 0.9,
      ""reason"": ""A floating partition is a specific type of partition that can access resources from any node.""
    },
    {
      ""child"": ""relative resource limits"",
      ""parent"": ""resource limits"",
      ""confidence"": 0.9,
      ""reason"": ""Relative resource limits are a type of resource limits expressed as percentages of the total resources available.""
    },
    {
      ""child"": ""partition qos"",
      ""parent"": ""qos"",
      ""confidence"": 0.9,
      ""reason"": ""Partition QOS is a specific type of QOS assigned to a Slurm partition.""
    }
  ]
}"
16,group limits,qos limits,Group limits,QOS limits,doc_289e,doc_289e_chunk_0004,0.9,"{""child_lemma"": ""group limits"", ""parent_lemma"": ""qos limits"", ""reason"": ""Group limits are a specific type of QOS limits that apply to GrpTRES."", ""confidence"": 0.9, ""raw_item"": {""child"": ""group limits"", ""parent"": ""QOS limits"", ""confidence"": 0.9, ""reason"": ""Group limits are a specific type of QOS limits that apply to GrpTRES.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""relative partition QOS"",
      ""parent"": ""partition QOS"",
      ""confidence"": 0.9,
      ""reason"": ""A relative partition QOS is a specific type of partition QOS where limits are calculated relative to the partition's resources.""
    },
    {
      ""child"": ""group limits"",
      ""parent"": ""QOS limits"",
      ""confidence"": 0.9,
      ""reason"": ""Group limits are a specific type of QOS limits that apply to GrpTRES.""
    },
    {
      ""child"": ""slurmctld flags"",
      ""parent"": ""config param"",
      ""confidence"": 0.9,
      ""reason"": ""Slurmctld flags are a specific type of config param used to override or enforce certain characteristics.""
    }
  ]
}"
17,partition qos,qos limits,partition QOS,QOS limits,doc_289e,doc_289e_chunk_0006,0.9,"{""child_lemma"": ""partition qos"", ""parent_lemma"": ""qos limits"", ""reason"": ""Partition QOS is a specific type of QOS limits that applies to partitions."", ""confidence"": 0.9, ""raw_item"": {""child"": ""partition qos"", ""parent"": ""qos limits"", ""confidence"": 0.9, ""reason"": ""Partition QOS is a specific type of QOS limits that applies to partitions.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""partition qos"",
      ""parent"": ""qos limits"",
      ""confidence"": 0.9,
      ""reason"": ""Partition QOS is a specific type of QOS limits that applies to partitions.""
    },
    {
      ""child"": ""reservation"",
      ""parent"": ""queue_or_partition"",
      ""confidence"": 0.9,
      ""reason"": ""A reservation is a specific type of queue or partition used for job scheduling.""
    },
    {
      ""child"": ""usage factor"",
      ""parent"": ""config_param"",
      ""confidence"": 0.9,
      ""reason"": ""Usage factor is a specific type of configuration parameter that affects job TRES usage.""
    }
  ]
}"
18,next stable slurm release,target releases,next stable Slurm release,TARGET RELEASES,doc_2ec1,doc_2ec1_chunk_0001,0.9,"{""child_lemma"": ""next stable slurm release"", ""parent_lemma"": ""target releases"", ""reason"": ""The next stable Slurm release is a specific type of target release."", ""confidence"": 0.9, ""raw_item"": {""child"": ""next stable slurm release"", ""parent"": ""target releases"", ""confidence"": 0.9, ""reason"": ""The next stable Slurm release is a specific type of target release.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""next stable slurm release"",
      ""parent"": ""target releases"",
      ""confidence"": 0.9,
      ""reason"": ""The next stable Slurm release is a specific type of target release.""
    },
    {
      ""child"": ""patches"",
      ""parent"": ""bug fixes"",
      ""confidence"": 0.9,
      ""reason"": ""Patches are a specific type of bug fixes.""
    },
    {
      ""child"": ""issue tracker"",
      ""parent"": ""support.schedmd.com"",
      ""confidence"": 0.95,
      ""reason"": ""The issue tracker is a specific service provided by support.schedmd.com.""
    }
  ]
}"
19,patches,bug fixes,patches,bug fixes,doc_2ec1,doc_2ec1_chunk_0001,0.9,"{""child_lemma"": ""patches"", ""parent_lemma"": ""bug fixes"", ""reason"": ""Patches are a specific type of bug fixes."", ""confidence"": 0.9, ""raw_item"": {""child"": ""patches"", ""parent"": ""bug fixes"", ""confidence"": 0.9, ""reason"": ""Patches are a specific type of bug fixes.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""next stable slurm release"",
      ""parent"": ""target releases"",
      ""confidence"": 0.9,
      ""reason"": ""The next stable Slurm release is a specific type of target release.""
    },
    {
      ""child"": ""patches"",
      ""parent"": ""bug fixes"",
      ""confidence"": 0.9,
      ""reason"": ""Patches are a specific type of bug fixes.""
    },
    {
      ""child"": ""issue tracker"",
      ""parent"": ""support.schedmd.com"",
      ""confidence"": 0.95,
      ""reason"": ""The issue tracker is a specific service provided by support.schedmd.com.""
    }
  ]
}"
20,issue tracker,support.schedmd.com,issue tracker,support.schedmd.com,doc_2ec1,doc_2ec1_chunk_0001,0.95,"{""child_lemma"": ""issue tracker"", ""parent_lemma"": ""support.schedmd.com"", ""reason"": ""The issue tracker is a specific service provided by support.schedmd.com."", ""confidence"": 0.95, ""raw_item"": {""child"": ""issue tracker"", ""parent"": ""support.schedmd.com"", ""confidence"": 0.95, ""reason"": ""The issue tracker is a specific service provided by support.schedmd.com.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""next stable slurm release"",
      ""parent"": ""target releases"",
      ""confidence"": 0.9,
      ""reason"": ""The next stable Slurm release is a specific type of target release.""
    },
    {
      ""child"": ""patches"",
      ""parent"": ""bug fixes"",
      ""confidence"": 0.9,
      ""reason"": ""Patches are a specific type of bug fixes.""
    },
    {
      ""child"": ""issue tracker"",
      ""parent"": ""support.schedmd.com"",
      ""confidence"": 0.95,
      ""reason"": ""The issue tracker is a specific service provided by support.schedmd.com.""
    }
  ]
}"
21,fixed apis,slurm commands,fixed APIs,Slurm commands,doc_3583,doc_3583_chunk_0001,0.9,"{""child_lemma"": ""fixed apis"", ""parent_lemma"": ""slurm commands"", ""reason"": ""Fixed APIs are a specific type of Slurm commands."", ""confidence"": 0.9, ""raw_item"": {""child"": ""fixed apis"", ""parent"": ""slurm commands"", ""confidence"": 0.9, ""reason"": ""Fixed APIs are a specific type of Slurm commands.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""fixed apis"",
      ""parent"": ""slurm commands"",
      ""confidence"": 0.9,
      ""reason"": ""Fixed APIs are a specific type of Slurm commands.""
    },
    {
      ""child"": ""slurm.h headers"",
      ""parent"": ""slurm headers"",
      ""confidence"": 0.9,
      ""reason"": ""slurm.h headers are a specific type of slurm headers.""
    },
    {
      ""child"": ""slurmdb.h headers"",
      ""parent"": ""slurm headers"",
      ""confidence"": 0.9,
      ""reason"": ""slurmdb.h headers are a specific type of slurm headers.""
    }
  ]
}"
22,reservationdeleted,reservation,ReservationDeleted,Reservation,doc_405b,doc_405b_chunk_0019,0.9,"{""child_lemma"": ""reservationdeleted"", ""parent_lemma"": ""reservation"", ""reason"": ""ReservationDeleted is a specific state of a reservation that no longer exists in the system."", ""confidence"": 0.9, ""raw_item"": {""child"": ""reservationdeleted"", ""parent"": ""reservation"", ""confidence"": 0.9, ""reason"": ""ReservationDeleted is a specific state of a reservation that no longer exists in the system.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""reservationdeleted"",
      ""parent"": ""reservation"",
      ""confidence"": 0.9,
      ""reason"": ""ReservationDeleted is a specific state of a reservation that no longer exists in the system.""
    },
    {
      ""child"": ""unavailablenodes"",
      ""parent"": ""nodes"",
      ""confidence"": 0.9,
      ""reason"": ""UnavailableNodes is a state of nodes that are either DOWN, DRAINED, or not responding.""
    }
  ]
}"
23,unavailablenodes,nodes,UnavailableNodes,Nodes,doc_405b,doc_405b_chunk_0019,0.9,"{""child_lemma"": ""unavailablenodes"", ""parent_lemma"": ""nodes"", ""reason"": ""UnavailableNodes is a state of nodes that are either DOWN, DRAINED, or not responding."", ""confidence"": 0.9, ""raw_item"": {""child"": ""unavailablenodes"", ""parent"": ""nodes"", ""confidence"": 0.9, ""reason"": ""UnavailableNodes is a state of nodes that are either DOWN, DRAINED, or not responding.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""reservationdeleted"",
      ""parent"": ""reservation"",
      ""confidence"": 0.9,
      ""reason"": ""ReservationDeleted is a specific state of a reservation that no longer exists in the system.""
    },
    {
      ""child"": ""unavailablenodes"",
      ""parent"": ""nodes"",
      ""confidence"": 0.9,
      ""reason"": ""UnavailableNodes is a state of nodes that are either DOWN, DRAINED, or not responding.""
    }
  ]
}"
24,tres-minutes,limits,TRES-minutes,limits,doc_4387,doc_4387_chunk_0010,0.9,"{""child_lemma"": ""tres-minutes"", ""parent_lemma"": ""limits"", ""reason"": ""TRES-minutes is a specific type of limit enforced by the scheduler."", ""confidence"": 0.9, ""raw_item"": {""child"": ""tres-minutes"", ""parent"": ""limits"", ""confidence"": 0.9, ""reason"": ""TRES-minutes is a specific type of limit enforced by the scheduler.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""tres-minutes"",
      ""parent"": ""limits"",
      ""confidence"": 0.9,
      ""reason"": ""TRES-minutes is a specific type of limit enforced by the scheduler.""
    },
    {
      ""child"": ""qos"",
      ""parent"": ""queue_or_partition"",
      ""confidence"": 0.95,
      ""reason"": ""Quality of Service (QOS) is a specific type of queue or partition with defined QOS values.""
    },
    {
      ""child"": ""wckeys"",
      ""parent"": ""wckey"",
      ""confidence"": 0.9,
      ""reason"": ""wckeys is a collection of wckeys, which is a config param related to user roles.""
    }
  ]
}"
25,wckeys,wckey,wckeys,wckey,doc_4387,doc_4387_chunk_0010,0.9,"{""child_lemma"": ""wckeys"", ""parent_lemma"": ""wckey"", ""reason"": ""wckeys is a collection of wckeys, which is a config param related to user roles."", ""confidence"": 0.9, ""raw_item"": {""child"": ""wckeys"", ""parent"": ""wckey"", ""confidence"": 0.9, ""reason"": ""wckeys is a collection of wckeys, which is a config param related to user roles.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""tres-minutes"",
      ""parent"": ""limits"",
      ""confidence"": 0.9,
      ""reason"": ""TRES-minutes is a specific type of limit enforced by the scheduler.""
    },
    {
      ""child"": ""qos"",
      ""parent"": ""queue_or_partition"",
      ""confidence"": 0.95,
      ""reason"": ""Quality of Service (QOS) is a specific type of queue or partition with defined QOS values.""
    },
    {
      ""child"": ""wckeys"",
      ""parent"": ""wckey"",
      ""confidence"": 0.9,
      ""reason"": ""wckeys is a collection of wckeys, which is a config param related to user roles.""
    }
  ]
}"
26,job_container,plugin,job_container,plugin,doc_4600,doc_4600_chunk_0001,0.9,"{""child_lemma"": ""job_container"", ""parent_lemma"": ""plugin"", ""reason"": ""job_container is a type of plugin that provides job-specific functionality."", ""confidence"": 0.9, ""raw_item"": {""child"": ""job_container"", ""parent"": ""plugin"", ""confidence"": 0.9, ""reason"": ""job_container is a type of plugin that provides job-specific functionality.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""job_container"",
      ""parent"": ""plugin"",
      ""confidence"": 0.9,
      ""reason"": ""job_container is a type of plugin that provides job-specific functionality.""
    },
    {
      ""child"": ""job_container.conf"",
      ""parent"": ""config_file"",
      ""confidence"": 0.9,
      ""reason"": ""job_container.conf is a specific configuration file for the job_container plugin.""
    },
    {
      ""child"": ""filesystem namespace"",
      ""parent"": ""other_hpc"",
      ""confidence"": 0.9,
      ""reason"": ""filesystem namespace is a specific type of HPC resource related to job_container.""
    },
    {
      ""child"": ""/tmpfs"",
      ""parent"": ""resource"",
      ""confidence"": 0.9,
      ""reason"": ""/tmpfs is a specific type of resource provided by the job_container plugin.""
    }
  ]
}"
27,node list,availability,node list,availability,doc_48b2,doc_48b2_chunk_0005,0.9,"{""child_lemma"": ""node list"", ""parent_lemma"": ""availability"", ""reason"": ""Node list is a specific type of availability information."", ""confidence"": 0.9, ""raw_item"": {""child"": ""node list"", ""parent"": ""availability"", ""confidence"": 0.9, ""reason"": ""Node list is a specific type of availability information.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""node list"",
      ""parent"": ""availability"",
      ""confidence"": 0.9,
      ""reason"": ""Node list is a specific type of availability information.""
    },
    {
      ""child"": ""state"",
      ""parent"": ""job_state"",
      ""confidence"": 0.95,
      ""reason"": ""State is a specific type of job_state, representing the current status of a job.""
    },
    {
      ""child"": ""down"",
      ""parent"": ""job_state"",
      ""confidence"": 0.9,
      ""reason"": ""Down is a specific type of job_state, indicating that a job or node is not responding.""
    }
  ]
}"
28,script options,options,script options,options,doc_48b2,doc_48b2_chunk_0007,0.9,"{""child_lemma"": ""script options"", ""parent_lemma"": ""options"", ""reason"": ""Script options are a specific type of options that are supplied for a script."", ""confidence"": 0.9, ""raw_item"": {""child"": ""script options"", ""parent"": ""options"", ""confidence"": 0.9, ""reason"": ""Script options are a specific type of options that are supplied for a script.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""node range expression"",
      ""parent"": ""command"",
      ""confidence"": 0.9,
      ""reason"": ""Node range expression is a specific type of command used to select a range of nodes.""
    },
    {
      ""child"": ""script options"",
      ""parent"": ""options"",
      ""confidence"": 0.9,
      ""reason"": ""Script options are a specific type of options that are supplied for a script.""
    },
    {
      ""child"": ""job steps"",
      ""parent"": ""job_state"",
      ""confidence"": 0.9,
      ""reason"": ""Job steps are a specific type of job state, representing individual steps within a job.""
    },
    {
      ""child"": ""timelimit"",
      ""parent"": ""job_state"",
      ""confidence"": 0.9,
      ""reason"": ""Timelimit is a specific type of job state, representing the time limit for a job.""
    }
  ]
}"
29,arrayjobid,jobid,ArrayJobId,JobId,doc_4d9f,doc_4d9f_chunk_0007,0.9,"{""child_lemma"": ""arrayjobid"", ""parent_lemma"": ""jobid"", ""reason"": ""ArrayJobId is a specific type of JobId used for job arrays."", ""confidence"": 0.9, ""raw_item"": {""child"": ""arrayjobid"", ""parent"": ""jobid"", ""confidence"": 0.9, ""reason"": ""ArrayJobId is a specific type of JobId used for job arrays.""}}","{
  ""is_a_edges"": [
    {
      ""child"": ""arrayjobid"",
      ""parent"": ""jobid"",
      ""confidence"": 0.9,
      ""reason"": ""ArrayJobId is a specific type of JobId used for job arrays.""
    },
    {
      ""child"": ""arraytaskid"",
      ""parent"": ""jobid"",
      ""confidence"": 0.9,
      ""reason"": ""ArrayTaskId is a specific type of JobId assigned to each task of a job array.""
    },
    {
      ""child"": ""job array"",
      ""parent"": ""job"",
      ""confidence"": 0.95,
      ""reason"": ""A job array is a specialised job that manages multiple tasks with a single ArrayJobId.""
    }
  ]
}"
