edge_id,child_term,parent_term,child_canonical,parent_canonical,doc_id,chunk_id,reason,raw_json
23,default allocation,allocation method,default allocation,allocation method,doc_385e,doc_385e_chunk_0006,Default allocation is a specific type of allocation method.,"{
  ""is_a_edges"": [
    {
      ""child"": ""default allocation"",
      ""parent"": ""allocation method"",
      ""reason"": ""Default allocation is a specific type of allocation method.""
    },
    {
      ""child"": ""exclusive mode"",
      ""parent"": ""allocation method"",
      ""reason"": ""Exclusive mode is a specific type of allocation method.""
    },
    {
      ""child"": ""serial job"",
      ""parent"": ""job"",
      ""reason"": ""Serial job is a specific type of job.""
    },
    {
      ""child"": ""parallel job"",
      ""parent"": ""job"",
      ""reason"": ""Parallel job is a specific type of job.""
    },
    {
      ""child"": ""node"",
      ""parent"": ""resource"",
      ""reason"": ""Node is described as a specific resource.""
    }
  ]
}"
24,exclusive mode,allocation method,exclusive mode,allocation method,doc_385e,doc_385e_chunk_0006,Exclusive mode is a specific type of allocation method.,"{
  ""is_a_edges"": [
    {
      ""child"": ""default allocation"",
      ""parent"": ""allocation method"",
      ""reason"": ""Default allocation is a specific type of allocation method.""
    },
    {
      ""child"": ""exclusive mode"",
      ""parent"": ""allocation method"",
      ""reason"": ""Exclusive mode is a specific type of allocation method.""
    },
    {
      ""child"": ""serial job"",
      ""parent"": ""job"",
      ""reason"": ""Serial job is a specific type of job.""
    },
    {
      ""child"": ""parallel job"",
      ""parent"": ""job"",
      ""reason"": ""Parallel job is a specific type of job.""
    },
    {
      ""child"": ""node"",
      ""parent"": ""resource"",
      ""reason"": ""Node is described as a specific resource.""
    }
  ]
}"
25,serial job,job,serial job,job,doc_385e,doc_385e_chunk_0006,Serial job is a specific type of job.,"{
  ""is_a_edges"": [
    {
      ""child"": ""default allocation"",
      ""parent"": ""allocation method"",
      ""reason"": ""Default allocation is a specific type of allocation method.""
    },
    {
      ""child"": ""exclusive mode"",
      ""parent"": ""allocation method"",
      ""reason"": ""Exclusive mode is a specific type of allocation method.""
    },
    {
      ""child"": ""serial job"",
      ""parent"": ""job"",
      ""reason"": ""Serial job is a specific type of job.""
    },
    {
      ""child"": ""parallel job"",
      ""parent"": ""job"",
      ""reason"": ""Parallel job is a specific type of job.""
    },
    {
      ""child"": ""node"",
      ""parent"": ""resource"",
      ""reason"": ""Node is described as a specific resource.""
    }
  ]
}"
26,parallel job,job,parallel job,job,doc_385e,doc_385e_chunk_0006,Parallel job is a specific type of job.,"{
  ""is_a_edges"": [
    {
      ""child"": ""default allocation"",
      ""parent"": ""allocation method"",
      ""reason"": ""Default allocation is a specific type of allocation method.""
    },
    {
      ""child"": ""exclusive mode"",
      ""parent"": ""allocation method"",
      ""reason"": ""Exclusive mode is a specific type of allocation method.""
    },
    {
      ""child"": ""serial job"",
      ""parent"": ""job"",
      ""reason"": ""Serial job is a specific type of job.""
    },
    {
      ""child"": ""parallel job"",
      ""parent"": ""job"",
      ""reason"": ""Parallel job is a specific type of job.""
    },
    {
      ""child"": ""node"",
      ""parent"": ""resource"",
      ""reason"": ""Node is described as a specific resource.""
    }
  ]
}"
27,api,categories,api,categories,doc_3bdd,doc_3bdd_chunk_0003,api is a specific category of functions.,"{
  ""is_a_edges"": [
    {
      ""child"": ""api"",
      ""parent"": ""categories"",
      ""reason"": ""api is a specific category of functions.""
    },
    {
      ""child"": ""slurm code"",
      ""parent"": ""source code"",
      ""reason"": ""slurm code is a specific type of source code.""
    },
    {
      ""child"": ""man pages"",
      ""parent"": ""documentation"",
      ""reason"": ""man pages are a specific type of documentation.""
    },
    {
      ""child"": ""doc/html"",
      ""parent"": ""documentation"",
      ""reason"": ""doc/html is a specific type of documentation.""
    },
    {
      ""child"": ""testsuite"",
      ""parent"": ""source code"",
      ""reason"": ""testsuite is a specific type of source code.""
    },
    {
      ""child"": ""pytest tests"",
      ""parent"": ""tests"",
      ""reason"": ""pytest tests are a specific type of tests.""
    }
  ]
}"
28,slurmdbd,slurm database,slurmdbd,slurm database,doc_4387,doc_4387_chunk_0009,slurmdbd is a specific implementation of the slurm database.,"{
  ""is_a_edges"": [
    {
      ""child"": ""slurmdbd"",
      ""parent"": ""slurm database"",
      ""reason"": ""slurmdbd is a specific implementation of the slurm database.""
    },
    {
      ""child"": ""show table status"",
      ""parent"": ""command"",
      ""reason"": ""show table status is a specific command used to view table information.""
    },
    {
      ""child"": ""case-insensitive"",
      ""parent"": ""collation"",
      ""reason"": ""case-insensitive is a specific type of collation.""
    }
  ]
}"
29,qos,quality of service,qos,quality of service,doc_4387,doc_4387_chunk_0010,qos is described as a specific quality of service.,"{
  ""is_a_edges"": [
    {
      ""child"": ""tres-minutes"",
      ""parent"": ""limit"",
      ""reason"": ""tres-minutes is a specific type of limit.""
    },
    {
      ""child"": ""qos"",
      ""parent"": ""quality of service"",
      ""reason"": ""qos is described as a specific quality of service.""
    },
    {
      ""child"": ""wckeys"",
      ""parent"": ""access control"",
      ""reason"": ""wckeys is a specific form of access control.""
    }
  ]
}"
30,slurm_acct_db,database,slurm_acct_db,database,doc_4387,doc_4387_chunk_0014,slurm_acct_db is explicitly mentioned as the default database for accounting records.,"{
  ""is_a_edges"": [
    {
      ""child"": ""slurm_acct_db"",
      ""parent"": ""database"",
      ""reason"": ""slurm_acct_db is explicitly mentioned as the default database for accounting records.""
    },
    {
      ""child"": ""slurmUser"",
      ""parent"": ""user"",
      ""reason"": ""slurmUser is described as the name of the user that the slurmdbd daemon executes as, and it should be the same on all clusters reporting to the SlurmDBD.""
    },
    {
      ""child"": ""slurmdbd daemon"",
      ""parent"": ""daemon"",
      ""reason"": ""slurmdbd daemon is explicitly mentioned as a specific daemon component.""
    },
    {
      ""child"": ""slurmctld"",
      ""parent"": ""daemon"",
      ""reason"": ""slurmctld is mentioned as a component that must be restarted if the user for slurmdbd is changed.""
    }
  ]
}"
31,accounting_storage/mysql,accounting storage mechanism,accounting_storage/mysql,accounting storage mechanism,doc_4387,doc_4387_chunk_0015,accounting_storage/mysql is a specific value for the accounting storage mechanism.,"{
  ""is_a_edges"": [
    {
      ""child"": ""accounting_storage/mysql"",
      ""parent"": ""accounting storage mechanism"",
      ""reason"": ""accounting_storage/mysql is a specific value for the accounting storage mechanism.""
    },
    {
      ""child"": ""MySQL Configuration"",
      ""parent"": ""mysql configuration"",
      ""reason"": ""MySQL Configuration is a specific example of mysql configuration.""
    },
    {
      ""child"": ""StorageUser"",
      ""parent"": ""mysql user"",
      ""reason"": ""StorageUser is a specific name of the user for connecting to the MySQL or MariaDB database.""
    }
  ]
}"
32,$jobid,job,$jobid,job,doc_4600,doc_4600_chunk_0002,The text describes $jobid as a specific instance of a job.,"{
  ""is_a_edges"": [
    {
      ""child"": ""$jobid"",
      ""parent"": ""job"",
      ""reason"": ""The text describes $jobid as a specific instance of a job.""
    },
    {
      ""child"": ""_tmp"",
      ""parent"": ""directory"",
      ""reason"": ""_tmp is described as a directory within the context of the job.""
    },
    {
      ""child"": ""bind mount"",
      ""parent"": ""mount"",
      ""reason"": ""The text describes bind mount as a specific type of mount operation.""
    }
  ]
}"
33,node list,partition,node list,partition,doc_48b2,doc_48b2_chunk_0005,The node list is a part of the partition information.,"{
  ""is_a_edges"": [
    {
      ""child"": ""node list"",
      ""parent"": ""partition"",
      ""reason"": ""The node list is a part of the partition information.""
    },
    {
      ""child"": ""state"",
      ""parent"": ""job"",
      ""reason"": ""The state is a property of a job.""
    },
    {
      ""child"": ""timelimit"",
      ""parent"": ""partition"",
      ""reason"": ""Timelimit is a property of a partition.""
    }
  ]
}"
34,timelimit,partition,timelimit,partition,doc_48b2,doc_48b2_chunk_0005,Timelimit is a property of a partition.,"{
  ""is_a_edges"": [
    {
      ""child"": ""node list"",
      ""parent"": ""partition"",
      ""reason"": ""The node list is a part of the partition information.""
    },
    {
      ""child"": ""state"",
      ""parent"": ""job"",
      ""reason"": ""The state is a property of a job.""
    },
    {
      ""child"": ""timelimit"",
      ""parent"": ""partition"",
      ""reason"": ""Timelimit is a property of a partition.""
    }
  ]
}"
35,script options,options,script options,options,doc_48b2,doc_48b2_chunk_0007,Script options are specific options that can be supplied within the script.,"{
  ""is_a_edges"": [
    {
      ""child"": ""job steps"",
      ""parent"": ""job"",
      ""reason"": ""Job steps are a part of a job, as they are initiated using the srun command and executed sequentially.""
    },
    {
      ""child"": ""node range expression"",
      ""parent"": ""option"",
      ""reason"": ""Node range expression is a specific type of option used to specify a range of nodes.""
    },
    {
      ""child"": ""script options"",
      ""parent"": ""options"",
      ""reason"": ""Script options are specific options that can be supplied within the script.""
    },
    {
      ""child"": ""timelimit"",
      ""parent"": ""job option"",
      ""reason"": ""Timelimit is a specific job option that sets a time limit for the job.""
    }
  ]
}"
36,4d_torus,plugin,4d_torus,plugin,doc_4ff0,doc_4ff0_chunk_0001,4d_torus is a specific plugin mentioned in the text.,"{
  ""is_a_edges"": [
    {
      ""child"": ""4d_torus"",
      ""parent"": ""plugin"",
      ""reason"": ""4d_torus is a specific plugin mentioned in the text.""
    },
    {
      ""child"": ""src/plugins/topology/4d_torus"",
      ""parent"": ""new directory"",
      ""reason"": ""src/plugins/topology/4d_torus is a specific new directory created for the plugin.""
    },
    {
      ""child"": ""src/plugins/topology/Makefile.am"",
      ""parent"": ""Makefile.am"",
      ""reason"": ""src/plugins/topology/Makefile.am is a specific Makefile.am file for the plugin.""
    }
  ]
}"
37,command to execute,command,command to execute,command,doc_5755,doc_5755_chunk_0014,command to execute is a specific type of command.,"{
  ""is_a_edges"": [
    {
      ""child"": ""$slurm_ntasks"",
      ""parent"": ""number of tasks"",
      ""reason"": ""$slurm_ntasks is a specific number of tasks.""
    },
    {
      ""child"": ""srun"",
      ""parent"": ""job submission command"",
      ""reason"": ""srun is described as a job submission command.""
    },
    {
      ""child"": ""command to execute"",
      ""parent"": ""command"",
      ""reason"": ""command to execute is a specific type of command.""
    },
    {
      ""child"": ""--overcommit"",
      ""parent"": ""srun option"",
      ""reason"": ""--overcommit is a specific srun option.""
    }
  ]
}"
38,srun --pty,srun,srun --pty,srun,doc_5755,doc_5755_chunk_0016,"srun --pty is a specific command option of srun, used to run task zero in pseudo terminal mode.","{
  ""is_a_edges"": [
    {
      ""child"": ""batch step"",
      ""parent"": ""interactive step"",
      ""reason"": ""A batch step is described as having access to all resources in the allocation on the node it is running on, similar to an interactive step, but does not provide interactive shell prompts.""
    },
    {
      ""child"": ""srun --pty"",
      ""parent"": ""srun"",
      ""reason"": ""srun --pty is a specific command option of srun, used to run task zero in pseudo terminal mode.""
    },
    {
      ""child"": ""task zero"",
      ""parent"": ""task"",
      ""reason"": ""Task zero is a specific task, as it is the first task launched in a job and runs in pseudo terminal mode when using srun --pty.""
    }
  ]
}"
39,job's namespace,namespace,job's namespace,namespace,doc_5755,doc_5755_chunk_0053,"The text describes the job's namespace as being constructed by the plugin, implying it is a specific type of namespace.","{
  ""is_a_edges"": [
    {
      ""child"": ""job's namespace"",
      ""parent"": ""namespace"",
      ""reason"": ""The text describes the job's namespace as being constructed by the plugin, implying it is a specific type of namespace.""
    },
    {
      ""child"": ""initialization script"",
      ""parent"": ""script"",
      ""reason"": ""The text mentions an initialization script that is invoked before the job's namespace is constructed, suggesting it is a specific type of script.""
    },
    {
      ""child"": ""/tmp"",
      ""parent"": ""mount"",
      ""reason"": ""The text describes /tmp as being mounted, implying it is a specific type of mount.""
    },
    {
      ""child"": ""pam_slurm_adopt"",
      ""parent"": ""PAM module"",
      ""reason"": ""The text mentions pam_slurm_adopt as a PAM module, implying it is a specific type of PAM module.""
    }
  ]
}"
