head_text,head_canonical_id,frequency,example_terms_json
slurmdbd,182,52,"[""statistic v0.0.43_openapi_slurmdbd_stats_resp"", ""ping test v0.0.43_openapi_slurmdbd_qos_removed_resp"", ""slurmdbd configuration v0.0.43_openapi_resp"", ""slurmdbd RPMs"", ""v0.0.43_openapi_slurmdbd_qos_removed_resp"", ""QOS information v0.0.43_openapi_slurmdbd_qos_resp"", ""slurmdbd plugin"", ""time slurmdbd"", ""qos v0.0.43_openapi_slurmdbd_qos_resp"", ""qos information v0.0.43_openapi_slurmdbd_qos_resp"", ""slurmdbd configuration v0.0.43_openapi_slurmdbd_config_resp"", ""QOS v0.0.43_openapi_slurmdbd_qos_resp"", ""statistics v0.0.43_openapi_slurmdbd_stats_resp"", ""slurmdbd configuration"", ""slurmdbd rpm""]"
resource,830,49,"[""generic resource"", ""cpu resource"", ""compute resource"", ""resource limit"", ""resource requirement"", ""Resource Selection"", ""billable trackable resource"", ""resource allocation"", ""consumable resource"", ""burst buffer resource"", ""resource selection"", ""resource management"", ""trackable resource"", ""resource requirements"", ""job resource""]"
parameter,268,47,"[""slurm.conf parameter"", ""important configuration parameter"", ""additional parameter"", ""slurm parameter control"", ""body parameter â"", ""schedulerparameter configuration parameter"", ""slurm configuration parameter"", ""path parameter"", ""configuration parameter"", ""jobacctgatherfrequency parameter"", ""Query Parameter â"", ""query parameter â"", ""Body Parameter â"", ""query parameter"", ""slurmctld daemon parameter""]"
default,118,38,"[""association default"", ""coordinators default"", ""coordinator default"", ""list default"", ""clusters default"", ""associations default"", ""job default"", ""wckey default"", ""Job default"", ""parent account default"", ""usage default"", ""default_qos"", ""cluster default"", ""output format default"", ""default_qo""]"
type,363,37,"[""medium type"", ""tre type"", ""JobAcctGatherType"", ""Return type"", ""specific type"", ""SchedulerType"", ""type request header"", ""TRES type"", ""Type request header"", ""media type"", ""type response header"", ""instance_type"", ""PriorityType"", ""return type"", ""Type response header""]"
step,432,37,"[""single job step"", ""extern step"", ""job step information"", ""x\""$slurm_step_id"", ""job step"", ""interactive step"", ""use_interactive_step"", ""heterogeneous job step"", ""step allocation"", ""regular step"", ""batch step"", ""Batch step"", ""job step allocation"", ""slurm step"", ""job step initiation""]"
task,222,37,"[""task id"", ""task ids"", ""TaskProlog"", ""task IDs"", ""task launch"", ""task format"", ""task distribution option"", ""Task Distribution Options"", ""TaskPlugin"", ""Task Launch"", ""TaskEpilog"", ""task affinity"", ""task launch plugin"", ""Task affinity"", ""task launch action""]"
slurm.conf,1593,36,"[""slurm.conf parameter"", ""slurm.conf setting"", ""slurm.conf option"", ""sample slurm.conf file"", ""exclusiveuser slurm.conf parameter"", ""privatedata slurm.conf parameter"", ""slurm.conf parameters"", ""alternate slurm.conf"", ""slurm.conf man page"", ""man slurm.conf"", ""slurm.conf options"", ""slurm.conf manpage"", ""slurm.conf file"", ""slurm.conf settings"", ""ExclusiveUser slurm.conf parameter""]"
partition,416,36,"[""specific partition"", ""high prioritytier partition"", ""partition_prio"", ""single partition"", ""default partition"", ""string partition"", ""higher PriorityTier partition"", ""partition pairs"", ""priority partition"", ""Partition QOS"", ""String Partition"", ""partition qos"", ""partition pair"", ""prioritytier partition"", ""nodelist node partition""]"
limit,111,36,"[""maximum billing limit"", ""memory limit"", ""resource limit"", ""account limit"", ""InactiveLimit"", ""Maximum time limit"", ""aggregate limit"", ""Account limit"", ""maximum time limit"", ""maximum Billing limit"", ""TimeLimit"", ""job time limit"", ""qos limit"", ""current limit"", ""time limit""]"
accounting,305,34,"[""accounting record"", ""job accounting gather"", ""AccountingStorageEnforce"", ""job accounting storage"", ""AccountingStorageType"", ""Slurm Accounting Database"", ""Job Accounting Gather"", ""Job Accounting Storage"", ""job accounting"", ""accounting information"", ""Job Accounting Gather Slurm"", ""slurm accounting database"", ""accounting records"", ""job accounting gather slurm"", ""AccountingStoragePort""]"
slurmrestd,1825,33,"[""run slurmrestd"", ""nologin -U slurmrestdIf"", ""slurmrestd daemon"", ""Run systemctl edit slurmrestd"", ""slurmrestd service unit"", ""systemctl edit slurmrestd"", ""slurmrestd command"", ""systemctl revert slurmrestd"", ""configure slurmrestd"", ""slurmrestd logs"", ""run systemctl edit slurmrestd"", ""slurmrestd log"", ""Run slurmrestd"", ""slurmrestd man page"", ""slurmrestd service""]"
option,215,32,"[""command line option"", ""slurm_option"", ""configuration option"", ""GANG option"", ""slurm.conf option"", ""gang option"", ""bind option"", ""slurm option datum structure"", ""slurm option data structure"", ""task distribution option"", ""qos option"", ""slurm option"", ""option processing"", ""slurm_option_set"", ""cpu option""]"
buffer,4185,31,"[""burst buffer directive"", ""persistent burst buffer"", ""burst buffer"", ""Burst buffer resources"", ""Burst Buffer request"", ""burst buffer request"", ""burst buffer directives"", ""Burst Buffer States"", ""specific burst buffer"", ""burst buffer resource"", ""burst_buffer"", ""Burst Buffer plugin"", ""burst buffer state"", ""burst buffer plugin"", ""innodb_buffer_pool_size""]"
priority,13,30,"[""high priority job"", ""scheduling priority"", ""PriorityTier partitions"", ""priority jobs"", ""PriorityType"", ""higher PriorityTier partition"", ""priority job"", ""priority partition"", ""Scheduling Priority"", ""PriorityWeightQOS"", ""PriorityFlags"", ""higher priority jobs"", ""high priority"", ""higher priority"", ""priority order""]"
system,119,30,"[""system library"", ""system configuration"", ""operating system"", ""time system"", ""system throughput"", ""Slurm system administrators"", ""file system problem"", ""system type"", ""entire slurm system"", ""job scheduling system"", ""slurm system administrator"", ""System configuration"", ""slurm system"", ""system administrator"", ""entire Slurm system""]"
string,681,30,"[""String Arbitrary comment"", ""string cluster"", ""string job"", ""string arbitrary string"", ""string partition"", ""String Job"", ""String Arbitrary string"", ""time string"", ""String Account"", ""string account"", ""string arbitrary comment"", ""String Partition"", ""String User"", ""string user"", ""String Cluster""]"
account,10,27,"[""account limit"", ""sub account"", ""SlurmUser account"", ""slurmuser account"", ""account hierarchy"", ""Account limit"", ""user account"", ""String Account"", ""string account"", ""parent account default"", ""parent account"", ""bank account"", ""parent_account"", ""Account Hierarchy"", ""default account""]"
command,1336,27,"[""command line option"", ""client command"", ""squeue command"", ""user command"", ""salloc command"", ""command line"", ""command line options"", ""sbatch command"", ""slurmrestd command"", ""scancel command"", ""slurm command"", ""srun command"", ""command line argument"", ""command line arguments"", ""mpirun command""]"
state,395,27,"[""StateSaveLocation"", ""slurm state"", ""slurmctld state"", ""state cpu s"", ""state information"", ""Current state"", ""slurmd state"", ""Slurmd state"", ""current state"", ""Slurmctld state"", ""Slurm StateSaveLocation"", ""state file"", ""JobState"", ""job state"", ""state change""]"
environment,175,27,"[""SLURM_CONF_SERVER environment variable"", ""SLURM_JOB_ID environment variable"", ""environment variable slurm_job_id"", ""environment variable"", ""environment variable SLURM_JOB_ID"", ""environment variables"", ""job environment"", ""slurm_job_id environment variable"", ""slurm_conf_server environment variable"", ""equivalent environment variable slurm_mpi_type"", ""environment variable slurm_array_task_id"", ""equivalent environment variable SLURM_MPI_TYPE"", ""slurm environment"", ""test environment"", ""environment variable SLURM_ARRAY_TASK_ID""]"
information,348,26,"[""detailed information"", ""gre information"", ""job information"", ""slurmctld daemon maintains GRES information"", ""state information"", ""acct information"", ""slurm administrator information"", ""qos information v0.0.43_openapi_slurmdbd_qos_resp"", ""GRES information"", ""slurmctld daemon maintain gre information"", ""accounting information"", ""Job Information"", ""configuration information"", ""QOS information v0.0.43_openapi_slurmdbd_qos_resp"", ""Slurm administrator information""]"
nodes,,26,"[""execution nodes"", ""contiguous nodes"", ""compute nodes"", ""login nodes"", ""specific nodes"", ""multiple nodes"", ""scontrol show nodes"", ""Slurm emulate nodes"", ""nodes linux"", ""SLURM_JOB_NODELIST Nodes"", ""SlurmctldHost nodes"", ""consecutive nodes"", ""Slurm nodes"", ""multiple Slurm nodes"", ""slurm_job_num_nodes number""]"
code,1788,26,"[""slurmctld daemon code"", ""exit code"", ""Slurm daemon code"", ""NonZeroExitCode"", ""return code"", ""source code"", ""error code"", ""Slurm central manager daemon code"", ""exit_code"", ""Slurm code"", ""slurm daemon code"", ""slurm central manager daemon code"", ""slurm code"", ""high exit code"", ""specific exit code""]"
data,353,26,"[""data structure"", ""Slurm data structures"", ""data types"", ""slurm option data structure"", ""Data Structures"", ""slurm_bb_test_data_out"", ""slurm_bb_data_in"", ""slurm accounting data"", ""slurm data structure"", ""accounting data"", ""slurm_rlimit_data"", ""PrivateData slurm.conf parameter"", ""slurm_bb_data_out"", ""data_parser"", ""energy data""]"
cluster,272,25,"[""Slurm cluster"", ""cluster snowflake"", ""string cluster"", ""cluster_name"", ""small cluster"", ""large cluster"", ""slurm cluster"", ""Slurm ClusterName"", ""cluster list"", ""scalable cluster management"", ""cluster default"", ""cluster level"", ""String Cluster"", ""ClusterName"", ""small linux cluster""]"
memory,116,24,"[""locked memory"", ""memory limit"", ""real memory"", ""CR_CPU_Memory"", ""memory size"", ""slurmctld memory"", ""CR_Core_Memory"", ""cr_cpu_memory"", ""memory requirement"", ""maximum memory"", ""cr_core_memory"", ""memory page"", ""default memory"", ""RealMemory"", ""memory limits""]"
database,349,24,"[""slurm database"", ""MariaDB database"", ""Slurm Accounting Database"", ""slurm database daemon"", ""mysql database"", ""large slurm database"", ""database tables"", ""database daemon"", ""single database"", ""database table"", ""Slurm Database Daemon"", ""Slurm database"", ""slurm accounting database"", ""database server"", ""mariadb database""]"
parameters,,23,"[""important configuration parameters"", ""slurmctld daemon parameters"", ""Query parameters"", ""AuthAltParameters"", ""Slurm configuration parameters"", ""Slurm parameters control"", ""slurm.conf parameters"", ""SelectTypeParameters"", ""SlurmctldParameters"", ""JobAcctGatherFrequency parameters"", ""SchedulerParameters configuration parameter"", ""SchedulerParameters"", ""Path parameters"", ""MCSParameters"", ""LaunchParameters""]"
number,123,23,"[""port number"", ""minimum number"", ""integer number"", ""large number"", ""small number"", ""total number"", ""slurm port number"", ""maximum number"", ""number content format"", ""number contents format"", ""Integer Number"", ""integer total number"", ""Integer Total number"", ""specific number"", ""version number""]"
request,146,23,"[""energy request"", ""resource request"", ""request slurmctld reconfigure"", ""Burst Buffer request"", ""accept request header"", ""burst buffer request"", ""Energy request"", ""Request body"", ""type request header"", ""Accept request header"", ""request body"", ""Type request header"", ""CPU request"", ""job request"", ""cpu request""]"
srun,1227,23,"[""srun man pages"", ""SrunEpilog"", ""srun het"", ""srun oversubscribe option"", ""srun option"", ""srun cpu"", ""srun --cpu"", ""srun command"", ""SrunProlog"", ""srun --oversubscribe option"", ""srun n"", ""srun -N"", ""srun man page"", ""srun --het"", ""man srun""]"
factor,2842,22,"[""priority factor"", ""Slurm site_factor plugins"", ""slurm site_factor api"", ""age factor"", ""share factor"", ""site_factor"", ""association factor"", ""slurm priority site factor plugin api"", ""UsageFactor"", ""site_factor plugin"", ""Association Factor"", ""Slurm Priority Site Factor Plugin API"", ""Slurm site_factor API"", ""slurm site_factor plugin"", ""UsageFactorSafe flag""]"
jobs,,22,"[""priority jobs"", ""future jobs"", ""higher priority jobs"", ""scheduling jobs"", ""container jobs"", ""jobs signal responses"", ""Managing Jobs"", ""finished jobs"", ""individual jobs"", ""larger jobs"", ""multiple jobs"", ""user jobs"", ""no_hold_jobs_after_end"", ""interactive jobs"", ""batch jobs""]"
resp,,21,"[""statistic v0.0.43_openapi_slurmdbd_stats_resp"", ""ping test v0.0.43_openapi_slurmdbd_qos_removed_resp"", ""v0.0.43_openapi_accounts_add_cond_resp_str"", ""v0.0.43_openapi_instances_resp"", ""v0.0.43_openapi_slurmdbd_qos_removed_resp"", ""QOS information v0.0.43_openapi_slurmdbd_qos_resp"", ""v0.0.43_openapi_accounts_resp"", ""v0.0.43_openapi_reservation_mod_resp"", ""qos v0.0.43_openapi_slurmdbd_qos_resp"", ""qos information v0.0.43_openapi_slurmdbd_qos_resp"", ""slurmdbd configuration v0.0.43_openapi_slurmdbd_config_resp"", ""QOS v0.0.43_openapi_slurmdbd_qos_resp"", ""v0.0.42_openapi_resp"", ""statistics v0.0.43_openapi_slurmdbd_stats_resp"", ""slurmdbd configuration v0.0.43_openapi_resp""]"
process,465,20,"[""non killable process"", ""job process"", ""user process"", ""Hydra Process Manager"", ""slurmstepd process"", ""slurm process"", ""hydra process manager"", ""Process ID"", ""process id"", ""process group ID"", ""spawned process"", ""slurmd process"", ""process group id"", ""slurm_bb_job_process"", ""process tracking""]"
cpu,805,20,"[""cpu resource"", ""cpu frequency"", ""idle cpu"", ""cpu count"", ""state cpu s"", ""cpu management"", ""cr_cpu_memory"", ""srun cpu"", ""cpu affinity support"", ""cr_cpu"", ""cpu request"", ""cpu id"", ""cpu usage"", ""cpu option"", ""cpu time""]"
variable,135,19,"[""SLURM_CONF_SERVER environment variable"", ""slurm_dir variable"", ""SLURM_JOB_ID environment variable"", ""environment variable slurm_job_id"", ""environment variable"", ""environment variable SLURM_JOB_ID"", ""slurm_procid environment variable"", ""slurm_job_id environment variable"", ""slurm_conf_server environment variable"", ""equivalent environment variable slurm_mpi_type"", ""environment variable slurm_array_task_id"", ""slurmstepd_oom_adj environment variable"", ""equivalent environment variable SLURM_MPI_TYPE"", ""slurm environment variable"", ""environment variable SLURM_ARRAY_TASK_ID""]"
usage,53,18,"[""resource usage"", ""usage_end"", ""with_usage"", ""effective usage"", ""cpu usage"", ""effective usage ratio"", ""usage ratio"", ""UsageFactor"", ""usage default"", ""Effective Usage"", ""CPU usage"", ""Effective Usage Ratio"", ""AllowSpecResourcesUsage"", ""TresUsageInTot"", ""UsageFactorSafe flag""]"
version,985,18,"[""late version"", ""slurm version"", ""string slurmd version"", ""latest version"", ""Slurm version number"", ""rpc_version"", ""String Slurmd version"", ""slurm version number"", ""previous slurm version"", ""previous version"", ""Slurm version"", ""prior version"", ""pre release version"", ""uint32_t plugin_version"", ""version number""]"
release,1754,18,"[""slurm major release"", ""stable slurm release"", ""major release"", ""major slurm release"", ""release note"", ""stable Slurm release"", ""slurm-20.11 release"", ""Slurm ReleaseRevised"", ""Pre-Release Versions"", ""slurm 20.11 release"", ""release notes"", ""pre release version"", ""major Slurm release"", ""Slurm Major release"", ""slurm release""]"
scheduler,335,17,"[""backfill scheduler"", ""slurm gang scheduler"", ""slurm scheduler"", ""SchedulerType"", ""scheduler type"", ""Gang scheduler"", ""Slurm scheduler"", ""Slurm backfill scheduler"", ""SchedulerTimeslice interval"", ""slurm backfill scheduler"", ""Slurm gang scheduler"", ""SchedulerTimeSlice"", ""SchedulerParameters configuration parameter"", ""SchedulerParameters"", ""gang scheduler""]"
script,197,17,"[""wrapper script"", ""slurm configure script"", ""epilog script"", ""slurm job epilog script"", ""prolog script"", ""Slurm configure script"", ""batch script"", ""burst buffer script"", ""configure script"", ""job script"", ""lua script"", ""epilogslurmctld script"", ""Prolog script"", ""single script"", ""Slurm job epilog script""]"
log,213,17,"[""log file"", ""Slurm log"", ""SlurmdLogFile"", ""slurmctld log file"", ""log files"", ""instance SlurmdLogFile"", ""Slurm job accounting log"", ""slurm log"", ""slurm log file"", ""slurm job accounting log"", ""Slurm log files"", ""SlurmdLogFile locations"", ""LogFile"", ""slurmrestd log"", ""SlurmctldLogFile""]"
core,140,17,"[""specialized core"", ""core file"", ""CoreSpecCount"", ""CR_Core"", ""CR_Core_Memory"", ""core_dumped"", ""slurm daemon core dump"", ""Core specialization"", ""cr_core_memory"", ""slurm multi core support"", ""cr_core"", ""Slurm daemon core dumps"", ""core slurm component"", ""core specialization"", ""core count""]"
size,278,16,"[""job size factor"", ""resident set size"", ""stack size"", ""Resident Set Size"", ""Maximum size"", ""memory size"", ""maximum size"", ""slurm_het_size"", ""MaxArraySize"", ""Burst Buffers size specifications Slurm"", ""job size"", ""burst buffer size specification slurm"", ""job size limit"", ""slurm_bb_real_size"", ""innodb_buffer_pool_size""]"
plugins,,16,"[""task plugins"", ""Slurm MPI plugins"", ""Slurm cli_filter plugins"", ""Slurm site_factor plugins"", ""Slurm burst buffer plugins"", ""SPANK Plugins"", ""Authentication plugins"", ""OpenAPI plugins"", ""NodeFeaturesPlugins"", ""Slurm cgroup plugins"", ""Customized Slurm Plugins"", ""Slurm serialization plugins"", ""Slurm job submit plugins"", ""Slurm prep plugins"", ""additional plugins""]"
authentication,1807,16,"[""munge authentication"", ""authentication mechanism"", ""JWT authentication"", ""authentication method"", ""slurm authentication type"", ""Authentication plugins"", ""slurm authentication mechanism"", ""authentication system"", ""slurm authentication plugin"", ""jwt authentication"", ""Munge authentication"", ""Slurm authentication type"", ""authentication plugin"", ""authentication methods"", ""Slurm authentication mechanism""]"
files,,15,"[""step files"", ""Header files"", ""output files"", ""config files"", ""open files"", ""log files"", ""error files"", ""Slurm crontab files"", ""key files"", ""SlurmDBD configuration files"", ""Slurm log files"", ""Slurm header files"", ""slurmdbd.conf files"", ""SLURM_RESUME_FILE temporary files"", ""Makefile.in files""]"
options,,15,"[""scontrol options"", ""Command Options"", ""job options"", ""specific options"", ""configuration options"", ""command line options"", ""QOS Options"", ""slurm.conf options RequeueExit"", ""slurm.conf options"", ""general options"", ""Task Distribution Options"", ""additional options"", ""slurmctld options"", ""EpilogSlurmctld options"", ""Valid options""]"
storage,1284,15,"[""StorageLoc"", ""StoragePort slurmdbd.conf parameter"", ""AccountingStorageEnforce"", ""job accounting storage"", ""AccountingStorageType"", ""AccountingStorageTres"", ""Job Accounting Storage"", ""slurm accounting storage plugin"", ""local storage"", ""slurm accounting_storage plugin"", ""Slurm accounting storage plugin"", ""accounting storage plugin"", ""Slurm accounting_storage plugin"", ""AccountingStoragePort"", ""accounting_storage""]"
name,,15,"[""NodeName"", ""SwitchName"", ""PartitionName"", ""db_name"", ""cluster_name"", ""LicenseName"", ""Slurm UserName"", ""user_name"", ""NodeName line"", ""ReservationName"", ""slurm_job_name"", ""node_name"", ""cloud node name resolution slurm"", ""ClusterName"", ""Slurm ClusterName""]"
allocation,1160,15,"[""block allocation method"", ""slurm job allocation"", ""heterogeneous job allocation"", ""node allocation"", ""step allocation"", ""Slurm allocation"", ""Slurm job allocation"", ""default allocation method"", ""resource allocation"", ""slurmctld grant allocation"", ""slurmctld grants allocation"", ""job step allocation"", ""slurm allocation"", ""job allocation"", ""exclusive allocation""]"
qos,472,15,"[""raw qos"", ""partition qos"", ""ping test v0.0.43_openapi_slurmdbd_qos_removed_resp"", ""job qos"", ""v0.0.43_openapi_slurmdbd_qos_removed_resp"", ""qos v0.0.43_openapi_slurmdbd_qos_resp"", ""qos information v0.0.43_openapi_slurmdbd_qos_resp"", ""qos option"", ""qos factor"", ""delta_qos"", ""QOS v0.0.43_openapi_slurmdbd_qos_resp"", ""default_qos"", ""relative qos"", ""QOS information v0.0.43_openapi_slurmdbd_qos_resp"", ""qos limit""]"
format,464,15,"[""integer slurm numeric error identifier format"", ""format option"", ""last_run format"", ""task format"", ""tasks format"", ""job format"", ""node format"", ""reset format"", ""hostlist expression format"", ""number content format"", ""number contents format"", ""Integer Slurm numeric error identifier format"", ""slurmd format"", ""output format"", ""output format default""]"
structure,2190,15,"[""data structure"", ""slurm option datum structure"", ""slurm option data structure"", ""slurm_step_layout_req_t Data Structure"", ""global datum structure"", ""slurm_step_layout_t data structure"", ""Slurm directory structure"", ""slurm_step_launch_params_t Data Structure"", ""slurm_step_layout_req_t data structure"", ""slurm_step_launch_params_t data structure"", ""slurm directory structure"", ""slurm_step_layout_t Data Structure"", ""datum structure"", ""slurm data structure""]"
level,22,14,"[""level fairshare"", ""Level FS"", ""Level Fairshare"", ""SlurmdDebug level"", ""higher level"", ""AdminLevel"", ""level flags"", ""level flag"", ""top level"", ""high level"", ""level fs"", ""slurmddebug level"", ""cluster level"", ""top level directory""]"
submit,2965,14,"[""slurm_submit_dir directory"", ""cli_filter_p_pre_submit"", ""slurm_submit_host host"", ""submit_uid"", ""job_submit plugin"", ""slurm job submit plugin"", ""job submit time"", ""submit time"", ""submit time slurm"", ""job_submit"", ""job_submit_mine"", ""Slurm job submit plugins"", ""job submit plugin"", ""started_on_submit""]"
count,1026,14,"[""count parameter"", ""task count"", ""CoreSpecCount"", ""cpu count"", ""thread count"", ""maximum node count"", ""slurm_array_task_count"", ""Count parameters"", ""shard count"", ""processor count"", ""node count"", ""total count"", ""core count"", ""CPU count""]"
port,319,14,"[""port number"", ""StoragePort slurmdbd.conf parameter"", ""pmi_control_port"", ""slurm port"", ""SlurmdPort"", ""slurm port number"", ""slurmd port"", ""SlurmctldPort slurm.conf parameter"", ""SlurmctldPort"", ""DbdPort slurmdbd.conf parameter"", ""Slurm Port Numbers"", ""AccountingStoragePort"", ""SlurmdPort slurm.conf parameter"", ""default port""]"
api,1208,14,"[""c api"", ""burst buffer api"", ""slurm plugin api"", ""slurm site_factor api"", ""slurm api function"", ""slurm api"", ""rest api"", ""slurm priority site factor plugin api"", ""api call"", ""slurm rest api daemon"", ""api function"", ""slurm rest api"", ""slurmrestdthe slurm rest api daemon"", ""slurm scheduler api""]"
directory,1496,14,"[""parent directory"", ""Slurm source directory"", ""slurm_submit_dir directory"", ""grep StateSaveLocationEntire slurm configuration directory"", ""unique directory"", ""slurm build directory"", ""Slurm directory structure"", ""grep statesavelocationentire slurm configuration directory"", ""installation directory"", ""slurm directory structure"", ""slurm source directory"", ""SLURM_SUBMIT_DIR Directory"", ""Slurm build directory"", ""top level directory""]"
group,584,14,"[""tim@blackhole srun getent s slurm group"", ""http: groups.google.com group slurm user"", ""slurm_job_gid group id"", ""SLURM_JOB_GROUP Group"", ""slurm_job_group group"", ""SLURM_JOB_GID Group ID"", ""http://groups.google.com/group/slurm-users"", ""control group"", ""Control Group"", ""tim@blackhole srun getent -s slurm group"", ""user group"", ""process group id"", ""process group ID"", ""group option""]"
path,1458,13,"[""Slurm installation path"", ""correct path"", ""ld_library_path"", ""qualified path"", ""slurmdb path"", ""path parameter"", ""Correct path"", ""slurm_bb_path"", ""slurm installation path"", ""absolute path"", ""Path parameters"", ""slurm_bb_path function"", ""abs_path_to_bundle""]"
resources,,13,"[""mps resources"", ""billable trackable resources"", ""Burst buffer resources"", ""trackable resources"", ""GPU resources"", ""Slurm track burst buffer resources"", ""sufficient resources"", ""Generic Resources"", ""Job resources"", ""shard resources"", ""CPU resources"", ""AllowSpecResourcesUsage"", ""Hierarchical Resources""]"
run,1492,13,"[""run slurmrestd"", ""last_run format"", ""slurmctld run"", ""slurm run"", ""Run systemctl edit slurmrestd"", ""slurm_bb_post_run"", ""run mode"", ""run modes"", ""last_run"", ""run systemctl edit slurmrestd"", ""run time"", ""Run slurmrestd"", ""slurmctld daemon run""]"
function,64,13,"[""plugin function"", ""slurm_bb_get_statu function"", ""slurm_bb_get_status function"", ""function slurm_lua_job_record_field"", ""fini function"", ""slurm function"", ""function slurm_bb_pools"", ""slurm api function"", ""slurm_bb_job_process function"", ""function slurm_bb_pool"", ""api function"", ""slurm_bb_path function"", ""hostlist function""]"
host,126,13,"[""matlab@rlm_host"", ""backup host"", ""matlab rlm_host License"", ""backup slurmdbd host"", ""slurm_submit_host host"", ""Multiple SlurmctldHost entries"", ""slurmctld host"", ""SlurmctldHost nodes"", ""incorrect SlurmctldHost parameter"", ""SLURM_SUBMIT_HOST Host"", ""SlurmctldHost"", ""multiple SlurmctldHost"", ""matlab rlm_host license""]"
header,3364,12,"[""Header files"", ""header file"", ""Slurm‘s spank.h header file"", ""accept request header"", ""slurm‘ spank.h header file"", ""type request header"", ""Accept request header"", ""Type request header"", ""slurm header file"", ""type response header"", ""Slurm header files"", ""Type response header""]"
reservation,386,12,"[""advanced reservation"", ""backfill reservation"", ""SLURM_JOB_RESERVATION Reservation"", ""v0.0.43_openapi_reservation_mod_resp"", ""reservation starttime"", ""Reservation descriptions"", ""reservation description"", ""resource reservation"", ""magnetic reservation"", ""maintenance reservation"", ""ReservationName"", ""slurm_job_reservation reservation""]"
socket,142,12,"[""Socket id"", ""individual socket"", ""UNIX socket"", ""socket id"", ""unix socket"", ""cr_socket_memory"", ""physical processor socket"", ""cr_socket"", ""socket i d"", ""CR_Socket"", ""CR_Socket_Memory"", ""CoresPerSocket""]"
