edge_id,doc_id,chunk_id,subj_term,rel_text,obj_term,justification
25,doc_2329,doc_2329_chunk_0004,package_manager,reports_conflict,conflict,"The text states that the package manager would error out, reporting the conflict if libraries are installed in conflicting locations."
26,doc_2660,doc_2660_chunk_0002,job_desc,sets_selinux_context_to,selinux_context,job_desc.selinux_context is set based on the contents of job_desc.req_context if they are considered valid.
27,doc_2660,doc_2660_chunk_0002,srun,changes_context_of,id,Running 'srun id' changes the context as shown in the example output.
28,doc_2660,doc_2660_chunk_0002,job_desc,uses_for_admin_comment,admin_comment,job_desc.admin_comment is set to show what context we will try to set for the job.
29,doc_2770,doc_2770_chunk_0006,bf_resolution,sets_time_resolution_for,backfill scheduling,bf_resolution defines the time resolution of backfill scheduling.
30,doc_2770,doc_2770_chunk_0006,bf_window,determines_start_time_of,jobs,bf_window specifies how far into the future to look when determining when and where jobs can start.
31,doc_2770,doc_2770_chunk_0006,bf_yield_interval,specifies_lock_relinquishment_times_for,backfill scheduler,bf_yield_interval specifies the times when the backfill scheduler will relinquish locks.
32,doc_2770,doc_2770_chunk_0006,bf_yield_sleep,specifies_lock_relinquishment_duration_for,backfill scheduler,bf_yield_sleep specifies the length of time for which the backfill scheduler will relinquish locks.
33,doc_289e,doc_289e_chunk_0003,Partition QOS,configured_with,GrpTRES,The text mentions configuring a Partition QOS with GrpTRES set to the desired resource limits.
34,doc_289e,doc_289e_chunk_0003,QOS,configured_with,sacctmgr,Most QOS attributes are set using the sacctmgr command.
35,doc_289e,doc_289e_chunk_0003,QOS,configured_in,slurm.conf,Setting a QOS as a partition QOS is accomplished in slurm.conf through the QOS= option in the configuration of the associated partition.
36,doc_289e,doc_289e_chunk_0003,slurmctld,requires_restart_for,reconfiguration,slurmctld must be restarted or reconfigured for the flag to take effect when Flags=Relative is added to a QOS.
37,doc_3583,doc_3583_chunk_0001,Slurm commands,utilize,Application Programming Interfaces (APIs),The text states that all of the Slurm commands utilize a collection of Application Programming Interfaces (APIs).
38,doc_3583,doc_3583_chunk_0001,Slurm's APIs,exposed_through,"""slurm.h"" and ""slurmdb.h"" headers",The text mentions that Slurm's APIs are exposed through the 'slurm.h' and 'slurmdb.h' headers.
39,doc_3583,doc_3583_chunk_0001,Slurm's APIs,fixed_within,each major release,The text states that Slurm's APIs are fixed within each major release.
40,doc_3583,doc_3583_chunk_0001,REST API,provides,broader cross-version compatibility,The text encourages developers to target Slurm's REST API for broader cross-version compatibility.
41,doc_3740,doc_3740_chunk_0004,job's core specialization,will_be_silently_cleared_on,other configurations,The text states that a job's core specialization option will be silently cleared on other configurations.
42,doc_3740,doc_3740_chunk_0004,compute node,requires_core_count_configuration,configuration parameter,The text mentions that each compute node's core count must be configured or the CPUs count must be configured to the node's core count.
43,doc_3740,doc_3740_chunk_0004,configuration parameter,must_be_set_to,AllowSpecResourcesUsage,"The text states that if users are to be granted the right to control the number of specialized cores for their job, the configuration parameter AllowSpecResourcesUsage must be set to a value of 1."
44,doc_3773,doc_3773_chunk_0002,fini,called_when,plugin_is_removed,The text describes that fini is called when the plugin is removed.
45,doc_3773,doc_3773_chunk_0002,site_factor_p_reconfig,called_when,slurmctld_is_reconfigured,The text states that site_factor_p_reconfig is called whenever slurmctld is reconfigured.
46,doc_3773,doc_3773_chunk_0002,site_factor_p_set,sets,site_priority_of_job,The text explains that site_factor_p_set sets the site_priority of the job.
47,doc_3773,doc_3773_chunk_0002,site_factor_p_update,handles_periodic_updates_to,all_site_priority_values_in_job_list,The text mentions that site_factor_p_update handles periodic updates to all site_priority values in the job_list.
48,doc_3773,doc_3773_chunk_0003,PrioritySiteFactorPlugin,specifies,PriorityCalcPeriod,The text indicates that PrioritySiteFactorPlugin specifies PriorityCalcPeriod.
49,doc_3bdd,doc_3bdd_chunk_0002,autoconf,required_for,building_slurm,The text notes that autoconf version 2.52 or higher is required to build Slurm.
50,doc_3bdd,doc_3bdd_chunk_0002,README file,describes,build_process,The text mentions that the build process is described in the README file.
51,doc_405b,doc_405b_chunk_0002,AssocGrpBB,reaches_limit_of,Burst Buffer,The text states that AssocGrpBB indicates the job's association has reached its aggregate Burst Buffer limit.
52,doc_405b,doc_405b_chunk_0002,AssocGrpBilling,reaches_limit_of,Billing limit,The text states that AssocGrpBilling indicates the job's association has reached its aggregate Billing limit.
53,doc_405b,doc_405b_chunk_0002,AssocGrpCpuLimit,reaches_limit_of,CPU,The text states that AssocGrpCpuLimit indicates the job's association has reached its aggregate CPU limit.
54,doc_405b,doc_405b_chunk_0019,nodes,identified_as,UnavailableNodes,"Nodes which are DOWN, DRAINED, or not responding will be identified as part of the job's 'reason' field as 'UnavailableNodes'."
55,doc_405b,doc_405b_chunk_0019,slurm.conf,configures,SchedDefer,The text mentions that SchedDefer is configured in the slurm.conf.
56,doc_405b,doc_405b_chunk_0019,resources,not_available,job,"The resources requested by the job are not available, which can cause the job to be in a certain state."
57,doc_4387,doc_4387_chunk_0015,accounting_storage/mysql,indicates_writing_to,MySQL or MariaDB database,The text states that the value 'accounting_storage/mysql' indicates that accounting records should be written to a MySQL or MariaDB database.
58,doc_4387,doc_4387_chunk_0015,Slurm,creates_database_tables,database tables,The text mentions that Slurm will create the database tables automatically.
59,doc_4387,doc_4387_chunk_0015,StorageUser,connects_to_database_with,mysql user,The text explains that the StorageUser is the name of the user we are going to connect to the database with to store the job accounting data.
60,doc_4387,doc_4387_chunk_0015,StorageUser,needs_permissions_in,MySQL or MariaDB database,The text states that the StorageUser needs to be granted permissions in the MySQL or MariaDB database to create the necessary tables.
61,doc_4387,doc_4387_chunk_0016,MySQL,grants_access_to,slurm_acct_db,The text describes granting access to the slurm_acct_db database using MySQL commands.
62,doc_4387,doc_4387_chunk_0016,GRANT,assigns_privileges_to,slurm_acct_db,The text mentions using the GRANT command to assign privileges to the slurm_acct_db database.
63,doc_4387,doc_4387_chunk_0016,'slurm'@'localhost',identified_by,password,The text specifies that the user 'slurm'@'localhost' is identified by a password.
64,doc_4387,doc_4387_chunk_0016,'slurm'@'system0',identified_by,some_pass,The text specifies that the user 'slurm'@'system0' is identified by a password 'some_pass'.
65,doc_4600,doc_4600_chunk_0002,root,can_confirm_exists_and_is_empty,/$BasePath/$JobID/_tmp,The text states that root should be able to confirm that /$BasePath/$JobID/_tmp exists and is empty.
66,doc_4600,doc_4600_chunk_0002,/$BasePath/$JobID/_tmp,bind_mounted_into,job,The text mentions that this directory is bind mounted into the job.
67,doc_4600,doc_4600_chunk_0002,plugin,interfaces_with,SPANK api,The text states that the plugin interfaces with the SPANK api.
68,doc_4600,doc_4600_chunk_0002,TaskProlog,executed_inside,container,The text mentions that the TaskProlog will also be executed inside the container.
69,doc_4d9f,doc_4d9f_chunk_0002,sbatch,submits_jobs_to,job array,The text explains that sbatch is used to submit jobs which are part of a job array.
70,doc_4d9f,doc_4d9f_chunk_0002,SLURM_ARRAY_TASK_COUNT,set_to,number_of_tasks_in_job_array,The text states that SLURM_ARRAY_TASK_COUNT will be set to the number of tasks in the job array.
71,doc_4d9f,doc_4d9f_chunk_0002,SLURM_ARRAY_TASK_MAX,set_to,highest_job_array_index_value,The text states that SLURM_ARRAY_TASK_MAX will be set to the highest job array index value.
72,doc_4d9f,doc_4d9f_chunk_0002,SLURM_ARRAY_TASK_MIN,set_to,lowest_job_array_index_value,The text states that SLURM_ARRAY_TASK_MIN will be set to the lowest job array index value.
73,doc_4d9f,doc_4d9f_chunk_0007,job array,starts_tasks,task,The text mentions that a job array starts tasks when needed.
74,doc_4d9f,doc_4d9f_chunk_0007,task,shares_arrayjobid_with,job array,Each task of the job array shares the same ArrayJobId.
75,doc_4d9f,doc_4d9f_chunk_0007,task,has_unique_arraytaskid,job array,Each task of the job array has its own unique ArrayTaskId.
76,doc_4d9f,doc_4d9f_chunk_0007,task,gets_assigned_jobid,job,"As tasks are started, each job gets assigned a unique JobId."
77,doc_4ff0,doc_4ff0_chunk_0001,new plugin,added_to,Slurm code base,The text describes the procedure to add a new plugin to the Slurm code base.
78,doc_4ff0,doc_4ff0_chunk_0001,new plugin,modified_files_in,src/plugins/topology/Makefile.am,The text specifies that a new directory for the plugin needs to be added to its parent directory's Makefile.am.
79,doc_4ff0,doc_4ff0_chunk_0001,Makefile.am,modified_by,new directory,The text mentions modifying the Makefile.am file in the file's parent directory when adding a new directory for a plugin.
80,doc_4ff0,doc_4ff0_chunk_0001,git branch,used_for,adding_files_or_plugins,The text recommends using a git branch for adding new files or plugins to the Slurm code base.
81,doc_5755,doc_5755_chunk_0009,Slurm,runs_multiple_jobs_within_allocation,job,The text explains that a Slurm job is a resource allocation where you can execute many job steps either in parallel or sequentially.
82,doc_5755,doc_5755_chunk_0011,scontrol,shows_node_info_for,nodes,The text mentions using the command 'scontrol show node' to determine if nodes have more than one thread per core.
83,doc_5755,doc_5755_chunk_0011,srun,distributes_tasks_across,nodes,The text explains how to use the '-m arbitrary' option with srun to distribute tasks across specific nodes.
84,doc_5755,doc_5755_chunk_0011,tasks,run_on,nodes,The text describes how to specify which nodes to run specific tasks on using srun and SLURM_JOB_NODELIST.
85,doc_5755,doc_5755_chunk_0011,Slurm_commands,contain_options_for,resource_allocation,"The text mentions that Slurm commands contain options to control resource allocation with respect to base boards, sockets, cores, and threads."
86,doc_5755,doc_5755_chunk_0023,scontrol,changes_state_of,NodeName,The text explains that the scontrol command can be used to change the node's state to DOWN.
87,doc_5755,doc_5755_chunk_0023,scontrol,terminates_jobs_associated_with,NodeName,Setting the node DOWN will terminate all running or suspended jobs associated with that node.
88,doc_5755,doc_5755_chunk_0023,scontrol_requeue,requeues_job_in,PENDING state,The scontrol requeue command requeues jobs in a done or failed state back into the PENDING state and schedules them again.
89,doc_5755,doc_5755_chunk_0023,job,enters_failed_state,FAILED state,The job enters a failed state because it exits with a non-zero value.
90,doc_5755,doc_5755_chunk_0027,slurmd process,memlock,memory,"The text mentions that the slurmd process's memory is memlocked so that if a node starts swapping, the slurmd will continue to respond."
91,doc_5755,doc_5755_chunk_0027,slurm.conf,specifies,different pathnames and port numbers,The text states that the test system's slurm.conf should specify different pathnames and port numbers to avoid conflicts.
92,doc_5755,doc_5755_chunk_0027,Slurm systems,can_run_in_parallel_for,testing_purposes,The text explains that multiple Slurm systems can be run in parallel for testing purposes.
93,doc_5755,doc_5755_chunk_0027,Slurm systems,can_emulate,larger_cluster,The text mentions that Slurm can emulate a larger cluster for testing purposes.
94,doc_5755,doc_5755_chunk_0030,patch_command,applies_to,source_tarball,The text explains that the patch command can be used to apply a patch to the extracted source code.
95,doc_5755,doc_5755_chunk_0030,patch_file,applied_to,source_tarball,The text describes how to apply a patch file to the extracted source code using the patch command.
96,doc_5755,doc_5755_chunk_0030,tar,creates,tarball,The text mentions using the tar command to create a tarball of the patched source code.
97,doc_5755,doc_5755_chunk_0030,rpmbuild,requires,tarball,The text states that rpmbuild requires creating a tarball with the patched files to avoid errors.
98,doc_5755,doc_5755_chunk_0032,inconsistent clocks,cause,nodes_to_be_unusable_and_generate_errors_in_Slurm_log_files,Having inconsistent clocks may cause nodes to be unusable and generate errors in Slurm log files regarding expired credentials.
99,doc_5755,doc_5755_chunk_0032,PartitionName,sets_state_to,DOWN,Setting the PartitionName state to DOWN can stop Slurm from scheduling jobs on that partition.
100,doc_5755,doc_5755_chunk_0032,PartitionName,sets_state_to,UP,Setting the PartitionName state to UP resumes scheduling jobs on that partition.
101,doc_5755,doc_5755_chunk_0032,resource_reservation,can_dry_up_workload_for,maintenance_period,Creating a resource reservation can be used to dry up the workload for a maintenance period.
102,doc_5755,doc_5755_chunk_0036,job submit plugin,has_access_to,job request from user,"A job submit plugin is designed to have access to a job request from a user, plus information about all of the available system partitions/queue."
103,doc_5755,doc_5755_chunk_0036,job submit plugin,can_set_partition,incoming job's partition,"An administrator can write a C plugin or LUA script to set an incoming job's partition based upon its size, time limit, etc."
104,doc_5755,doc_5755_chunk_0036,slurmdbd,provides_authenticated_connection_to,database,Using the slurmdbd you can have an authenticated connection to the database.
105,doc_5755,doc_5755_chunk_0043,slurmctld,runs_on,head node,The text mentions restarting the slurmctld daemon on the head node.
106,doc_5755,doc_5755_chunk_0043,scontrol reconfigure,updates,slurm.conf,The text states to run scontrol reconfigure to update the slurm.conf file.
107,doc_5755,doc_5755_chunk_0043,slurmctld,causes_node_down,compute node,The text explains that the condition of slurmctld running on the head node and slurmd on the compute node can cause the node to go down.
108,doc_5755,doc_5755_chunk_0043,ReturnToService,configures,slurm.conf,The text suggests configuring ReturnToService in the slurm.conf man page.
109,doc_5755,doc_5755_chunk_0045,slurm.conf,prevents_propagation_of,MEMLOCK,Adding the line 'PropagateResourceLimitsExcept=MEMLOCK' to slurm.conf prevents the locked memory limit from being propagated.
110,doc_5755,doc_5755_chunk_0045,pam_slurm_adopt module,controls,user's_access,"The pam_slurm_adopt module prevents users from logging into nodes that they have not been allocated, controlling their access."
111,doc_5755,doc_5755_chunk_0045,pam_slurm module,controls,user's_access,"The pam_slurm module also prevents users from logging into nodes that they have not been allocated, controlling their access."
112,doc_5755,doc_5755_chunk_0049,TaskProlog,prints_to,user stdout,The script within TaskProlog prints information to the job's standard output.
113,doc_5755,doc_5755_chunk_0049,EpilogSlurmctld,could_prepare_job_summary,central_place,The text suggests that EpilogSlurmctld could be used as a central place to prepare some kind of job summary.
114,doc_5755,doc_5755_chunk_0049,srun,runs_even_when_job_completed,user process,The text mentions that user processes and srun are running even though the job is supposed to be completed.
115,doc_5755,doc_5755_chunk_0051,EpilogSlurmctld,checks_job_exit_value,SLURM_JOB_EXIT2,The text describes an EpilogSlurmctld that checks the job exit value using the SLURM_JOB_EXIT2 environment variable.
116,doc_5755,doc_5755_chunk_0051,EpilogSlurmctld,requeues_job_if,SLURM_JOB_EXIT_CODE2==8,"If the exit code is 8, the EpilogSlurmctld requeues the job."
117,doc_5755,doc_5755_chunk_0051,scontrol,requeues_job,SLURM_JOB_ID,The scontrol command is used to requeue the job with the SpecialExit state.
118,doc_5755,doc_5755_chunk_0054,pam_slurm_adopt,configures_with,join_container=false,The text mentions enabling functionality by appending join_container=false to pam_slurm_adopt.
119,doc_5755,doc_5755_chunk_0054,Slurm,works_with,System V IPC,The text states that Slurm is generally agnostic to System V IPC.
120,doc_5755,doc_5755_chunk_0054,kernel.shmmax,influences,RealMemory,The text suggests configuring kernel.shmmax and deducting its value times the maximum number of job processes from each node's configured RealMemory.
121,doc_5755,doc_5755_chunk_0054,Slurm,reports_memory_usage_of,processes_using_sysv_ipc,The text explains that Slurm reports memory usage of processes using sysv ipc based on the value of kernel.shm_rmid_forced.
122,doc_5755,doc_5755_chunk_0057,PropagateResourceLimits,needed_for,SlurmUser,The text mentions that the PropagateResourceLimits=CORE parameter in slurm.conf could be needed to give SlurmUser the appropriate permissions to write in the core location directories.
123,doc_5755,doc_5755_chunk_0057,core file,goes_to,persistent_storage,The text encourages making coredumps go to a persistent storage to avoid filling up the machine's memory.
124,doc_5755,doc_5755_chunk_0057,core file,may_impact,shared filesystem,The text warns that multiple nodes writing a core dump to a shared filesystem may significantly impact it.
125,doc_5755,doc_5755_chunk_0062,TotalView,configures_with,Slurm,The text explains how to configure TotalView to operate with Slurm by adding specific lines to the global .tvdrc file.
126,doc_5755,doc_5755_chunk_0062,srun,used_in,TV::bulk_launch_string,The text mentions using srun in the TV::bulk_launch_string to operate with Slurm.
127,doc_5755,doc_5755_chunk_0063,dset,sets_as_default,TV::bulk_launch_tmpfile1_host_lines,"The text mentions dset -set_as_default TV::bulk_launch_tmpfile1_host_lines, indicating that dset sets this variable as default."
128,doc_5755,doc_5755_chunk_0063,awk,strips_away,domain_name_suffixes,The text states to use awk in the launch string to strip away domain name suffixes.
129,doc_582b,doc_582b_chunk_0001,Slurm,supports_large_number_of_open_files_and_tcp_connections_with_large_bursts_of_messages,system_configuration_parameters,The document mentions that three system configuration parameters must be set to support a large number of open files and TCP connections with large bursts of messages.
130,doc_582b,doc_582b_chunk_0001,system_configuration_parameters,can_be_modified_using,/etc/rc.d/rc.local_or_/etc/sysctl.conf_script,Changes can be made using the /etc/rc.d/rc.local or /etc/sysctl.conf script to preserve changes after reboot.
131,doc_582b,doc_582b_chunk_0001,performance,depends_on,hardware_software_and_configuration,"Performance may vary due to differences in hardware, software, and configuration."
132,doc_582b,doc_582b_chunk_0002,/proc/sys/fs/file-max,depends_on,system_specs_and_workload,The text mentions that the appropriate amount of /proc/sys/fs/file-max is highly dependent on system specs and workload.
133,doc_582b,doc_582b_chunk_0002,/proc/sys/net/core/somaxconn,limits,socket_listen_backlog,The text states that /proc/sys/net/core/somaxconn limits the socket listen backlog.
134,doc_582b,doc_582b_chunk_0002,somaxconn,should_be_raised_for,bursts_of_request,The text suggests raising the value of somaxconn substantially to support bursts of requests.
135,doc_582b,doc_582b_chunk_0002,ifconfig,modifies,txqueuelen,The text mentions modifying the transmit queue length (txqueuelen) using the ifconfig command.
136,doc_5d35,doc_5d35_chunk_0002,job_component,allocated_on,node,The text states that job components are allocated on specific nodes.
137,doc_5d35,doc_5d35_chunk_0002,task_distribution,distributes_tasks_cyclically_on,nodes,The text mentions that a task distribution of 'cyclic' will distribute tasks cyclically on nodes.
138,doc_5d35,doc_5d35_chunk_0002,batch_job,uses_default_output_file_name,hetjob_component,The text explains that specifying a batch job output file in the second hetjob component's options will result in the first hetjob component using the default output file name.
139,doc_5d35,doc_5d35_chunk_0002,environment_variables,applied_to_every_component,hetjob,The text states that environment variables used to specify default options for the job submit command will be applied to every component of the heterogeneous job.
140,doc_5d35,doc_5d35_chunk_0014,heterogeneous job,counts_as,job,Each component of a heterogeneous job counts as a 'job' with respect to resource limits.
141,doc_5d35,doc_5d35_chunk_0014,resource_allocations,performed_by,whole_core_or_socket_or_node,"Resource allocations might be performed by whole core, socket or node, not considering individual CPUs."
142,doc_5d35,doc_5d35_chunk_0014,concurrent_running_jobs,limits,Job,A user might have a limit of 2 concurrent running jobs.
143,doc_5d35,doc_5d35_chunk_0014,heterogeneous_job_components,affect,scheduling_other_jobs,"Such a situation will have an adverse effect upon scheduling other jobs, especially other heterogeneous jobs."
144,doc_61ca,doc_61ca_chunk_0001,Slurm PrEp,provides_interface_for,prep plugins,"The document describes the Slurm PrEp plugins API as providing a native C interface to the same hooks traditionally used by Prolog, Epilog, PrologSlurmctld, and EpilogSlurmctld scripts."
145,doc_61ca,doc_61ca_chunk_0001,prep/script plugin,serves_as_example_for,additional plugins,The document mentions that the prep/script plugin serves as a good example of how to approach development of additional plugins.
146,doc_61ca,doc_61ca_chunk_0001,configuration option,configures,PrEpPlugins,The document states that Slurm can be configured to use multiple prep plugins if desired through the PrEpPlugins configuration option.
147,doc_6722,doc_6722_chunk_0004,dwstat,calls_script,burst_buffer/lua,The text states that dwstat is a Slurm burst_buffer/datawarp plugin that calls this script to get status information.
148,doc_6722,doc_6722_chunk_0004,BurstBufferType,defined_in,slurm.conf,The text mentions that BurstBufferType is defined in slurm.conf.
149,doc_6722,doc_6722_chunk_0004,burst_buffer.lua,called_by,slurmctld,The text states that slurmctld calls burst_buffer.lua using Lua's C API instead of using fork().
150,doc_6722,doc_6722_chunk_0004,slurm_bb_job_process,exists_in,burst_buffer.lua,The text lists slurm_bb_job_process as one of the required functions in burst_buffer.lua.
151,doc_6722,doc_6722_chunk_0014,Datawarp,tracks_burst_buffer_info_with,scontrol show burst,The text mentions that Burst buffer information tracked by Slurm is available using the scontrol show burst command.
152,doc_6722,doc_6722_chunk_0014,Datawarp,tracks_burst_buffer_info_with,sview command's Burst Buffer tab,The text also states that Burst buffer information is available via the sview command's Burst Buffer tab.
153,doc_6722,doc_6722_chunk_0019,slurmctld,kills_burst_buffer_scripts_for,jobs,"If slurmctld is stopped, it kills all running burst buffer scripts for all jobs."
154,doc_6722,doc_6722_chunk_0019,slurmctld,reads_burst_buffer_state_from,job,"When slurmctld restarts, it reads the burst buffer state for each job."
155,doc_6722,doc_6722_chunk_0019,job,has_state,Job State,"The job can have various states such as pending, post-run, pre-run, running, staged-in, staging-in, staging-out, teardown, and teardown-fail."
156,doc_6b88,doc_6b88_chunk_0006,libjwt,views_and_verifies,RFC7519 JWT tokens,The text states that libjwt is used to view and verify RFC7519 JWT tokens.
157,doc_6b88,doc_6b88_chunk_0006,slurmctld,provides_signing_key_to,slurmdbd,The text mentions that the signing key is provided to slurmctld and slurmdbd to allow decryption of the tokens.
158,doc_732b,doc_732b_chunk_0004,pam_slurm_adopt,allows_access_to,root user,The text states that pam_slurm_adopt will always allow the root user access.
159,doc_732b,doc_732b_chunk_0004,pam_slurm_adopt,stacked_with,pam_access,The text mentions stacking pam_slurm_adopt with pam_access in the /etc/pam.d/sshd file.
160,doc_732b,doc_732b_chunk_0004,pam_access,stacked_with,pam_slurm_adopt,The text discusses stacking pam_access with pam_slurm_adopt in different orders.
161,doc_732b,doc_732b_chunk_0004,pam_listfile,stacked_with,pam_slurm_adopt,The text mentions stacking pam_listfile with pam_slurm_adopt to achieve similar results.
162,doc_732b,doc_732b_chunk_0007,action_adopt_failure,performs_when,process_cannot_be_adopted_into_job,"If the process is unable to be adopted into any job for whatever reason, the action_adopt_failure is taken."
163,doc_732b,doc_732b_chunk_0007,action_unknown,performs_when,failure_at_attempting_to_adopt_into_callerid_job_or_only_one_job_exists,"If the process cannot be adopted into the job identified by the callerid RPC, or if there is only one job, it will fall through to the action_unknown code."
164,doc_732b,doc_732b_chunk_0007,action_generic_failure,performs_when,certain_failures_such_as_inability_to_talk_to_local_slurmd_or_kernel_facilities_not_offered,"If there are certain failures such as the inability to talk to the local slurmd or if the kernel doesn't offer the correct facilities, the action_generic_failure is performed."
165,doc_732b,doc_732b_chunk_0008,DISPLAY variable,overwritten_by,job,"If the job the connection is adopted into has Slurm's X11 forwarding enabled, the DISPLAY variable will be overwritten with the X11 tunnel endpoint details."
166,doc_732b,doc_732b_chunk_0008,Slurm,controls,X11 forwarding,The text mentions that Slurm's X11 forwarding can be enabled or disabled based on the job configuration.
167,doc_732b,doc_732b_chunk_0008,Slurm,configurable_via,slurm.conf,Configurable values are listed under SlurmdDebug in slurm.conf.
168,doc_732b,doc_732b_chunk_0008,join_container,controls_interaction_with,job_container/tmpfs plugin,join_container controls the interaction with the job_container/tmpfs plugin.
169,doc_732b,doc_732b_chunk_0010,SELinux,may_conflict_with,pam_slurm_adopt,The text mentions that SELinux may conflict with pam_slurm_adopt.
170,doc_732b,doc_732b_chunk_0010,pam_slurm_adopt,requires_permissions,permissions,The module definition includes various permissions that pam_slurm_adopt requires.
171,doc_732b,doc_732b_chunk_0010,pam_slurm_adopt,can_confuse_pam_modules,PAM modules,The text states that using SELinux support in Slurm can confuse PAM modules when using pam_slurm_adopt.
172,doc_732b,doc_732b_chunk_0010,pam_slurm_adopt,affects_process_adoption,process adoption,"The text mentions that the session started via pam_slurm_adopt won't necessarily be in the same context as the job it is associated with, affecting process adoption."
173,doc_7425,doc_7425_chunk_0024,mem_per_cpu,added_to,v0.0.39_job,The text mentions adding 'required/memory_per_cpu' to 'v0.0.39_job'.
174,doc_7425,doc_7425_chunk_0024,mem_per_node,added_to,v0.0.39_job,The text mentions adding 'required/memory_per_node' to 'v0.0.39_job'.
175,doc_7425,doc_7425_chunk_0031,get,uses_input_parameter,with_deleted,The text mentions adding the with_deleted input parameter to the GET /qos and GET /account endpoints.
176,doc_7425,doc_7425_chunk_0031,GET /associations,uses_input_parameter,filter_parameters,The text states that filter parameters are added to the GET /associations method.
177,doc_7425,doc_7425_chunk_0031,fields.components.schemas.dbv0.0.38_job,includes_new_field,container,The text mentions adding the container field to the job description.
