enrich_id,canonical_term,example_term,scheduler,category,short_definition,is_hpc_domain,freq_total,doc_count,aliases_json,raw_json
12,--acctg-freq,--acctg-freq,slurm,config_param,--acctg-freq is a command-line option or configuration parameter used to set the frequency for energy data collection in SLURM.,1,3,1,[],"{
  ""term"": ""--acctg-freq"",
  ""canonical"": ""--acctg-freq"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""--acctg-freq is a command-line option or configuration parameter used to set the frequency for energy data collection in SLURM."",
  ""aliases"": []
}"
13,--array,--array,slurm,command,"--array is a command-line option used to submit a job array in SLURM, allowing for multiple tasks to be run as part of a single job.",1,3,1,[],"{
  ""term"": ""--array"",
  ""canonical"": ""--array"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""short_definition"": ""--array is a command-line option used to submit a job array in SLURM, allowing for multiple tasks to be run as part of a single job."",
  ""aliases"": []
}"
14,--bbf,--bbf,slurm,command,"--bbf is a command-line option used in SLURM to include burst buffer directives for a job, either from a file or as an argument.",1,1,1,[],"{
  ""term"": ""--bbf"",
  ""canonical"": ""--bbf"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""short_definition"": ""--bbf is a command-line option used in SLURM to include burst buffer directives for a job, either from a file or as an argument."",
  ""aliases"": []
}"
15,--bbf options,--bbf options,slurm,command,--bbf options are command-line flags used with salloc and srun commands in SLURM to specify burst buffer requirements for jobs.,1,1,1,[],"{
  ""term"": ""--bbf options"",
  ""canonical"": ""--bbf options"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""short_definition"": ""--bbf options are command-line flags used with salloc and srun commands in SLURM to specify burst buffer requirements for jobs."",
  ""aliases"": []
}"
16,--cluster,--cluster option,slurm,option_flag,--cluster is a command-line option used with the PSNC DRMAA for Slurm API to specify a cluster or resource for job submission.,1,1,1,[],"{
  ""term"": ""--cluster option"",
  ""canonical"": ""--cluster"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--cluster is a command-line option used with the PSNC DRMAA for Slurm API to specify a cluster or resource for job submission."",
  ""aliases"": []
}"
17,--cluster-constraint,--cluster-constraint,slurm,option_flag,"--cluster-constraint is a command-line option used in SLURM to specify constraints for federated job submissions, such as targeting specific clusters or requiring certain cluster features.",1,3,1,[],"{
  ""term"": ""--cluster-constraint"",
  ""canonical"": ""--cluster-constraint"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--cluster-constraint is a command-line option used in SLURM to specify constraints for federated job submissions, such as targeting specific clusters or requiring certain cluster features."",
  ""aliases"": []
}"
18,--clusters,--clusters,slurm,option_flag,--clusters is a command-line option used with Slurm client commands to target jobs to one or multiple clusters managed by a single slurmctld daemon.,1,4,2,[],"{
  ""term"": ""--clusters"",
  ""canonical"": ""--clusters"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--clusters is a command-line option used with Slurm client commands to target jobs to one or multiple clusters managed by a single slurmctld daemon."",
  ""aliases"": []
}"
19,--conf-server,--conf-server,slurm,option_flag,"--conf-server is a command-line option used to configure slurmd to get its configuration from the slurmctld, either directly or via DNS SRV records.",1,1,1,[],"{
  ""term"": ""--conf-server"",
  ""canonical"": ""--conf-server"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--conf-server is a command-line option used to configure slurmd to get its configuration from the slurmctld, either directly or via DNS SRV records."",
  ""aliases"": []
}"
20,--constraint,--constraint,both,option_flag,--constraint is a command-line option used to specify a node's feature preference for resource allocation in SLURM and IBM LSF.,1,1,1,[],"{
  ""term"": ""--constraint"",
  ""canonical"": ""--constraint"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--constraint is a command-line option used to specify a node's feature preference for resource allocation in SLURM and IBM LSF."",
  ""aliases"": []
}"
21,--container,--container,slurm,command,--container is a command-line option used in SLURM to request container runtime execution for jobs or steps.,1,1,1,[],"{
  ""term"": ""--container"",
  ""canonical"": ""--container"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""short_definition"": ""--container is a command-line option used in SLURM to request container runtime execution for jobs or steps."",
  ""aliases"": []
}"
22,--context,--context,slurm,option_flag,--context is a command-line option in SLURM that allows users to set the SELinux context for their jobs.,1,1,1,[],"{
  ""term"": ""--context"",
  ""canonical"": ""--context"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--context is a command-line option in SLURM that allows users to set the SELinux context for their jobs."",
  ""aliases"": []
}"
23,--core-spec,--core-spec,slurm,option_flag,"--core-spec is a command-line option used in SLURM to reserve cores for system overhead on allocated compute nodes, improving job performance by reducing context switching.",1,2,1,[],"{
  ""term"": ""--core-spec"",
  ""canonical"": ""--core-spec"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--core-spec is a command-line option used in SLURM to reserve cores for system overhead on allocated compute nodes, improving job performance by reducing context switching."",
  ""aliases"": []
}"
24,--cores-per-socket,--cores-per-socket,slurm,option_flag,--cores-per-socket is a command-line option used to specify the minimum number of cores in a socket to dedicate to a job in SLURM.,1,1,1,[],"{
  ""term"": ""--cores-per-socket"",
  ""canonical"": ""--cores-per-socket"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--cores-per-socket is a command-line option used to specify the minimum number of cores in a socket to dedicate to a job in SLURM."",
  ""aliases"": []
}"
25,--cpu-bind,--cpu-bind,both,option_flag,--cpu-bind is a command-line option used to bind a job to specific CPU resources (socket or core) on the cluster.,1,5,2,[],"{
  ""term"": ""--cpu-bind"",
  ""canonical"": ""--cpu-bind"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--cpu-bind is a command-line option used to bind a job to specific CPU resources (socket or core) on the cluster."",
  ""aliases"": []
}"
26,--cpus-per-gpu,--cpus-per-GPU,slurm,config_param,--cpus-per-GPU is a configuration parameter used in Slurm to specify the number of CPUs allocated per GPU for a job.,1,2,2,[],"{
  ""term"": ""--cpus-per-GPU"",
  ""canonical"": ""--cpus-per-gpu"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""--cpus-per-GPU is a configuration parameter used in Slurm to specify the number of CPUs allocated per GPU for a job."",
  ""aliases"": []
}"
27,--cpus-per-task,--cpus-per-task,generic,option_flag,--cpus-per-task is a command-line option used to specify the number of CPUs allocated to each task in a job or job component.,1,1,1,[],"{
  ""term"": ""--cpus-per-task"",
  ""canonical"": ""--cpus-per-task"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--cpus-per-task is a command-line option used to specify the number of CPUs allocated to each task in a job or job component."",
  ""aliases"": []
}"
28,--distribution,--distribution,slurm,option_flag,--distribution is a command-line option used to specify the distribution method for task placement in SLURM job submissions.,1,4,3,[],"{
  ""term"": ""--distribution"",
  ""canonical"": ""--distribution"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--distribution is a command-line option used to specify the distribution method for task placement in SLURM job submissions."",
  ""aliases"": []
}"
29,--duplicate,--duplicate/-D,both,option_flag,"--duplicate is a command-line option used to display 'revoked' jobs in the sacct report, which are jobs that were removed from the scheduler queue.",1,1,1,[],"{
  ""term"": ""--duplicate/-D"",
  ""canonical"": ""--duplicate"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--duplicate is a command-line option used to display 'revoked' jobs in the sacct report, which are jobs that were removed from the scheduler queue."",
  ""aliases"": []
}"
30,--enable-debug,--enable-debug,slurm,config_param,--enable-debug is a configuration option used to build Slurm with debugging symbols for development and testing.,1,2,2,[],"{
  ""term"": ""--enable-debug"",
  ""canonical"": ""--enable-debug"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""--enable-debug is a configuration option used to build Slurm with debugging symbols for development and testing."",
  ""aliases"": []
}"
31,--enable-developer,--enable-developer,slurm,config_param,--enable-developer is a configuration option used to build Slurm with debugging symbols and assertions for testing and development purposes.,1,1,1,[],"{
  ""term"": ""--enable-developer"",
  ""canonical"": ""--enable-developer"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""--enable-developer is a configuration option used to build Slurm with debugging symbols and assertions for testing and development purposes."",
  ""aliases"": []
}"
32,--enable-multiple-slurmd,--enable-multiple-slurmd,slurm,config_param,--enable-multiple-slurmd is a configure-time parameter that enables multiple Slurmd daemons on a single node.,1,2,2,[],"{
  ""term"": ""--enable-multiple-slurmd"",
  ""canonical"": ""--enable-multiple-slurmd"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""--enable-multiple-slurmd is a configure-time parameter that enables multiple Slurmd daemons on a single node."",
  ""aliases"": []
}"
33,--exclude,--exclude,both,option_flag,--exclude is a command-line option used to prevent a job from being scheduled on certain nodes in SLURM or LSF.,1,1,1,[],"{
  ""term"": ""--exclude"",
  ""canonical"": ""--exclude"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--exclude is a command-line option used to prevent a job from being scheduled on certain nodes in SLURM or LSF."",
  ""aliases"": []
}"
34,--exclusive,--exclusive,slurm,option_flag,"--exclusive is a command-line option used in SLURM to select nodes with a filter based on the MCS label, either always, never, or on demand.",1,3,2,[],"{
  ""term"": ""--exclusive"",
  ""canonical"": ""--exclusive"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--exclusive is a command-line option used in SLURM to select nodes with a filter based on the MCS label, either always, never, or on demand."",
  ""aliases"": []
}"
35,--exclusive=mcs,--exclusive=mcs,slurm,option_flag,--exclusive=mcs is a command-line option used in SLURM to restrict preemption to jobs with the same Multi-Cluster Switch (MCS) label.,1,1,1,[],"{
  ""term"": ""--exclusive=mcs"",
  ""canonical"": ""--exclusive=mcs"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--exclusive=mcs is a command-line option used in SLURM to restrict preemption to jobs with the same Multi-Cluster Switch (MCS) label."",
  ""aliases"": []
}"
36,--exclusive=user,--exclusive=user,slurm,option_flag,--exclusive=user is a command-line option used in SLURM to restrict a job from running on a node with other jobs from different users.,1,1,1,[],"{
  ""term"": ""--exclusive=user"",
  ""canonical"": ""--exclusive=user"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--exclusive=user is a command-line option used in SLURM to restrict a job from running on a node with other jobs from different users."",
  ""aliases"": []
}"
37,--export,--export,slurm,option_flag,--export is a command-line option used with srun and sbatch in SLURM to specify environment variables to be propagated to the spawned processes.,1,2,2,[],"{
  ""term"": ""--export"",
  ""canonical"": ""--export"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--export is a command-line option used with srun and sbatch in SLURM to specify environment variables to be propagated to the spawned processes."",
  ""aliases"": []
}"
38,--federation,--federation,slurm,option_flag,--federation is a command-line option used with SLURM status commands to display a federated view of jobs and clusters.,1,2,1,[],"{
  ""term"": ""--federation"",
  ""canonical"": ""--federation"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--federation is a command-line option used with SLURM status commands to display a federated view of jobs and clusters."",
  ""aliases"": []
}"
39,--gpu*,--gpu*,slurm,option_flag,"--gpu* are command-line options specific to Slurm's GPU resource management, used to configure GPU-related settings such as CPU count, GPU bind, frequency, and memory allocation.",1,1,1,[],"{
  ""term"": ""--gpu*"",
  ""canonical"": ""--gpu*"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--gpu* are command-line options specific to Slurm's GPU resource management, used to configure GPU-related settings such as CPU count, GPU bind, frequency, and memory allocation."",
  ""aliases"": []
}"
41,--gpu-bind,--gpu-bind,slurm,option_flag,--gpu-bind is a command-line option used to define how tasks are bound to GPUs in SLURM job submissions.,1,2,2,[],"{
  ""term"": ""--gpu-bind"",
  ""canonical"": ""--gpu-bind"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--gpu-bind is a command-line option used to define how tasks are bound to GPUs in SLURM job submissions."",
  ""aliases"": []
}"
42,--gpu-freq,--gpu-freq,slurm,option_flag,--gpu-freq is a command-line option used to specify GPU frequency and/or GPU memory frequency in SLURM job submissions.,1,2,2,[],"{
  ""term"": ""--gpu-freq"",
  ""canonical"": ""--gpu-freq"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--gpu-freq is a command-line option used to specify GPU frequency and/or GPU memory frequency in SLURM job submissions."",
  ""aliases"": []
}"
43,--gpus,--gpus,slurm,option_flag,--gpus is a command-line option used to specify the number of GPUs required for a job in SLURM.,1,1,1,[],"{
  ""term"": ""--gpus"",
  ""canonical"": ""--gpus"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--gpus is a command-line option used to specify the number of GPUs required for a job in SLURM."",
  ""aliases"": []
}"
44,--gpus-per-node,--gpus-per-node,slurm,config_param,--gpus-per-node is a configuration parameter used in SLURM to specify the number of GPUs per node.,1,3,2,[],"{
  ""term"": ""--gpus-per-node"",
  ""canonical"": ""--gpus-per-node"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""--gpus-per-node is a configuration parameter used in SLURM to specify the number of GPUs per node."",
  ""aliases"": []
}"
45,--gpus-per-socket,--gpus-per-socket,slurm,config_param,--gpus-per-socket is a configuration parameter used in SLURM to specify the number of GPUs per socket on a node.,1,2,2,[],"{
  ""term"": ""--gpus-per-socket"",
  ""canonical"": ""--gpus-per-socket"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""--gpus-per-socket is a configuration parameter used in SLURM to specify the number of GPUs per socket on a node."",
  ""aliases"": []
}"
46,--gpus-per-task,--gpus-per-task,slurm,config_param,--gpus-per-task is a configuration parameter used in SLURM to specify the number of GPUs allocated to each task.,1,2,2,[],"{
  ""term"": ""--gpus-per-task"",
  ""canonical"": ""--gpus-per-task"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""--gpus-per-task is a configuration parameter used in SLURM to specify the number of GPUs allocated to each task."",
  ""aliases"": []
}"
47,--gres,--gres,slurm,option_flag,"--gres is a command-line option used to specify generic resources (e.g., CPU, memory, GPU) for job steps in Slurm.",1,2,1,[],"{
  ""term"": ""--gres"",
  ""canonical"": ""--gres"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--gres is a command-line option used to specify generic resources (e.g., CPU, memory, GPU) for job steps in Slurm."",
  ""aliases"": []
}"
48,--jobid,--jobid,slurm,option_flag,"--jobid is a command-line option used to specify a job's ID in SLURM, allowing for job steps to run within an existing job allocation or for a batch job to use an existing allocation.",1,1,1,[],"{
  ""term"": ""--jobid"",
  ""canonical"": ""--jobid"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--jobid is a command-line option used to specify a job's ID in SLURM, allowing for job steps to run within an existing job allocation or for a batch job to use an existing allocation."",
  ""aliases"": []
}"
49,--json,--json,slurm,option_flag,"--json is a command-line option used to specify the version of the data_parser for Slurm CLI commands, ensuring compatibility with prior versions.",1,2,1,[],"{
  ""term"": ""--json"",
  ""canonical"": ""--json"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--json is a command-line option used to specify the version of the data_parser for Slurm CLI commands, ensuring compatibility with prior versions."",
  ""aliases"": []
}"
50,--local,--local,slurm,option_flag,--local is a command-line option used with SLURM status commands to override the federated view and display information for a specific cluster or local view.,1,1,1,[],"{
  ""term"": ""--local"",
  ""canonical"": ""--local"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--local is a command-line option used with SLURM status commands to override the federated view and display information for a specific cluster or local view."",
  ""aliases"": []
}"
51,--mail-type,--mail-type,lsf,option_flag,"--mail-type is a command-line option used to configure email notifications for job state changes in IBM LSF, specifically for the heterogeneous job leader.",1,1,1,[],"{
  ""term"": ""--mail-type"",
  ""canonical"": ""--mail-type"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""lsf"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--mail-type is a command-line option used to configure email notifications for job state changes in IBM LSF, specifically for the heterogeneous job leader."",
  ""aliases"": []
}"
52,--mcs-label,--mcs-label,slurm,option_flag,"--mcs-label is a command-line option used to set the MCS label for jobs in SLURM, controlling access to resources based on the label.",1,2,1,[],"{
  ""term"": ""--mcs-label"",
  ""canonical"": ""--mcs-label"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--mcs-label is a command-line option used to set the MCS label for jobs in SLURM, controlling access to resources based on the label."",
  ""aliases"": []
}"
53,--mem,--mem,slurm,option_flag,--mem is a command-line option used to specify the maximum amount of real memory required per node or per allocated CPU in SLURM job submission commands.,1,6,5,[],"{
  ""term"": ""--mem"",
  ""canonical"": ""--mem"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--mem is a command-line option used to specify the maximum amount of real memory required per node or per allocated CPU in SLURM job submission commands."",
  ""aliases"": []
}"
54,--mem-bind,--mem-bind,both,option_flag,--mem-bind is a command-line option used to bind a job's memory to specific nodes or CPUs for improved performance.,1,2,2,[],"{
  ""term"": ""--mem-bind"",
  ""canonical"": ""--mem-bind"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""both"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--mem-bind is a command-line option used to bind a job's memory to specific nodes or CPUs for improved performance."",
  ""aliases"": []
}"
55,--mem-per-cpu,--mem-per-cpu,slurm,config_param,--mem-per-cpu is a configuration parameter used in SLURM to specify the maximum amount of real memory required per CPU for a job.,1,6,6,[],"{
  ""term"": ""--mem-per-cpu"",
  ""canonical"": ""--mem-per-cpu"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""--mem-per-cpu is a configuration parameter used in SLURM to specify the maximum amount of real memory required per CPU for a job."",
  ""aliases"": []
}"
56,--mem-per-gpu,--mem-per-GPU,slurm,config_param,--mem-per-GPU is a configuration parameter used to set the memory allocated for each GPU in a Slurm job.,1,2,2,[],"{
  ""term"": ""--mem-per-GPU"",
  ""canonical"": ""--mem-per-gpu"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""short_definition"": ""--mem-per-GPU is a configuration parameter used to set the memory allocated for each GPU in a Slurm job."",
  ""aliases"": []
}"
57,--mpi,--mpi,slurm,option_flag,"--mpi is a command-line option used to specify the MPI implementation (e.g., Open MPI or Intel MPI) when launching jobs on SLURM.",1,1,1,[],"{
  ""term"": ""--mpi"",
  ""canonical"": ""--mpi"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--mpi is a command-line option used to specify the MPI implementation (e.g., Open MPI or Intel MPI) when launching jobs on SLURM."",
  ""aliases"": []
}"
58,--mpi=list,--mpi=list,slurm,command,"--mpi=list is a command-line option used with srun to list the available MPI plugins in a Slurm cluster, including the HPE Cray PMI plugin.",1,1,1,[],"{
  ""term"": ""--mpi=list"",
  ""canonical"": ""--mpi=list"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""short_definition"": ""--mpi=list is a command-line option used with srun to list the available MPI plugins in a Slurm cluster, including the HPE Cray PMI plugin."",
  ""aliases"": []
}"
59,--net,--net,generic,option_flag,"--net is a command-line option used to configure the network mode for containerized jobs on the cluster, specifically when using Docker.",1,1,1,[],"{
  ""term"": ""--net"",
  ""canonical"": ""--net"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""generic"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--net is a command-line option used to configure the network mode for containerized jobs on the cluster, specifically when using Docker."",
  ""aliases"": []
}"
60,--no-allocate,--no-allocate,slurm,option_flag,"--no-allocate is a command-line option for SLURM's srun command that prevents resource allocation for the job step, assuming resources have already been allocated for the job.",1,1,1,[],"{
  ""term"": ""--no-allocate"",
  ""canonical"": ""--no-allocate"",
  ""is_hpc_domain_term"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""short_definition"": ""--no-allocate is a command-line option for SLURM's srun command that prevents resource allocation for the job step, assuming resources have already been allocated for the job."",
  ""aliases"": []
}"
