term_id,term,canonical,scheduler,ontology_role,category,dul_bucket,is_hpc_domain,definition,aliases_json,raw_json,freq_total
27,sacctmgr,sacctmgr,slurm,individual,command,information_object,1,"sacctmgr is a Slurm command used to manage accounting data, such as job completion information, stored in text files or databases.","[""sacctmgr command""]","{
  ""term"": ""sacctmgr"",
  ""canonical"": ""sacctmgr"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""sacctmgr is a Slurm command used to manage accounting data, such as job completion information, stored in text files or databases."",
  ""aliases"": [""sacctmgr command""]
}",10
30,JobCompLoc,jobcomploc,slurm,datatype_property,config_param,description,1,"JobCompLoc is a Slurm configuration parameter that specifies the location where job completion information is stored, such as a text file or a database.",[],"{
  ""term"": ""JobCompLoc"",
  ""canonical"": ""JobCompLoc"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""JobCompLoc is a Slurm configuration parameter that specifies the location where job completion information is stored, such as a text file or a database."",
  ""aliases"": []
}",2
32,slurmctld,slurmctld,slurm,individual,other_hpc,event,1,"slurmctld is the Slurm Control Daemon that manages job submission, scheduling, and execution.",[],"{
  ""term"": ""slurmctld"",
  ""canonical"": ""slurmctld"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""event"",
  ""definition"": ""slurmctld is the Slurm Control Daemon that manages job submission, scheduling, and execution."",
  ""aliases"": []
}",10
35,Slurm Database Daemon,slurmdbd,slurm,individual,other_hpc,description,1,"SlurmDBD is a daemon that provides an intermediate service for storing accounting information from Slurm, improving security and performance.",[],"{
  ""term"": ""Slurm Database Daemon"",
  ""canonical"": ""SlurmDBD"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""description"",
  ""definition"": ""SlurmDBD is a daemon that provides an intermediate service for storing accounting information from Slurm, improving security and performance."",
  ""aliases"": []
}",2
43,Slurm plugins,slurm plugins,slurm,class,other_hpc,description,1,"Slurm plugins are software components that extend Slurm's functionality, providing services such as authentication and database use.",[],"{
  ""term"": ""Slurm plugins"",
  ""canonical"": ""Slurm Plugins"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""ontology_role"": ""class"",
  ""dul_bucket"": ""description"",
  ""definition"": ""Slurm plugins are software components that extend Slurm's functionality, providing services such as authentication and database use."",
  ""aliases"": []
}",2
44,authentication,authentication,slurm,class,other_hpc,description,1,"Authentication refers to the process of verifying the identity of users, jobs, and resources in a Slurm cluster, using SlurmDBD for secure and fast authentication services.",[],"{
  ""term"": ""authentication"",
  ""canonical"": ""Authentication"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""ontology_role"": ""class"",
  ""dul_bucket"": ""description"",
  ""definition"": ""Authentication refers to the process of verifying the identity of users, jobs, and resources in a Slurm cluster, using SlurmDBD for secure and fast authentication services."",
  ""aliases"": []
}",2
51,sacctmgr add cluster,sacctmgr add cluster,slurm,individual,command,event,1,sacctmgr add cluster is a Slurm command used to add a new cluster to the Slurm Database Daemon (SlurmDBD).,[],"{
  ""term"": ""sacctmgr add cluster"",
  ""canonical"": ""sacctmgr add cluster"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""command"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""event"",
  ""definition"": ""sacctmgr add cluster is a Slurm command used to add a new cluster to the Slurm Database Daemon (SlurmDBD)."",
  ""aliases"": []
}",2
52,snowflake,slurmdbd,slurm,individual,other_hpc,description,1,snowflake (SlurmDBD) is a Slurm component that provides a database service for storing job and accounting information.,[],"{
  ""term"": ""snowflake"",
  ""canonical"": ""SlurmDBD"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""description"",
  ""definition"": ""snowflake (SlurmDBD) is a Slurm component that provides a database service for storing job and accounting information."",
  ""aliases"": []
}",4
63,Accounting,accounting,slurm,class,other_hpc,description,1,"Accounting in the context of Slurm refers to the collection, storage, and management of job and resource usage data.",[],"{
  ""term"": ""Accounting"",
  ""canonical"": ""Accounting"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""ontology_role"": ""class"",
  ""dul_bucket"": ""description"",
  ""definition"": ""Accounting in the context of Slurm refers to the collection, storage, and management of job and resource usage data."",
  ""aliases"": []
}",2
66,SlurmUser,slurmuser,slurm,individual,user_role,information_object,1,SlurmUser refers to a user whose name and ID must be consistent across all clusters for proper authentication and data security when using SlurmDBD.,[],"{
  ""term"": ""SlurmUser"",
  ""canonical"": ""SlurmUser"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""user_role"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""SlurmUser refers to a user whose name and ID must be consistent across all clusters for proper authentication and data security when using SlurmDBD."",
  ""aliases"": []
}",2
68,limits,limits,slurm,datatype_property,config_param,description,1,"In Slurm, limits refer to constraints on user naming and IDs to ensure consistency across multiple clusters for security and authentication purposes.",[],"{
  ""term"": ""limits"",
  ""canonical"": ""limits"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""In Slurm, limits refer to constraints on user naming and IDs to ensure consistency across multiple clusters for security and authentication purposes."",
  ""aliases"": []
}",3
70,MUNGE,munge,slurm,datatype_property,config_param,description,1,MUNGE is an authentication method used for securing communications with the SlurmDBD.,[],"{
  ""term"": ""MUNGE"",
  ""canonical"": ""MUNGE"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""MUNGE is an authentication method used for securing communications with the SlurmDBD."",
  ""aliases"": []
}",4
73,slurmdbd.conf,slurmdbd.conf,slurm,individual,config_file,information_object,1,"slurmdbd.conf is the configuration file for the SlurmDBD, which collects data from multiple clusters in a single location. It contains settings for user naming, authentication, and MUNGE configuration.",[],"{
  ""term"": ""slurmdbd.conf"",
  ""canonical"": ""slurmdbd.conf"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_file"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""slurmdbd.conf is the configuration file for the SlurmDBD, which collects data from multiple clusters in a single location. It contains settings for user naming, authentication, and MUNGE configuration."",
  ""aliases"": []
}",5
75,passwd file,passwd file,slurm,individual,config_file,information_object,1,The passwd file is a configuration file used by SlurmDBD to maintain usernames and IDs consistently across multiple clusters for authentication and accounting purposes.,[],"{
  ""term"": ""passwd file"",
  ""canonical"": ""passwd file"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_file"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""The passwd file is a configuration file used by SlurmDBD to maintain usernames and IDs consistently across multiple clusters for authentication and accounting purposes."",
  ""aliases"": []
}",2
87,slurmdbd,slurmdbd,slurm,individual,config_file,information_object,1,slurmdbd is the Slurm database daemon responsible for managing job accounting data.,[],"{
  ""term"": ""slurmdbd"",
  ""canonical"": ""slurmdbd"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_file"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""slurmdbd is the Slurm database daemon responsible for managing job accounting data."",
  ""aliases"": []
}",4
107,accounting_storage/slurmdbd,accounting_storage/slurmdbd,slurm,datatype_property,config_param,description,1,"accounting_storage/slurmdbd is a Slurm configuration parameter for setting the accounting storage backend to SlurmDBD, which communicates with a MySQL or MariaDB database.",[],"{
  ""term"": ""accounting_storage/slurmdbd"",
  ""canonical"": ""accounting_storage/slurmdbd"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""accounting_storage/slurmdbd is a Slurm configuration parameter for setting the accounting storage backend to SlurmDBD, which communicates with a MySQL or MariaDB database."",
  ""aliases"": []
}",2
108,associations,associations,slurm,class,other_hpc,description,1,"In Slurm, associations are user entities consisting of the cluster, a user, account, and optionally a partition, used for accounting purposes.",[],"{
  ""term"": ""associations"",
  ""canonical"": ""associations"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""ontology_role"": ""class"",
  ""dul_bucket"": ""description"",
  ""definition"": ""In Slurm, associations are user entities consisting of the cluster, a user, account, and optionally a partition, used for accounting purposes."",
  ""aliases"": []
}",4
109,cluster,cluster,slurm,class,other_hpc,object,1,A cluster is a collection of interconnected compute nodes managed by a scheduler like Slurm.,[],"{
  ""term"": ""cluster"",
  ""canonical"": ""Cluster"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""other_hpc"",
  ""ontology_role"": ""class"",
  ""dul_bucket"": ""object"",
  ""definition"": ""A cluster is a collection of interconnected compute nodes managed by a scheduler like Slurm."",
  ""aliases"": []
}",16
110,user,user,slurm,individual,user_role,information_object,1,"In Slurm, a user is an entity associated with a cluster, account, and optionally a partition. This user is used for database communication and job completion plugin connections.",[],"{
  ""term"": ""user"",
  ""canonical"": ""User"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""user_role"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""In Slurm, a user is an entity associated with a cluster, account, and optionally a partition. This user is used for database communication and job completion plugin connections."",
  ""aliases"": []
}",5
111,account,account,slurm,individual,user_role,information_object,1,"An account is a user entity in Slurm that consists of a cluster, user, and optionally a partition.",[],"{
  ""term"": ""account"",
  ""canonical"": ""account"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""user_role"",
  ""ontology_role"": ""individual"",
  ""dul_bucket"": ""information_object"",
  ""definition"": ""An account is a user entity in Slurm that consists of a cluster, user, and optionally a partition."",
  ""aliases"": []
}",4
112,partition,partition,slurm,class,queue_or_partition,object,1,"A partition is a logical grouping of compute nodes that defines scheduling and resource policies, and can be associated with a user, account, and optionally a partition in Slurm.",[],"{
  ""term"": ""partition"",
  ""canonical"": ""Partition"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""queue_or_partition"",
  ""ontology_role"": ""class"",
  ""dul_bucket"": ""object"",
  ""definition"": ""A partition is a logical grouping of compute nodes that defines scheduling and resource policies, and can be associated with a user, account, and optionally a partition in Slurm."",
  ""aliases"": []
}",7
114,MariaDB,mariadb,both,class,resource,object,1,MariaDB is a popular open-source relational database management system used for Slurm Accounting Storage.,[],"{
  ""term"": ""MariaDB"",
  ""canonical"": ""MariaDB"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""both"",
  ""category"": ""resource"",
  ""ontology_role"": ""class"",
  ""dul_bucket"": ""object"",
  ""definition"": ""MariaDB is a popular open-source relational database management system used for Slurm Accounting Storage."",
  ""aliases"": []
}",3
115,InnoDB,innodb,slurm,datatype_property,resource,description,1,InnoDB is the storage engine used by MySQL or MariaDB in Slurm for making rollbacks possible.,[],"{
  ""term"": ""InnoDB"",
  ""canonical"": ""InnoDB"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""resource"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""InnoDB is the storage engine used by MySQL or MariaDB in Slurm for making rollbacks possible."",
  ""aliases"": []
}",4
128,innodb_buffer_pool_size,innodb_buffer_pool_size,slurm,datatype_property,config_param,description,1,innodb_buffer_pool_size is a MySQL configuration parameter that Slurm uses to determine the size of the InnoDB buffer pool. It should be set between 5 and 50 percent of the available memory on the SQL server.,[],"{
  ""term"": ""innodb_buffer_pool_size"",
  ""canonical"": ""innodb_buffer_pool_size"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""innodb_buffer_pool_size is a MySQL configuration parameter that Slurm uses to determine the size of the InnoDB buffer pool. It should be set between 5 and 50 percent of the available memory on the SQL server."",
  ""aliases"": []
}",2
129,available memory,available memory,slurm,datatype_property,resource,description,1,Available memory refers to the amount of memory that can be allocated for Slurm's MySQL installation.,[],"{
  ""term"": ""available memory"",
  ""canonical"": ""available memory"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""resource"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""Available memory refers to the amount of memory that can be allocated for Slurm's MySQL installation."",
  ""aliases"": []
}",2
131,innodb_log_file_size,innodb_log_file_size,slurm,datatype_property,config_param,description,1,innodb_log_file_size is a MySQL configuration parameter that defines the size of the InnoDB redo log files. It is used by Slurm to ensure rollback functionality.,[],"{
  ""term"": ""innodb_log_file_size"",
  ""canonical"": ""innodb_log_file_size"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""innodb_log_file_size is a MySQL configuration parameter that defines the size of the InnoDB redo log files. It is used by Slurm to ensure rollback functionality."",
  ""aliases"": []
}",2
136,innodb_lock_wait_timeout,innodb_lock_wait_timeout,slurm,datatype_property,config_param,description,1,innodb_lock_wait_timeout is a MySQL configuration parameter used by Slurm to set the maximum time a query can wait for a lock before it times out.,[],"{
  ""term"": ""innodb_lock_wait_timeout"",
  ""canonical"": ""innodb_lock_wait_timeout"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""innodb_lock_wait_timeout is a MySQL configuration parameter used by Slurm to set the maximum time a query can wait for a lock before it times out."",
  ""aliases"": []
}",2
137,AccountingStoreFlags,accountingstoreflags,slurm,datatype_property,config_param,description,1,"AccountingStoreFlags is a Slurm configuration parameter that specifies the flags for the AccountingStore, affecting MySQL/MariaDB server settings.",[],"{
  ""term"": ""AccountingStoreFlags"",
  ""canonical"": ""AccountingStoreFlags"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""AccountingStoreFlags is a Slurm configuration parameter that specifies the flags for the AccountingStore, affecting MySQL/MariaDB server settings."",
  ""aliases"": []
}",2
140,max_script_size,max_script_size,slurm,datatype_property,config_param,description,1,max_script_size is a Slurm configuration parameter that sets the maximum size for job scripts when using AccountingStoreFlags=job_script.,[],"{
  ""term"": ""max_script_size"",
  ""canonical"": ""max_script_size"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""max_script_size is a Slurm configuration parameter that sets the maximum size for job scripts when using AccountingStoreFlags=job_script."",
  ""aliases"": []
}",2
149,innodb_default_row_format,innodb_default_row_format,unknown,datatype_property,non_domain,description,0,innodb_default_row_format is a MySQL configuration parameter that defines the default row format for InnoDB tables.,[],"{
  ""term"": ""innodb_default_row_format"",
  ""canonical"": ""innodb_default_row_format"",
  ""is_hpc_domain"": false,
  ""scheduler"": ""unknown"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""innodb_default_row_format is a MySQL configuration parameter that defines the default row format for InnoDB tables."",
  ""aliases"": []
}",2
163,dynamic,dynamic,slurm,datatype_property,config_param,description,1,"In the context of Slurm, 'dynamic' refers to a variable value that can change dynamically, such as innodb_default_row_format.",[],"{
  ""term"": ""dynamic"",
  ""canonical"": ""dynamic"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""In the context of Slurm, 'dynamic' refers to a variable value that can change dynamically, such as innodb_default_row_format."",
  ""aliases"": []
}",2
165,db_name,db_name,slurm,datatype_property,config_param,description,1,db_name is the name of the Slurm database (StorageLoc) set in slurmdbd.conf.,[],"{
  ""term"": ""db_name"",
  ""canonical"": ""db_name"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""db_name is the name of the Slurm database (StorageLoc) set in slurmdbd.conf."",
  ""aliases"": []
}",2
173,AccountingStorageEnforce,accountingstorageenforce,slurm,datatype_property,config_param,description,1,"AccountingStorageEnforce is a Slurm configuration parameter that enforces options for accounting storage, such as preventing users from running jobs if their association is not in the database or enforcing limits set on associations and QoS.",[],"{
  ""term"": ""AccountingStorageEnforce"",
  ""canonical"": ""AccountingStorageEnforce"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""AccountingStorageEnforce is a Slurm configuration parameter that enforces options for accounting storage, such as preventing users from running jobs if their association is not in the database or enforcing limits set on associations and QoS."",
  ""aliases"": []
}",4
176,qos,qos,slurm,datatype_property,config_param,description,1,qos is a Slurm configuration parameter that defines limits for associations and QoS (Quality of Service) in the SlurmDBD.,[],"{
  ""term"": ""qos"",
  ""canonical"": ""QoS"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""qos is a Slurm configuration parameter that defines limits for associations and QoS (Quality of Service) in the SlurmDBD."",
  ""aliases"": []
}",2
177,nojobs,nojobs,slurm,datatype_property,config_param,description,1,nojobs is a Slurm configuration parameter that prevents job information from being stored in accounting.,[],"{
  ""term"": ""nojobs"",
  ""canonical"": ""nojobs"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""nojobs is a Slurm configuration parameter that prevents job information from being stored in accounting."",
  ""aliases"": []
}",2
187,wckeys,wckeys,slurm,datatype_property,config_param,description,1,wckeys is a Slurm configuration parameter that prevents users from running jobs under a wckey they don't have access to.,[],"{
  ""term"": ""wckeys"",
  ""canonical"": ""wckeys"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""wckeys is a Slurm configuration parameter that prevents users from running jobs under a wckey they don't have access to."",
  ""aliases"": []
}",2
188,wckey,wckey,slurm,class,user_role,description,1,wckey is a Slurm user role that restricts job submission to specific workload-charging keys.,[],"{
  ""term"": ""wckey"",
  ""canonical"": ""wckey"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""user_role"",
  ""ontology_role"": ""class"",
  ""dul_bucket"": ""description"",
  ""definition"": ""wckey is a Slurm user role that restricts job submission to specific workload-charging keys."",
  ""aliases"": []
}",2
191,TrackWCKey,trackwckey,slurm,datatype_property,option_flag,description,1,"TrackWCKey is an option flag in Slurm that prevents users from running jobs under a wckey they don't have access to, and automatically sets the 'associations' option.",[],"{
  ""term"": ""TrackWCKey"",
  ""canonical"": ""TrackWCKey"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""option_flag"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""TrackWCKey is an option flag in Slurm that prevents users from running jobs under a wckey they don't have access to, and automatically sets the 'associations' option."",
  ""aliases"": []
}",2
200,port,port,slurm,datatype_property,config_param,description,1,"In Slurm, a port is a communication endpoint used for inter-cluster communication and MUNGE authentication.",[],"{
  ""term"": ""port"",
  ""canonical"": ""port"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""In Slurm, a port is a communication endpoint used for inter-cluster communication and MUNGE authentication."",
  ""aliases"": []
}",3
201,AccountingStoragePort,accountingstorageport,slurm,datatype_property,config_param,description,1,AccountingStoragePort is a configuration parameter specifying the port used for communication between clusters registered with the external slurmdbd.,[],"{
  ""term"": ""AccountingStoragePort"",
  ""canonical"": ""AccountingStoragePort"",
  ""is_hpc_domain"": true,
  ""scheduler"": ""slurm"",
  ""category"": ""config_param"",
  ""ontology_role"": ""datatype_property"",
  ""dul_bucket"": ""description"",
  ""definition"": ""AccountingStoragePort is a configuration parameter specifying the port used for communication between clusters registered with the external slurmdbd."",
  ""aliases"": []
}",3
