term_id,term,doc_id,chunk_id,freq_total
66,SlurmUser,doc_4387,doc_4387_chunk_0004,2
67,administrators,doc_4387,doc_4387_chunk_0004,1
68,limits,doc_4387,doc_4387_chunk_0004,3
70,MUNGE,doc_4387,doc_4387_chunk_0004,4
71,Slurm managed clusters,doc_4387,doc_4387_chunk_0004,1
72,local domain socket,doc_4387,doc_4387_chunk_0004,1
73,slurmdbd.conf,doc_4387,doc_4387_chunk_0004,5
75,passwd file,doc_4387,doc_4387_chunk_0004,2
76,authentication module,doc_4387,doc_4387_chunk_0004,1
80,accounting tools,doc_4387,doc_4387_chunk_0005,1
81,LDAP server,doc_4387,doc_4387_chunk_0005,1
82,Storage Backup Host,doc_4387,doc_4387_chunk_0005,1
83,AccountingStorageBackupHost,doc_4387,doc_4387_chunk_0005,1
85,DbdBackupHost,doc_4387,doc_4387_chunk_0005,1
87,slurmdbd,doc_4387,doc_4387_chunk_0005,4
88,primary instance,doc_4387,doc_4387_chunk_0005,1
89,backup host,doc_4387,doc_4387_chunk_0005,1
90,same database,doc_4387,doc_4387_chunk_0005,1
91,same munge key(s),doc_4387,doc_4387_chunk_0005,1
92,same users,doc_4387,doc_4387_chunk_0005,1
93,UID/GIDs,doc_4387,doc_4387_chunk_0005,1
94,network page,doc_4387,doc_4387_chunk_0005,1
95,Slurm JobComp Configuration,doc_4387,doc_4387_chunk_0005,1
96,JobCompHost,doc_4387,doc_4387_chunk_0005,1
98,JobCompPass,doc_4387,doc_4387_chunk_0005,1
99,JobCompPort,doc_4387,doc_4387_chunk_0006,1
102,jobcomp/mysql,doc_4387,doc_4387_chunk_0006,1
103,jobcomp/filetxt,doc_4387,doc_4387_chunk_0006,1
104,JobCompUser,doc_4387,doc_4387_chunk_0006,1
105,JobCompParams,doc_4387,doc_4387_chunk_0006,1
107,accounting_storage/slurmdbd,doc_4387,doc_4387_chunk_0006,2
108,associations,doc_4387,doc_4387_chunk_0006,4
109,cluster,doc_4387,doc_4387_chunk_0006,16
110,user,doc_4387,doc_4387_chunk_0006,5
111,account,doc_4387,doc_4387_chunk_0006,4
112,partition,doc_4387,doc_4387_chunk_0006,7
114,MariaDB,doc_4387,doc_4387_chunk_0006,3
115,InnoDB,doc_4387,doc_4387_chunk_0006,4
117,Upgrade Guide,doc_4387,doc_4387_chunk_0006,1
118,development package,doc_4387,doc_4387_chunk_0006,1
123,MySQL installation,doc_4387,doc_4387_chunk_0007,1
124,rollback,doc_4387,doc_4387_chunk_0007,1
125,slurm_configure,doc_4387,doc_4387_chunk_0007,1
126,mysql_config,doc_4387,doc_4387_chunk_0007,1
127,--with-mysql_conf,doc_4387,doc_4387_chunk_0007,1
128,innodb_buffer_pool_size,doc_4387,doc_4387_chunk_0007,2
129,available memory,doc_4387,doc_4387_chunk_0007,2
130,SQL server,doc_4387,doc_4387_chunk_0007,1
131,innodb_log_file_size,doc_4387,doc_4387_chunk_0007,2
132,innodb_log_files_in_group,doc_4387,doc_4387_chunk_0007,1
133,unnecessary small writes,doc_4387,doc_4387_chunk_0007,1
134,innodb_redo_log_capacity,doc_4387,doc_4387_chunk_0007,1
135,MySQL 8.0.30+,doc_4387,doc_4387_chunk_0007,1
136,innodb_lock_wait_timeout,doc_4387,doc_4387_chunk_0007,2
137,AccountingStoreFlags,doc_4387,doc_4387_chunk_0007,2
138,job_env,doc_4387,doc_4387_chunk_0007,1
139,job_script,doc_4387,doc_4387_chunk_0007,1
140,max_script_size,doc_4387,doc_4387_chunk_0007,2
144,mysql,doc_4387,doc_4387_chunk_0008,1
147,max_allowed_packet,doc_4387,doc_4387_chunk_0008,1
148,mysqld,doc_4387,doc_4387_chunk_0008,1
149,innodb_default_row_format,doc_4387,doc_4387_chunk_0008,2
150,COMPACT,doc_4387,doc_4387_chunk_0008,1
151,DYNAMIC,doc_4387,doc_4387_chunk_0008,1
152,row format,doc_4387,doc_4387_chunk_0008,1
153,table,doc_4387,doc_4387_chunk_0008,1
155,InnoDB error,doc_4387,doc_4387_chunk_0008,1
156,upgrade,doc_4387,doc_4387_chunk_0008,1
157,alter,doc_4387,doc_4387_chunk_0008,1
158,record,doc_4387,doc_4387_chunk_0008,1
159,index leaf page,doc_4387,doc_4387_chunk_0008,1
163,dynamic,doc_4387,doc_4387_chunk_0009,2
164,SHOW TABLE STATUS,doc_4387,doc_4387_chunk_0009,1
165,db_name,doc_4387,doc_4387_chunk_0009,2
166,collation,doc_4387,doc_4387_chunk_0009,1
167,case-insensitive,doc_4387,doc_4387_chunk_0009,1
168,case-sensitive,doc_4387,doc_4387_chunk_0009,1
169,information_schema,doc_4387,doc_4387_chunk_0009,1
170,schemata,doc_4387,doc_4387_chunk_0009,1
171,SELECT,doc_4387,doc_4387_chunk_0009,1
172,default_collation_name,doc_4387,doc_4387_chunk_0009,1
173,AccountingStorageEnforce,doc_4387,doc_4387_chunk_0009,4
176,qos,doc_4387,doc_4387_chunk_0009,2
177,nojobs,doc_4387,doc_4387_chunk_0009,2
178,AccountingStorage,doc_4387,doc_4387_chunk_0009,1
180,Quality of Service,doc_4387,doc_4387_chunk_0010,1
182,nosteps,doc_4387,doc_4387_chunk_0010,1
184,TRES-minutes,doc_4387,doc_4387_chunk_0010,1
185,safe,doc_4387,doc_4387_chunk_0010,1
187,wckeys,doc_4387,doc_4387_chunk_0010,2
188,wckey,doc_4387,doc_4387_chunk_0010,2
191,TrackWCKey,doc_4387,doc_4387_chunk_0011,2
198,AccountingStorageExternalHost,doc_4387,doc_4387_chunk_0011,1
199,host/ip,doc_4387,doc_4387_chunk_0011,1
200,port,doc_4387,doc_4387_chunk_0011,3
201,AccountingStoragePort,doc_4387,doc_4387_chunk_0011,3
202,AccountingStorageHost,doc_4387,doc_4387_chunk_0011,1
203,AccountingStoragePass,doc_4387,doc_4387_chunk_0011,1
205,MUNGE authentication,doc_4387,doc_4387_chunk_0011,1
206,munge daemon,doc_4387,doc_4387_chunk_0011,1
207,communications,doc_4387,doc_4387_chunk_0011,1
208,alternate MUNGE daemon,doc_4387,doc_4387_chunk_0011,1
213,ClusterName,doc_4387,doc_4387_chunk_0012,1
216,Workload Characterization Key,doc_4387,doc_4387_chunk_0012,1
218,slurmdbd.conf(5),doc_4387,doc_4387_chunk_0012,1
219,AuthInfo,doc_4387,doc_4387_chunk_0012,2
221,named socket,doc_4387,doc_4387_chunk_0012,1
222,SlurmDBD Configuration,doc_4387,doc_4387_chunk_0012,1
223,configuration parameters,doc_4387,doc_4387_chunk_0012,1
226,AuthType,doc_4387,doc_4387_chunk_0013,1
228,SlurmDatabaseDaemon,doc_4387,doc_4387_chunk_0013,1
229,slurmdbd_port,doc_4387,doc_4387_chunk_0013,1
232,LogFile,doc_4387,doc_4387_chunk_0013,1
233,syslog,doc_4387,doc_4387_chunk_0013,1
235,Slurm plugin paths,doc_4387,doc_4387_chunk_0013,1
236,Slurm plugin directories,doc_4387,doc_4387_chunk_0013,1
237,default value,doc_4387,doc_4387_chunk_0013,2
238,configure time,doc_4387,doc_4387_chunk_0013,2
239,prefix,doc_4387,doc_4387_chunk_0013,1
243,slurmDatabase,doc_4387,doc_4387_chunk_0014,1
244,StorageHost,doc_4387,doc_4387_chunk_0014,2
245,StorageLoc,doc_4387,doc_4387_chunk_0014,2
246,StoragePass,doc_4387,doc_4387_chunk_0014,1
247,StoragePort,doc_4387,doc_4387_chunk_0014,1
248,accounting storage mechanism,doc_4387,doc_4387_chunk_0014,1
249,slurm_acct_db,doc_4387,doc_4387_chunk_0014,3
252,UID,doc_4387,doc_4387_chunk_0014,1
253,root,doc_4387,doc_4387_chunk_0014,6
254,AdminLevel,doc_4387,doc_4387_chunk_0014,3
255,Admin,doc_4387,doc_4387_chunk_0014,2
256,accounting_storage,doc_4387,doc_4387_chunk_0015,1
260,StorageUser,doc_4387,doc_4387_chunk_0015,1
262,GRANT,doc_4387,doc_4387_chunk_0015,1
265,privileges,doc_4387,doc_4387_chunk_0015,1
266,mysql user,doc_4387,doc_4387_chunk_0015,1
267,Slurm database tables,doc_4387,doc_4387_chunk_0015,1
268,mysql command,doc_4387,doc_4387_chunk_0015,1
270,password usage,doc_4387,doc_4387_chunk_0015,1
271,continuation prompt,doc_4387,doc_4387_chunk_0015,1
272,future databases,doc_4387,doc_4387_chunk_0015,1
277,password,doc_4387,doc_4387_chunk_0016,1
278,localhost,doc_4387,doc_4387_chunk_0016,3
279,system0,doc_4387,doc_4387_chunk_0016,2
280,grant,doc_4387,doc_4387_chunk_0016,2
282,storage host,doc_4387,doc_4387_chunk_0016,1
285,slurm,doc_4387,doc_4387_chunk_0017,2
287,some_pass,doc_4387,doc_4387_chunk_0017,1
289,database storage host,doc_4387,doc_4387_chunk_0017,1
291,SHOW ENGINES,doc_4387,doc_4387_chunk_0017,1
292,create database,doc_4387,doc_4387_chunk_0017,1
293,"slurm_acct_db.*,",doc_4387,doc_4387_chunk_0017,1
295,/usr/sbin/slurmdbd,doc_4387,doc_4387_chunk_0017,1
296,/etc/init.d/slurmdbd,doc_4387,doc_4387_chunk_0017,1
297,slurmdbd start,doc_4387,doc_4387_chunk_0017,1
298,ps aux,doc_4387,doc_4387_chunk_0017,1
299,grep slurmdbd,doc_4387,doc_4387_chunk_0017,1
301,SlurmDBD Archive,doc_4387,doc_4387_chunk_0018,1
302,Purge,doc_4387,doc_4387_chunk_0018,1
303,Archive,doc_4387,doc_4387_chunk_0018,1
306,ArchiveServer,doc_4387,doc_4387_chunk_0018,1
307,MySQL/MariaDB,doc_4387,doc_4387_chunk_0018,1
309,Archive instance,doc_4387,doc_4387_chunk_0018,1
310,database entries,doc_4387,doc_4387_chunk_0018,1
311,production server,doc_4387,doc_4387_chunk_0018,1
312,Association,doc_4387,doc_4387_chunk_0019,2
313,QOS,doc_4387,doc_4387_chunk_0019,1
314,TRES,doc_4387,doc_4387_chunk_0019,2
315,mysqldump,doc_4387,doc_4387_chunk_0019,1
316,slurm_user,doc_4387,doc_4387_chunk_0019,1
319,slurm.sql,doc_4387,doc_4387_chunk_0019,1
324,clusters,doc_4387,doc_4387_chunk_0019,1
325,accounts,doc_4387,doc_4387_chunk_0019,2
326,user associations,doc_4387,doc_4387_chunk_0019,2
327,QOSs,doc_4387,doc_4387_chunk_0019,1
328,man pages,doc_4387,doc_4387_chunk_0019,1
329,time period,doc_4387,doc_4387_chunk_0019,1
330,report generation,doc_4387,doc_4387_chunk_0019,1
331,additional control,doc_4387,doc_4387_chunk_0019,1
333,Grafana,doc_4387,doc_4387_chunk_0020,1
334,Prometheus,doc_4387,doc_4387_chunk_0020,1
335,InfluxDB,doc_4387,doc_4387_chunk_0020,3
342,user names,doc_4387,doc_4387_chunk_0020,1
343,partition name,doc_4387,doc_4387_chunk_0020,1
346,sacctmgr add account,doc_4387,doc_4387_chunk_0020,1
347,Description,doc_4387,doc_4387_chunk_0020,2
348,Organization,doc_4387,doc_4387_chunk_0020,2
349,hierarchical fashion,doc_4387,doc_4387_chunk_0020,1
350,chemistry,doc_4387,doc_4387_chunk_0020,2
351,physics,doc_4387,doc_4387_chunk_0020,3
352,science,doc_4387,doc_4387_chunk_0020,2
354,add account,doc_4387,doc_4387_chunk_0021,1
355,parent,doc_4387,doc_4387_chunk_0021,2
364,brian,doc_4387,doc_4387_chunk_0021,2
365,DefaultAccount,doc_4387,doc_4387_chunk_0021,2
368,Account,doc_4387,doc_4387_chunk_0021,2
369,AccountOptions,doc_4387,doc_4387_chunk_0021,1
370,ClusterOptions,doc_4387,doc_4387_chunk_0021,1
375,Operator,doc_4387,doc_4387_chunk_0022,1
378,PrivateData,doc_4387,doc_4387_chunk_0022,1
379,Reservations,doc_4387,doc_4387_chunk_0022,1
381,Cluster,doc_4387,doc_4387_chunk_0022,1
383,DefaultWCKey,doc_4387,doc_4387_chunk_0022,1
384,NewName,doc_4387,doc_4387_chunk_0022,1
385,Partition,doc_4387,doc_4387_chunk_0022,2
386,Resource Limits,doc_4387,doc_4387_chunk_0022,1
389,modify,doc_4387,doc_4387_chunk_0022,2
390,entity,doc_4387,doc_4387_chunk_0022,2
391,options,doc_4387,doc_4387_chunk_0022,3
396,default,doc_4387,doc_4387_chunk_0023,1
397,set,doc_4387,doc_4387_chunk_0023,1
398,Slurm daemons,doc_4387,doc_4387_chunk_0023,1
399,remove,doc_4387,doc_4387_chunk_0023,1
400,entities,doc_4387,doc_4387_chunk_0023,1
405,slurm database,doc_4387,doc_4387_chunk_0023,1
406,deleted,doc_4387,doc_4387_chunk_0023,1
407,typoographical errors,doc_4387,doc_4387_chunk_0023,1
411,usage data,doc_4387,doc_4387_chunk_0023,1
412,task level,doc_4387,doc_4387_chunk_0023,1
413,parallel computing,doc_4387,doc_4387_chunk_0023,1
414,Slurm accounting,doc_4387,doc_4387_chunk_0023,1
415,task,doc_4387,doc_4387_chunk_0024,4
416,user processes,doc_4387,doc_4387_chunk_0024,2
417,step,doc_4387,doc_4387_chunk_0024,1
418,job,doc_4387,doc_4387_chunk_0024,6
419,srun,doc_4387,doc_4387_chunk_0024,12
420,JobAcctGather,doc_4387,doc_4387_chunk_0024,1
421,Trackable Resources,doc_4387,doc_4387_chunk_0024,1
423,cpu,doc_4387,doc_4387_chunk_0024,1
424,memory,doc_4387,doc_4387_chunk_0024,1
425,energy,doc_4387,doc_4387_chunk_0024,1
426,JobAcctGatherFrequency,doc_4387,doc_4387_chunk_0024,1
428,--acct-freq,doc_4387,doc_4387_chunk_0024,1
429,TresUsageInTot,doc_4387,doc_4387_chunk_0024,2
430,TresUsageInMax,doc_4387,doc_4387_chunk_0024,2
432,TresUsageInMaxNode,doc_4387,doc_4387_chunk_0024,1
433,TresUsageInMaxTask,doc_4387,doc_4387_chunk_0024,1
434,MaxRSS,doc_4387,doc_4387_chunk_0024,2
435,MaxRSSNode,doc_4387,doc_4387_chunk_0024,1
436,MaxRSSTask,doc_4387,doc_4387_chunk_0024,1
437,energy consumption,doc_4387,doc_4387_chunk_0024,1
438,node,doc_4387,doc_4387_chunk_0024,6
439,TresUsage*,doc_4387,doc_4387_chunk_0025,1
442,TresUsageInAve,doc_4387,doc_4387_chunk_0025,1
445,single task processes,doc_4387,doc_4387_chunk_0025,1
446,profiling,doc_4387,doc_4387_chunk_0025,1
447,HDF5,doc_4387,doc_4387_chunk_0025,2
449,accounting data,doc_4387,doc_4387_chunk_0025,2
450,visualize accounting data,doc_4387,doc_4387_chunk_0025,1
451,Profiling,doc_4387,doc_4387_chunk_0026,1
455,visualize,doc_4387,doc_4387_chunk_0026,1
456,plugins,doc_4387,doc_4387_chunk_0026,1
457,IBM Spectrum LSF,doc_7ceb,doc_7ceb_chunk_0001,8
458,administrator,doc_7ceb,doc_7ceb_chunk_0001,2
459,workload,doc_7ceb,doc_7ceb_chunk_0001,1
460,cluster operations,doc_7ceb,doc_7ceb_chunk_0001,1
461,LSF cluster overview,doc_7ceb,doc_7ceb_chunk_0001,1
462,LSF directories,doc_7ceb,doc_7ceb_chunk_0001,1
463,configuration files,doc_7ceb,doc_7ceb_chunk_0001,9
464,LSF daemons,doc_7ceb,doc_7ceb_chunk_0001,7
465,cluster properties,doc_7ceb,doc_7ceb_chunk_0001,1
466,LSF status,doc_7ceb,doc_7ceb_chunk_0001,1
467,LSF jobs,doc_7ceb,doc_7ceb_chunk_0001,1
468,troubleshooting,doc_7ceb,doc_7ceb_chunk_0001,2
469,LSF error messages,doc_7ceb,doc_7ceb_chunk_0001,1
470,IBM Support,doc_7ceb,doc_7ceb_chunk_0001,3
471,cluster characteristics,doc_7ceb,doc_7ceb_chunk_0001,2
472,cluster name,doc_7ceb,doc_7ceb_chunk_0001,4
473,cluster administrators,doc_7ceb,doc_7ceb_chunk_0001,2
474,hosts definition,doc_7ceb,doc_7ceb_chunk_0001,1
475,file systems,doc_7ceb,doc_7ceb_chunk_0001,2
476,directories,doc_7ceb,doc_7ceb_chunk_0001,2
477,files,doc_7ceb,doc_7ceb_chunk_0001,3
478,LSF configuration files,doc_7ceb,doc_7ceb_chunk_0001,1
479,job states,doc_7ceb,doc_7ceb_chunk_0001,2
482,PEND,doc_7ceb,doc_7ceb_chunk_0002,3
483,RUN,doc_7ceb,doc_7ceb_chunk_0002,3
484,EXIT,doc_7ceb,doc_7ceb_chunk_0002,1
485,PSUSP,doc_7ceb,doc_7ceb_chunk_0002,1
486,USUSP,doc_7ceb,doc_7ceb_chunk_0002,3
487,SSUSP,doc_7ceb,doc_7ceb_chunk_0002,2
488,POST_DONE,doc_7ceb,doc_7ceb_chunk_0002,1
489,POST_ERR,doc_7ceb,doc_7ceb_chunk_0002,1
490,UNKWN,doc_7ceb,doc_7ceb_chunk_0002,1
491,mbatchd,doc_7ceb,doc_7ceb_chunk_0002,9
492,sbatchd,doc_7ceb,doc_7ceb_chunk_0002,6
493,chunk job queue,doc_7ceb,doc_7ceb_chunk_0002,1
494,ZOMBI,doc_7ceb,doc_7ceb_chunk_0002,1
495,re-runnable job,doc_7ceb,doc_7ceb_chunk_0002,2
496,unkreachable,doc_7ceb,doc_7ceb_chunk_0002,1
497,kill signal,doc_7ceb,doc_7ceb_chunk_0002,1
498,ZOMBI state,doc_7ceb,doc_7ceb_chunk_0003,1
499,UNKWN status,doc_7ceb,doc_7ceb_chunk_0003,1
500,bkill,doc_7ceb,doc_7ceb_chunk_0003,3
501,requeued job,doc_7ceb,doc_7ceb_chunk_0003,1
502,execution host,doc_7ceb,doc_7ceb_chunk_0003,2
503,mbatchd daemon,doc_7ceb,doc_7ceb_chunk_0003,5
504,REMOVE_HUNG_JOBS_FOR,doc_7ceb,doc_7ceb_chunk_0003,1
505,lsb.params,doc_7ceb,doc_7ceb_chunk_0003,1
506,bkill -r,doc_7ceb,doc_7ceb_chunk_0003,1
507,sbatchd daemon,doc_7ceb,doc_7ceb_chunk_0003,2
508,LSF host,doc_7ceb,doc_7ceb_chunk_0003,1
509,individual computer,doc_7ceb,doc_7ceb_chunk_0003,1
511,processor,doc_7ceb,doc_7ceb_chunk_0003,1
512,parallel jobs,doc_7ceb,doc_7ceb_chunk_0003,1
513,multiprocessor host,doc_7ceb,doc_7ceb_chunk_0003,1
514,process queue,doc_7ceb,doc_7ceb_chunk_0003,1
515,unique host names,doc_7ceb,doc_7ceb_chunk_0003,1
517,queue name,doc_7ceb,doc_7ceb_chunk_0003,1
518,LSF job,doc_7ceb,doc_7ceb_chunk_0003,1
519,unit of work,doc_7ceb,doc_7ceb_chunk_0003,1
520,LSF,doc_7ceb,doc_7ceb_chunk_0004,28
522,bsub,doc_7ceb,doc_7ceb_chunk_0004,10
523,bash,doc_7ceb,doc_7ceb_chunk_0004,2
524,Bourne shell script,doc_7ceb,doc_7ceb_chunk_0004,1
525,Windows,doc_7ceb,doc_7ceb_chunk_0004,2
526,batch file,doc_7ceb,doc_7ceb_chunk_0004,1
527,interactive batch job,doc_7ceb,doc_7ceb_chunk_0004,1
528,terminal,doc_7ceb,doc_7ceb_chunk_0004,1
529,job submission command,doc_7ceb,doc_7ceb_chunk_0004,1
530,scheduling policies,doc_7ceb,doc_7ceb_chunk_0004,2
531,fault tolerance,doc_7ceb,doc_7ceb_chunk_0004,2
532,job file,doc_7ceb,doc_7ceb_chunk_0004,1
533,queue,doc_7ceb,doc_7ceb_chunk_0004,7
534,UNIX,doc_7ceb,doc_7ceb_chunk_0004,7
535,complex problems,doc_7ceb,doc_7ceb_chunk_0004,1
536,simulation scenarios,doc_7ceb,doc_7ceb_chunk_0004,1
537,extensive calculations,doc_7ceb,doc_7ceb_chunk_0004,1
538,compute power,doc_7ceb,doc_7ceb_chunk_0004,1
539,interactive job,doc_7ceb,doc_7ceb_chunk_0005,1
542,batch queue,doc_7ceb,doc_7ceb_chunk_0005,1
543,interactive task,doc_7ceb,doc_7ceb_chunk_0005,1
544,command,doc_7ceb,doc_7ceb_chunk_0005,1
545,single process,doc_7ceb,doc_7ceb_chunk_0005,1
546,group of cooperating processes,doc_7ceb,doc_7ceb_chunk_0005,1
547,local task,doc_7ceb,doc_7ceb_chunk_0005,1
548,application,doc_7ceb,doc_7ceb_chunk_0005,2
550,remote task,doc_7ceb,doc_7ceb_chunk_0005,1
551,host types,doc_7ceb,doc_7ceb_chunk_0005,2
552,host models,doc_7ceb,doc_7ceb_chunk_0005,1
553,Opteron240,doc_7ceb,doc_7ceb_chunk_0005,1
554,Opteron840,doc_7ceb,doc_7ceb_chunk_0005,1
555,Intel_EM64T,doc_7ceb,doc_7ceb_chunk_0005,2
556,host type,doc_7ceb,doc_7ceb_chunk_0005,5
557,operating system,doc_7ceb,doc_7ceb_chunk_0005,2
558,host CPU architecture,doc_7ceb,doc_7ceb_chunk_0005,1
561,computer architecture,doc_7ceb,doc_7ceb_chunk_0006,1
563,binary-compatible,doc_7ceb,doc_7ceb_chunk_0006,1
564,LSF binary files,doc_7ceb,doc_7ceb_chunk_0006,1
565,Host model,doc_7ceb,doc_7ceb_chunk_0006,1
566,CPU speed scaling factor,doc_7ceb,doc_7ceb_chunk_0006,1
567,load and placement calculations,doc_7ceb,doc_7ceb_chunk_0006,1
568,CPU factor,doc_7ceb,doc_7ceb_chunk_0006,1
569,resources,doc_7ceb,doc_7ceb_chunk_0006,1
570,LSF system resources,doc_7ceb,doc_7ceb_chunk_0006,1
571,job requirements,doc_7ceb,doc_7ceb_chunk_0006,1
572,resource availability,doc_7ceb,doc_7ceb_chunk_0006,1
573,job scheduling,doc_7ceb,doc_7ceb_chunk_0006,1
574,Total CPU time,doc_7ceb,doc_7ceb_chunk_0006,1
575,resident memory usage,doc_7ceb,doc_7ceb_chunk_0006,1
576,virtual memory usage,doc_7ceb,doc_7ceb_chunk_0006,1
577,process group ID,doc_7ceb,doc_7ceb_chunk_0006,1
578,active processes,doc_7ceb,doc_7ceb_chunk_0006,1
580,Linux,doc_7ceb,doc_7ceb_chunk_0006,4
581,PIM,doc_7ceb,doc_7ceb_chunk_0006,2
582,load indices,doc_7ceb,doc_7ceb_chunk_0006,1
583,load thresholds,doc_7ceb,doc_7ceb_chunk_0006,2
584,fair share scheduling,doc_7ceb,doc_7ceb_chunk_0006,1
586,Load indices,doc_7ceb,doc_7ceb_chunk_0007,1
587,fixed time intervals,doc_7ceb,doc_7ceb_chunk_0007,1
588,External Load Information Manager (ELIM),doc_7ceb,doc_7ceb_chunk_0007,1
589,LIM,doc_7ceb,doc_7ceb_chunk_0007,9
591,non-shared resources,doc_7ceb,doc_7ceb_chunk_0007,1
592,hosts,doc_7ceb,doc_7ceb_chunk_0007,4
594,static resources,doc_7ceb,doc_7ceb_chunk_0007,1
595,built-in resources,doc_7ceb,doc_7ceb_chunk_0007,1
596,maximum RAM,doc_7ceb,doc_7ceb_chunk_0007,1
598,number of processors,doc_7ceb,doc_7ceb_chunk_0007,1
599,binary architecture,doc_7ceb,doc_7ceb_chunk_0007,1
600,relative CPU speed,doc_7ceb,doc_7ceb_chunk_0007,1
601,system configuration,doc_7ceb,doc_7ceb_chunk_0007,1
603,loadSched,doc_7ceb,doc_7ceb_chunk_0007,1
604,load condition,doc_7ceb,doc_7ceb_chunk_0007,1
605,pending jobs,doc_7ceb,doc_7ceb_chunk_0007,3
606,suspended jobs,doc_7ceb,doc_7ceb_chunk_0007,1
607,loadStop,doc_7ceb,doc_7ceb_chunk_0007,2
609,thresholds,doc_7ceb,doc_7ceb_chunk_0008,1
610,host,doc_7ceb,doc_7ceb_chunk_0008,7
612,load index,doc_7ceb,doc_7ceb_chunk_0008,2
613,greater than,doc_7ceb,doc_7ceb_chunk_0008,1
614,runtime resource usage limits,doc_7ceb,doc_7ceb_chunk_0008,1
615,hard limits,doc_7ceb,doc_7ceb_chunk_0008,1
616,soft limits,doc_7ceb,doc_7ceb_chunk_0008,1
617,resource allocation limits,doc_7ceb,doc_7ceb_chunk_0008,1
618,resource classes,doc_7ceb,doc_7ceb_chunk_0008,1
619,resource consumers,doc_7ceb,doc_7ceb_chunk_0008,1
620,resource release,doc_7ceb,doc_7ceb_chunk_0008,1
622,bsub -R,doc_7ceb,doc_7ceb_chunk_0008,1
623,resource requirements,doc_7ceb,doc_7ceb_chunk_0008,1
624,candidate hosts,doc_7ceb,doc_7ceb_chunk_0008,2
625,host matching,doc_7ceb,doc_7ceb_chunk_0008,1
626,scheduling conditions,doc_7ceb,doc_7ceb_chunk_0008,2
631,load index values,doc_7ceb,doc_7ceb_chunk_0009,1
632,scheduling thresholds,doc_7ceb,doc_7ceb_chunk_0009,1
636,lsfinstall,doc_7ceb,doc_7ceb_chunk_0009,6
