sentence_id,doc_id,sent_idx,sentence,start_char,end_char,length,cleaned_version,created_at
doc_2ca9_sent_00011,doc_2ca9,11,"Get ﬁxes from IBM Fix Central
After you install or upgrade LSF, use IBM Fix Central to ﬁnd and download the ﬁxes supported for LSF products.",1838,1978,140,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00012,doc_2ca9,12,"From IBM Fix Central, you can
search, select, order, and download ﬁxes for your system with a choice of delivery options.",1979,2100,121,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00013,doc_2ca9,13,"For the steps, see Getting ﬁxes from IBM Fix
Central.",2101,2155,53,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00014,doc_2ca9,14,"Get started
After you install and conﬁgure IBM Spectrum LSF, start to use it by referring to the administration topics.",2158,2278,119,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00015,doc_2ca9,15,"What to do next
More information
For more information about LSF, see these resources:
IBM Documentation
The IBM Spectrum LSF product wiki on IBM Community
IBM Redbooks®
Access technical support information for all IBM products from the IBM Support Portal.",2278,2534,255,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00016,doc_2ca9,16,"IBM Spectrum LSF release notes
Learn what's new for IBM Spectrum LSF and IBM Spectrum LSF License Scheduler.",2534,2643,108,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00017,doc_2ca9,17,"Release notes for IBM Spectrum LSF Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF Version 10.1. Learn about product updates, compatibility issues, limitations,
known problems, and bugs ﬁxed in the current release. Find LSF product documentation and other information about IBM Spectrum
Computing products.",2643,2977,333,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00018,doc_2ca9,18,"Release notes for IBM Spectrum LSF License Scheduler Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF License Scheduler Version 10.1. Learn about the detailed changes, known
issues and limitations in the current release.",2977,3224,246,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00019,doc_2ca9,19,"Release notes for IBM Spectrum LSF Session Scheduler Version 10.1
 Read this document to ﬁnd out what's new in IBM Spectrum LSF Session Scheduler Version 10.1.",3224,3384,159,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00020,doc_2ca9,20,"Release notes for IBM Spectrum LSF Version 10.1
Read this document to ﬁnd out what's new in IBM Spectrum LSF Version 10.1. Learn about product updates, compatibility issues, limitations, known
problems, and bugs ﬁxed in the current release. Find LSF product documentation and other information about IBM Spectrum Computing products.",3384,3717,332,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00021,doc_2ca9,21,"What's new in IBM Spectrum LSF
 Review the new and changed behavior for each version of LSF.",3717,3810,92,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00022,doc_2ca9,22,"System requirements and compatibility
 The following sections describe the system requirements and compatibility information for version 10.1 of IBM Spectrum LSF.",3810,3973,162,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00023,doc_2ca9,23,"IBM Spectrum LSF product packages
 The IBM Spectrum LSF product consists of distribution packages for supported operating systems, installation packages, and entitlement
ﬁles.",3973,4149,175,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00024,doc_2ca9,24,"Getting ﬁxes from IBM Fix Central
 After you install or upgrade LSF, use IBM Fix Central to ﬁnd and download the ﬁxes that are recommended by IBM Support for LSF products.",4149,4321,171,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00025,doc_2ca9,25,"From Fix Central, you can search, select, order, and download ﬁx packs and interim ﬁxes for your system with a choice of delivery options.",4321,4460,138,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00026,doc_2ca9,26,"Bugs ﬁxed
 LSF 10.1 releases and Fix Packs contain bugs that were ﬁxed since the general availability of LSF.",4460,4570,109,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00027,doc_2ca9,27,"Known issues for LSF
 LSF 10.1 has the following known issues.
Limitations for LSF
 LSF 10.1 has the following limitations.",4570,4694,123,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00028,doc_2ca9,28,"Detailed changes
 The following topics describe new and changed commands, options, output, conﬁguration parameters, environment variables, accounting,
and job event ﬁelds in LSF 10.1.",4694,4878,183,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00029,doc_2ca9,29,"What's new in IBM Spectrum LSF
Review the new and changed behavior for each version of LSF.",4878,4970,91,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00030,doc_2ca9,30,What's new in IBM Spectrum LSF Version 10.1,4970,5013,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00031,doc_2ca9,31,"Fix Pack 15
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 15.",5014,5112,97,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00032,doc_2ca9,32,What's new in IBM Spectrum LSF Version 10.1,5112,5155,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00033,doc_2ca9,33,"Fix Pack 14
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 14.",5156,5254,97,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00034,doc_2ca9,34,What's new in IBM Spectrum LSF Version 10.1,5254,5297,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00035,doc_2ca9,35,"Fix Pack 13
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 13.",5298,5396,97,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00036,doc_2ca9,36,What's new in IBM Spectrum LSF Version 10.1,5396,5439,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00037,doc_2ca9,37,"Fix Pack 12
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 12.",5440,5538,97,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00038,doc_2ca9,38,What's new in IBM Spectrum LSF Version 10.1,5538,5581,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00039,doc_2ca9,39,"Fix Pack 11
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 11.",5582,5680,97,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00040,doc_2ca9,40,What's new in IBM Spectrum LSF Version 10.1,5680,5723,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00041,doc_2ca9,41,"Fix Pack 10
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 10.",5724,5822,97,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00042,doc_2ca9,42,What's new in IBM Spectrum LSF Version 10.1,5822,5865,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00043,doc_2ca9,43,"Fix Pack 9
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 9.",5866,5962,95,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00044,doc_2ca9,44,What's new in IBM Spectrum LSF Version 10.1,5962,6005,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00045,doc_2ca9,45,"Fix Pack 8
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 8.",6006,6102,95,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00046,doc_2ca9,46,What's new in IBM Spectrum LSF Version 10.1,6102,6145,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00047,doc_2ca9,47,"Fix Pack 7
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 7.",6146,6242,95,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00048,doc_2ca9,48,What's new in IBM Spectrum LSF Version 10.1,6242,6285,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00049,doc_2ca9,49,"Fix Pack 6
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 6.",6286,6382,95,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00050,doc_2ca9,50,What's new in IBM Spectrum LSF Version 10.1,6382,6425,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00051,doc_2ca9,51,"Fix Pack 5
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 5.",6426,6521,95,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00052,doc_2ca9,52,This Fix Pack applies only to IBM POWER9 platforms.,6522,6574,51,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00053,doc_2ca9,53,What's new in IBM Spectrum LSF Version 10.1,6574,6617,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00054,doc_2ca9,54,"Fix Pack 4
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 4",6618,6713,94,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00055,doc_2ca9,55,"What's new in IBM Spectrum LSF Version 10.1.0 Fix Pack 3
 The following topics summarize the new and changed behavior in LSF 10.1.0 Fix Pack 3
What's new in IBM Spectrum LSF Version 10.1 Fix Pack 2",6713,6912,197,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00056,doc_2ca9,56,The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 2,6912,6995,82,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00057,doc_2ca9,57,What's new in IBM Spectrum LSF Version 10.1,6995,7038,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00058,doc_2ca9,58,"Fix Pack 1
 The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 1",7039,7134,94,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00059,doc_2ca9,59,What's new in IBM Spectrum LSF Version 10.1,7134,7179,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00060,doc_2ca9,60,The following topics summarize the new and changed behavior in LSF 10.1.,7179,7252,72,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00061,doc_2ca9,61,What's new in IBM Spectrum LSF Version 10.1,7252,7295,43,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00062,doc_2ca9,62,"Fix Pack 15
The following topics summarize the new and changed behavior in LSF 10.1 Fix Pack 15.",7296,7393,96,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00063,doc_2ca9,63,Download this Fix Pack from IBM Fix Central.,7393,7437,44,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00064,doc_2ca9,64,"For more information, see Getting ﬁxes from IBM Fix Central.",7438,7499,60,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00065,doc_2ca9,65,Release date: May 2025.,7499,7523,23,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00066,doc_2ca9,66,"Operating system versions
When a speciﬁc release or version of an operating system reaches end of life (EOL) or its end of support date, the operating system vendor no longer
supports and releases updates for the product, including automatic ﬁxes, updates, and online technical assistance.",7523,7813,289,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00067,doc_2ca9,67,"LSF, in turn, is not tested on EOL operating systems. If you have extended support to continue to use EOL operating systems, you can use these
operating system versions with LSF. Any issue with using LSF will be supported only if it can be reproduced on a supported operating system.",7813,8097,283,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00068,doc_2ca9,68,"Before applying Fix Pack 15, ensure that you use one of the supported operating systems.",8097,8186,88,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00069,doc_2ca9,69,"Obsolete items no longer supported
As of Fix Pack 15, these LSF items are obsolete and no longer supported:
lsf10.1_linux2.6-glibc2.3-x86_64.tar.",8186,8331,145,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00070,doc_2ca9,70,"Z installation package
Fix Pack 15 introduces the new linux4.18 packages. Subsequently, the linux2.6 package (lsf10.1_linux2.6-glibc2.3-x86_64.tar.",8331,8478,147,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00071,doc_2ca9,71,") is no longer
available for IBM ﬁx packs or IBM support issues.",8479,8544,64,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00072,doc_2ca9,72,"LSF with EGO-enabled SLA scheduling
LSF with EGO-enabled SLA scheduling is no longer supported and is obsolete.",8544,8655,111,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00073,doc_2ca9,73,"You can, however, continue to conﬁgure EGO for LSF daemon
management so that EGO serves as the central resource broker for LSF, and you can use EGO to run LSF daemons.",8656,8824,167,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00074,doc_2ca9,74,"LSB_GPU_NEW_SYNTAX parameter no longer supports Y or y values
The Y or y values for the LSB_GPU_NEW_SYNTAX parameter are no longer supported and are obsolete for the lsf.conf conﬁguration ﬁle.",8824,9016,192,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00075,doc_2ca9,75,"You
can continue use LSB_GPU_NEW_SYNTAX=N|n|extend.",9017,9069,51,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00076,doc_2ca9,76,"LSB_TIME_RESERVE_NUMJOBS parameter no longer supported
The LSB_TIME_RESERVE_NUMJOBS parameter is no longer supported in the lsf.conf ﬁle and time-based slot reservations are obsolete.",9069,9252,183,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00077,doc_2ca9,77,"For
more sophisticated reservation behavior, employ plan-based reservations instead.",9253,9338,84,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00078,doc_2ca9,78,"New linux4.18 packages for LSF on Linux x86
Fix Pack 15 introduces new LSF binary packages for Linux x86 targeting kernel version 4.18 and glibc 2.28 or later. The following linux4.18 packages
are available:",9338,9546,207,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00079,doc_2ca9,79,"Product offering Package name
IBM Spectrum LSF lsf10.1_lnx418-lib228-x86_64.tar.",9546,9626,80,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00080,doc_2ca9,80,"Z
IBM Spectrum LSF Data Manager lsf10.1_data_mgr-lnx418-x64.tar.",9626,9690,64,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00081,doc_2ca9,81,"Z
IBM Spectrum LSF License Schedulerlsf10.1_licsched_lnx418-x64.tar.",9690,9758,68,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00082,doc_2ca9,82,"Z
This newly supported package requires a new LSF installer. Download the latest LSF installer and linux4.18 packages from IBM Passport Advantage.",9758,9905,146,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00083,doc_2ca9,83,"You can install the linux4.18 package new; or if you have an existing LSF cluster, you can install it on top of your cluster and preserve your current
conﬁguration settings.",9905,10079,173,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00084,doc_2ca9,84,"Note these operating system requirements for your installation:
The libtirpc package is required to run LSF daemons and client commands, and is required inside the container image (such as a Podman or
Docker image) to be able to run LSF commands inside the container. To install the libtirpc package; for example:
yum install libtirpc",10079,10414,334,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00085,doc_2ca9,85,"The libnsl package is not required to simply run LSF daemons and client commands; it is, however, required if you use LSF's NIS integration. To
install the libnsl package; for example:
yum install libnsl
Subsequently, the linux2.6 package (lsf10.1_linux2.6-glibc2.3-x86_64.tar.",10414,10691,277,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00086,doc_2ca9,86,Z) is no longer available for IBM ﬁx packs or IBM support issues.,10691,10757,65,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00087,doc_2ca9,87,"New LSF Web Services offering
IBM Spectrum LSF Web Services (LSF Web Services) is a new offering with Fix Pack 15.",10757,10871,114,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00088,doc_2ca9,88,"Use LSF Web Services to access LSF from anywhere, making
it easier for your to connect to your LSF cluster. For installation and usage, see LSF Web Services.",10872,11030,157,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00089,doc_2ca9,89,"New lsfd.service ﬁle compatible with the lsadmin, badmin, and btrld commands
The /usr/lib/systemd/system/lsfd.service ﬁle and the child service ﬁles introduced in Fix Pack 14 for each LSF daemon are now obsolete.",11030,11242,212,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00090,doc_2ca9,90,"Fix Pack 15
introduces a new lsfd.service ﬁle that is compatible with the lsadmin, badmin, and btrld commands to start, stop, or restart the key LSF daemons
(LIM, RES, and sbatchd).",11243,11425,181,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00091,doc_2ca9,91,"If any of the key LSF daemons fail, the startup and shutdown script for LSF daemons ($LSF_SERVERDIR/lsf_daemons) now automatically restarts the
necessary daemons.",11425,11588,162,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00092,doc_2ca9,92,"Note that with the lsf_daemons script, some necessary processes run in the background, such as the lsf_daemons service_start process.",11588,11721,133,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00093,doc_2ca9,93,"Do not kill
these background processes, as they are required to monitor the LIM, RES, and sbatchd daemons. If you kill a process, the lsfd.service process
automatically restarts and thus, all LSF processes are killed and new LSF processes will be started with a new lsf_daemons service_start process.",11722,12023,300,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00094,doc_2ca9,94,"Updated hwloc version for portable hardware locality
LSF now uses version 2.11.1 of the hardware locality (hwloc) library for portable hardware locality.",12023,12177,153,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00095,doc_2ca9,95,"Conﬁgure how LSF sets the cpu.shares and cpu.weight values for jobs on hosts
enabled for Linux cgroups
If the CPU cgroup subsystem is enabled for v1 or v2 Linux cgroups, and the LSF_LINUX_CGROUP_ACCT=Y setting is conﬁgured in the lsf.conf ﬁle, LSF
will create a cgroup for each job on each execution host.",12177,12482,305,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00096,doc_2ca9,96,"Historically, to deﬁne CPU limits, LSF used the OS default for setting for cpu.shares
(cgroups v1) and cpu.weight (cgroups v2), which meant that regardless a job's CPU intensity, it received the same share or weight of the CPU as all
other running jobs.",12483,12737,253,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00097,doc_2ca9,97,"In Fix Pack 15, LSF sets the cpu.shares and cpu.weight values to the number of cores the job will be using on the host, so that jobs that are less
CPU intensive can be given a fraction of the CPU share or weight of other jobs.",12737,12963,226,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00098,doc_2ca9,98,"The new LSB_CGROUP_CPU_SHARES_OLD_DEFAULT parameter
controls the default or initial value of the cpu.shares and cpu.weight cgroup interface values that LSF should consider when creating the cgroup
for the job. If set it to N or n, or left as undeﬁned, cpu.shares and cpu.weight values are relative to the number of tasks the job will run on a
particular execution host.",12964,13334,369,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00099,doc_2ca9,99,"To give jobs a percentage of the CPU share or weight of other jobs, set the new CGROUP_CPU_SHARES_FACTOR parameter in the lsb.applications
and lsb.queues ﬁles (for example, set CGROUP_CPU_SHARES_FACTOR=25).",13334,13540,206,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00100,doc_2ca9,100,"The initial values for cpu.shares and cpu.weight will be scaled by this
CGROUP_CPU_SHARES_FACTOR value if conﬁgured.",13541,13657,116,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00101,doc_2ca9,101,"You can view this CGROUP_CPU_SHARES_FACTOR percentage by running bapp -l or bqueues -l
commands and viewing the command output.",13658,13786,127,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00102,doc_2ca9,102,"The formula to calculate the CPU shares and weights differs based on the CGROUP_CPU_SHARES_FACTOR parameter conﬁguration:
If CGROUP_CPU_SHARES_FACTOR is not deﬁned
 cgroup v1 cpu.sharescgroup v2 cpu.weight
MXJ is deﬁned and LSB_CGROUP_CPU_SHARES_OLD_DEFAULT=N 1024*(number_of_tasks_on_host/MXJ)
Otherwise 1024 100
If CGROUP_CPU_SHARES_FACTOR is deﬁned
 cgroup v1 cpu.shares cgroup v2 cpu.weight
MXJ is deﬁned and
LSB_CGROUP_CPU_SHARES_OLD_DEFAULT=N1024*(CGROUP_CPU_SHARES_FACTOR/100)*
(number_of_tasks_on_host/MXJ)",13786,14301,514,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00103,doc_2ca9,103,"Otherwise (CGROUP_CPU_SHARES_FACTOR/100)
*1024(CGROUP_CPU_SHARES_FACTOR/100
)*100
Data compressed for all LIM communication
As of Fix Pack 15, all LIM operations and communication between the client and sever LIM are compressed using UDP as the transfer method. With
this, the LSF_SEND_CONFINFO_TCP_THRESHOLD parameter has been deprecated; use the new LSF_UDP_TO_TCP_THRESHOLD parameter instead.",14301,14696,395,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00104,doc_2ca9,104,"If
the package size is greater than the threshold speciﬁed for the LSF_UDP_TO_TCP_THRESHOLD parameter, then data is transferred using TCP.",14697,14836,138,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00105,doc_2ca9,105,"Additionally, this data compression impacts LSF API program compilation and linking with LSF API libraries.",14836,14943,107,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00106,doc_2ca9,106,"If you require building using the LSF API
library and Fix Pack 15, ensure that you:
1.",14944,15030,86,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00107,doc_2ca9,107,"Install the following data compression library:
For RHEL: zlib-devel
For Ubuntu: libz-dev
2.",15031,15123,92,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00108,doc_2ca9,108,"When linking LSF API programs with the LSF API library, add the -lz option.",15124,15200,75,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00109,doc_2ca9,109,"Submit jobs with a cluster afﬁnity request
You can now submit jobs with a cluster afﬁnity request, which allows you to group jobs together by cluster. Specify the cluster afﬁnity attribute name
for the enhanced -jobaff option for the bsub command (for example, run bsub -jobaff ""cluster_affinity (attribute_name)"").",15200,15515,315,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00110,doc_2ca9,110,"For more
details on cluster afﬁnity, conﬁguration, and command usage, see Cluster afﬁnity scheduling with attributes.",15516,15634,117,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00111,doc_2ca9,111,"Enhanced -sla option for the bsub command
When you deﬁne the -sla (service class) option for the bsub command, and the job is forwarded, the job now retains the -sla argument in the
forwarded cluster if the following are true:
1.",15634,15863,229,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00112,doc_2ca9,112,The service class deﬁned exists on forwarded cluster.,15864,15918,53,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00113,doc_2ca9,113,The job has appropriate access to the service class deﬁned.,15921,15981,59,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00114,doc_2ca9,114,"Both submission and execution clusters must be updated with Fix Pack 15 for this to work. See Submit a job to a service class (bsub -sla) for details
on usage.",15981,16141,159,1,2026-01-29T16:24:27Z
doc_2ca9_sent_00115,doc_2ca9,115,"New BJOBS_W_DISPLAY_MEM_SWAP_PIDS environment variable for displaying
MEM , SWAP , and PIDS details
Fix Pack 15 provides a new BJOBS_W_DISPLAY_MEM_SWAP_PIDS environment variable. Use it to manage whether to display the MEM, SWAP, and
PIDS details when querying jobs with the bjobs-W command.",16141,16433,291,1,2026-01-29T16:24:27Z
