id,doc_id,sentence_id,sentence_text,subj_text,subj_canonical_id,subj_canonical_term,rel_text_raw,rel_key,obj_text,obj_canonical_id,obj_canonical_term,method,created_at
12,doc_2ca9,doc_2ca9_sent_00133,"A cluster administrator can
set the new LSB_DOCKER_PASS_ENV parameter to Y in the lsf.conf ﬁle, so that the execution driver (starter, controller, or monitoring) scripts
inherit and use the job submission user's environment.
Forwarded pending and running jobs count towards the deﬁned job array limits in a
multicluster environment
A job array job slot limit is used to specify the maximum number of jobs submitted from a job array that is allowed to run at any one time. If job array
limits are deﬁned in a multicluster environment, forwarded jobs (in pending and running states) are counted towards the deﬁned limit.",A cluster administrator,578,cluster administrator,set to,set_to,Y,8137,y,openie_spacy,2026-01-30T04:00:21Z
13,doc_2ca9,doc_2ca9_sent_00149,"New RC_GET_HOST_METHOD parameter for the lsb.params ﬁle
When the LSF resource connector is enabled, use the new RC_GET_HOST_METHOD parameter to tell LSF the exact information (public IP
address, or private IP address, or instance name) to be used for host lookup. The RC_GET_HOST_METHOD parameter provides this
information efﬁciently, which helps improve LSF performance.",The RC_GET_HOST_METHOD parameter,12394,rc_get_host_method parameter,provide,provide,"this
information",11,information,openie_spacy,2026-01-30T04:00:21Z
14,doc_2ca9,doc_2ca9_sent_00156,LSF uses the template with the highest priority.,LSF,27,lsf,use,use,the template,184,template,openie_spacy,2026-01-30T04:00:21Z
15,doc_2ca9,doc_2ca9_sent_00157,"If LSF cannot choose a template based on priority (priority values are the same in the templates, or a value is not deﬁned and defaults to a
priority of 0), then:
Starting with Fix Pack 15, you can set the new RC_TEMPLATE_BY_RESREQ_ORDER parameter in the lsb.params conﬁguration ﬁle, LSF
looks for a template by an ordered set of resource requirements.",LSF,27,lsf,choose,choose,a template,184,template,openie_spacy,2026-01-30T04:00:21Z
16,doc_2ca9,doc_2ca9_sent_00160,"New LSB_RC_EXTERNAL_HOST_ABNORMAL_TIME parameter for the LSF resource
connector to control the time to wait before timing out hosts in an abnormal state
To allow the LSF resource connector to control the number of minutes",the LSF resource connector,28,lsf resource connector,control,control,the number,1336,number,openie_spacy,2026-01-30T04:00:21Z
17,doc_2ca9,doc_2ca9_sent_00164,"The PROV state shows that a job is requesting a resource (host) from the LSF resource connector
cloud provider, and is waiting for that host to join the LSF cluster.",a job,17,job,request,request,a resource,88,resource,openie_spacy,2026-01-30T04:00:21Z
18,doc_2ca9,doc_2ca9_sent_00164,"The PROV state shows that a job is requesting a resource (host) from the LSF resource connector
cloud provider, and is waiting for that host to join the LSF cluster.",that host,47,host,join,join,the LSF cluster,146,lsf cluster,openie_spacy,2026-01-30T04:00:21Z
19,doc_2ca9,doc_2ca9_sent_00165,"Additionally, the bjobs -l output for a provision job now include a message that
indicates when a request has been sent to cloud provider; for example:
Wed Jan 31 18:43:28: Sent resource connector request for 1*CENTOS-Template-NGVM-1 from provider ibmcloudgen2.",a request,190,request,send to,send_to,cloud provider,104,cloud provider,openie_spacy,2026-01-30T04:00:21Z
20,doc_2ca9,doc_2ca9_sent_00171,"Typically, the AWS provider can determine the
endpoint from the region name, but if the provider is running in an environment that does not provide public internet access, this endpoint is
unreachable. In this case, you can create a private endpoint (a non-default API endpoint URL used for requesting hosts through AWS); refer to the
AWS documentation for reference on creating this endpoint using the Amazon VPC console. Once created, you can then specify that endpoint for the
AWS_ENDPOINT_URL parameter.",the AWS provider,154,aws provider,determine,determine,"the
endpoint",2468,endpoint,openie_spacy,2026-01-30T04:00:21Z
21,doc_2ca9,doc_2ca9_sent_00171,"Typically, the AWS provider can determine the
endpoint from the region name, but if the provider is running in an environment that does not provide public internet access, this endpoint is
unreachable. In this case, you can create a private endpoint (a non-default API endpoint URL used for requesting hosts through AWS); refer to the
AWS documentation for reference on creating this endpoint using the Amazon VPC console. Once created, you can then specify that endpoint for the
AWS_ENDPOINT_URL parameter.",the provider,39,provider,run in,run_in,an environment,265,environment,openie_spacy,2026-01-30T04:00:21Z
22,doc_2ca9,doc_2ca9_sent_00177,"The ssacct command displays accounting statistics immediately for LSF Session
Scheduler jobs
The IBM Spectrum LSF Session Scheduler enables users to run large collections of tasks within the allocation of a single LSF job. The ssacct
command displays accounting statistics about ﬁnished LSF Session Scheduler jobs.",The IBM Spectrum LSF Session Scheduler,12420,lsf session,enable,enable,users,175,user,openie_spacy,2026-01-30T04:00:21Z
23,doc_2ca9,doc_2ca9_sent_00180,"Previously, to re-queue failed tasks, you speciﬁed individual task exist
codes, separating each code with a space, which can be a long manual list if you have multiple failed tasks. With Fix Pack 15, the command supports
the -Q ""all [~exit_code ...]",the command,45,command,support,support,the -Q,1463,q,openie_spacy,2026-01-30T04:00:21Z
24,doc_2ca9,doc_2ca9_sent_00180,"Previously, to re-queue failed tasks, you speciﬁed individual task exist
codes, separating each code with a space, which can be a long manual list if you have multiple failed tasks. With Fix Pack 15, the command supports
the -Q ""all [~exit_code ...]",the command,45,command,support with,support_with,Fix Pack,25,fix pack,openie_spacy,2026-01-30T04:00:21Z
25,doc_2ca9,doc_2ca9_sent_00183,"Additionally conﬁguring the new LSB_REPORT_SSJOB_FAILURE parameter in the lsf.conf ﬁle to Y enables the ssview command to obtain more
accurate task status information for LSF Session Scheduler jobs, as this parameter reports the reason that tasks have been killed or run
unsuccessfully.",this parameter,225,parameter,report,report,the reason,888,reason,openie_spacy,2026-01-30T04:00:21Z
26,doc_2ca9,doc_2ca9_sent_00198,The rate limiter is supported on Linux.,The rate limiter,2125,rate limiter,support on,support_on,Linux,2126,linux,openie_spacy,2026-01-30T04:00:21Z
27,doc_2ca9,doc_2ca9_sent_00206,"Mark dynamic hosts as expired and remove them from the cluster
LSF administrators can mark dynamic hosts that are no longer available, as expired, using the new lsadmin expire command.",Mark,5384,mark,mark,mark,dynamic hosts,996,dynamic host,openie_spacy,2026-01-30T04:00:21Z
28,doc_2ca9,doc_2ca9_sent_00217,"Note that if LSF is already installed on a server host, to leverage this enhanced behavior for the lsfd.service ﬁle, apply Fix Pack 14 and follow the
steps in the Fix Pack 14 readme ﬁle (SPCLSF-866 section).",LSF,27,lsf,instal on,instal_on,a server host,624,server host,openie_spacy,2026-01-30T04:00:21Z
29,doc_2ca9,doc_2ca9_sent_00220,"Automatically create cgroups for a job, without afﬁnity[] requirements
Previously, LSF created a cgroup for a job only when you explicitly specify afﬁnity[] requirements. With the new LSF_CGROUP_CORE_AUTO_CREATE
parameter in the lsf.conf conﬁguration ﬁle, you can now enable LSF to automatically create Linux cgroups for a job.",LSF,27,lsf,create,create,a cgroup,1595,cgroup,openie_spacy,2026-01-30T04:00:21Z
30,doc_2ca9,doc_2ca9_sent_00220,"Automatically create cgroups for a job, without afﬁnity[] requirements
Previously, LSF created a cgroup for a job only when you explicitly specify afﬁnity[] requirements. With the new LSF_CGROUP_CORE_AUTO_CREATE
parameter in the lsf.conf conﬁguration ﬁle, you can now enable LSF to automatically create Linux cgroups for a job.",LSF,27,lsf,create for,create_for,a job,17,job,openie_spacy,2026-01-30T04:00:21Z
31,doc_2ca9,doc_2ca9_sent_00236,"New host memory output ﬁelds for the bhosts command and the -o option
The bhosts -o command shows hosts and their static and dynamic resources, in a customized output format. With the -o option, you specify one or
more ﬁeld names to display in the command output, and Fix Pack 14 supports three new ﬁeld names:
available_mem displays the total currently available memory on the server (if processes outside of LSF uses memory on that server, this
value decreases).",available_mem,1075,available_mem,display on,display_on,the server,128,server,openie_spacy,2026-01-30T04:00:21Z
32,doc_2ca9,doc_2ca9_sent_00243,"LSF multiplies the value of
LSB_CLEAN_PDONE_TIMEOUT by the number of CLEAN_PERIOD seconds (deﬁned in the lsb.params conﬁguration ﬁle), to determine the number of
seconds to wait before the mbatchd daemon cleans those jobs from core memory.",the mbatchd daemon,93,mbatchd daemon,clean,clean,those jobs,2369,jobs,openie_spacy,2026-01-30T04:00:21Z
33,doc_2ca9,doc_2ca9_sent_00249,"New MAX_NUM_JOBS_KILL_OVER_RUNLIMIT parameter for the lsb.params
conﬁguration ﬁle
If many (such as thousands of) jobs reach their run limit, it takes time for the mbatchd daemon to kill those jobs using the
KILL_JOBS_OVER_RUNLIMIT parameter.",the mbatchd daemon,93,mbatchd daemon,kill,kill,those jobs,2369,jobs,openie_spacy,2026-01-30T04:00:21Z
34,doc_2ca9,doc_2ca9_sent_00254,LSF resource connector supports Amazon Web Services (AWS),LSF resource connector,28,lsf resource connector,support,support,Amazon Web Services,23935,amazon web service,openie_spacy,2026-01-30T04:00:21Z
35,doc_2ca9,doc_2ca9_sent_00266,"Container support
 The following new feature affects LSF support for containers.",Container support,12523,container support,affect,affect,LSF support,24140,lsf support,openie_spacy,2026-01-30T04:00:21Z
36,doc_2ca9,doc_2ca9_sent_00283,"Related tasks
Killing jobs by status
Related reference
bkill -stat command option
Job count based fair share scheduling
LSF can now use the number of jobs in the fair share scheduling algorithm instead of the number of job slots.",Related tasks,12527,related task,use,use,the number,1336,number,openie_spacy,2026-01-30T04:00:21Z
37,doc_2ca9,doc_2ca9_sent_00285,"In this situation, a job can use the entire
job slots, memory, or other resources that are available in the host.",a job,17,job,use in,use_in,this situation,2079,situation,openie_spacy,2026-01-30T04:00:21Z
38,doc_2ca9,doc_2ca9_sent_00288,"If this parameter is set to Y or y, LSF uses
the number of jobs in the fair share scheduling algorithm instead of job slots.",this parameter,225,parameter,set to,set_to,Y,8137,y,openie_spacy,2026-01-30T04:00:21Z
39,doc_2ca9,doc_2ca9_sent_00288,"If this parameter is set to Y or y, LSF uses
the number of jobs in the fair share scheduling algorithm instead of job slots.",LSF,27,lsf,use,use,the number,1336,number,openie_spacy,2026-01-30T04:00:21Z
40,doc_2ca9,doc_2ca9_sent_00295,The mbatchd daemon removes the job group once the TTL reaches zero.,The mbatchd daemon,93,mbatchd daemon,remove,remove,the job group,2576,job group,openie_spacy,2026-01-30T04:00:21Z
41,doc_2ca9,doc_2ca9_sent_00304,"If another allocation strategy is set, such as diversiﬁed, LSF does not automatically switch to the
cheapest template.",LSF,27,lsf,switch to,switch_to,"the
cheapest template",12557,cheap template,openie_spacy,2026-01-30T04:00:21Z
42,doc_2ca9,doc_2ca9_sent_00311,"Fix Pack 13, LSF automatically disables the template as the spot bid price is lesser than the market spot
price and redirects to the next available template.",Fix Pack,25,fix pack,disable,disable,the template,184,template,openie_spacy,2026-01-30T04:00:21Z
43,doc_2ca9,doc_2ca9_sent_00311,"Fix Pack 13, LSF automatically disables the template as the spot bid price is lesser than the market spot
price and redirects to the next available template.",LSF,27,lsf,disable,disable,the template,184,template,openie_spacy,2026-01-30T04:00:21Z
44,doc_2ca9,doc_2ca9_sent_00313,"This template is temporarily disabled until the market price drops or the price is manually increased in the
template. To manually increase the spot price, specify a greater bid price for the spotPrice parameter in the awsprov_templates.json ﬁle.",the price,12549,price,increase in,increase_in,"the
template",184,template,openie_spacy,2026-01-30T04:00:21Z
45,doc_2ca9,doc_2ca9_sent_00322,LSF handles global resources in the same way as local resources.,LSF,27,lsf,handle,handle,global resources,1548,global resource,openie_spacy,2026-01-30T04:00:21Z
46,doc_2ca9,doc_2ca9_sent_00326,"LSF also supports global limits to use global resources because local limits in the cluster cannot use global resources. Global limits now support the
compete distribution policy in addition to the evenly distribution policy.",LSF,27,lsf,support,support,global limits,4819,global limit,openie_spacy,2026-01-30T04:00:21Z
47,doc_2ca9,doc_2ca9_sent_00326,"LSF also supports global limits to use global resources because local limits in the cluster cannot use global resources. Global limits now support the
compete distribution policy in addition to the evenly distribution policy.",Global limits,4819,global limit,support in,support_in,addition,687,addition,openie_spacy,2026-01-30T04:00:21Z
48,doc_2ca9,doc_2ca9_sent_00329,"The bgpinfo command now displays information on global resources with the introduction of two subcommands: The bgpinfo resource
subcommand shows usage information on global resources and the bgpinfo policy subcommand shows the distribution policies for global resources
and global limits.",The bgpinfo command,3944,bgpinfo command,display,display,information,11,information,openie_spacy,2026-01-30T04:00:21Z
49,doc_2ca9,doc_2ca9_sent_00330,"The bhosts -s command option, which displays information about shared numeric resources on the hosts, also displays information
on global resources, since global resources are numeric and consumable.",The bhosts,202,bhost,display,display,information,11,information,openie_spacy,2026-01-30T04:00:21Z
50,doc_2ca9,doc_2ca9_sent_00334,"If this new parameter is not deﬁned,
the default value is Y (LSF can run the bwait from within a job).",LSF,27,lsf,run,run,the bwait,2005,bwait,openie_spacy,2026-01-30T04:00:21Z
51,doc_2ca9,doc_2ca9_sent_00340,GPU_MEM_RSV (%s): This new string describes GPU memory that is reserved by resized tasks on execution hosts.,GPU_MEM_RSV,12579,gpu_mem_rsv,describe,describe,GPU memory,1802,gpu memory,openie_spacy,2026-01-30T04:00:21Z
52,doc_2ca9,doc_2ca9_sent_00346,The Podman integration allows LSF to run jobs in Podman OCI containers on demand.,LSF,27,lsf,run,run,jobs,2369,jobs,openie_spacy,2026-01-30T04:00:21Z
53,doc_2ca9,doc_2ca9_sent_00346,The Podman integration allows LSF to run jobs in Podman OCI containers on demand.,LSF,27,lsf,run on,run_on,demand,189,demand,openie_spacy,2026-01-30T04:00:21Z
54,doc_2ca9,doc_2ca9_sent_00371,"121
Sample output of bacct -l command:
Accounting information about this job:
Share group charged
CPU_T WAIT TURNAROUND STATUS HOG_FACTOR MEM SWAP
480.00 0 121 done 3.9669 215M 0M
CPU_PEAK CPU_EFFICIENCY MEM_EFFICIENCY
Host based accounting information about this job:
HOST CPU_T MEM SWAP
ib22b11 240.00 115M 0M
ib16b14 240.00 100M 0M
Sample output of bjobs -o cpu_peak command:
CPU_PEAK
Sample output of bjobs -o cpu_efﬁciency command:
CPU_EFFICIENCY
Sample output of bjobs -o mem_efﬁciency command:
MEM_EFFICIENCY
Related reference
bjobs -l command
bhist command
bacct command
bjobs -o command
CPU_PEAK_SAMPLE_DURATION parameter
Other changes to IBM Spectrum LSF",Share group,1816,share group,charge,charge,CPU_T,2764,cpu_t,openie_spacy,2026-01-30T04:00:21Z
55,doc_2ca9,doc_2ca9_sent_00373,"Updated support for hardware locality (hwloc) library
LSF now uses version 2.6 of the hardware locality (hwloc) library.",LSF,27,lsf,use,use,version,5,version,openie_spacy,2026-01-30T04:00:21Z
56,doc_2ca9,doc_2ca9_sent_00401,"Related reference
Conﬁguration to modify external authentication
lsf.sudoers ﬁle
Root privileges for LSF Application Center, LSF Explorer, LSF Process Manager, and
LSF RTM
LSF now restricts root privileges on all hosts for LSF Application Center, LSF Explorer, LSF Process Manager, and LSF RTM by default.","LSF RTM
LSF",19734,lsf rtm lsf,restrict,restrict,root privileges,729,root privilege,openie_spacy,2026-01-30T04:00:21Z
57,doc_2ca9,doc_2ca9_sent_00405,"Support for additional Google Cloud Platform features
The LSF resource connector for Google Cloud Platform now includes support for the following Google Cloud Platform features:
Launch instance templates
You can now specify the launchTemplateId attribute to enable launch instance templates.",The LSF resource connector,28,lsf resource connector,include,include,support,12302,support,openie_spacy,2026-01-30T04:00:21Z
58,doc_2ca9,doc_2ca9_sent_00419,"LSF now supports preemptible VM instances through launch instance templates, but does not include an interface in the
googleprov_templates.json ﬁle.",LSF,27,lsf,support,support,preemptible VM instances,12669,preemptible vm instance,openie_spacy,2026-01-30T04:00:21Z
59,doc_2ca9,doc_2ca9_sent_00422,LSF then deletes the preempted instance.,LSF,27,lsf,delete,delete,the preempted instance,12671,preempted instance,openie_spacy,2026-01-30T04:00:21Z
60,doc_2ca9,doc_2ca9_sent_00431,"Google Cloud Platform automatically selects the zone in which to create your instances, considering the
available hardware capacity in each zone.",Google Cloud Platform,12654,google cloud platform,select,select,the zone,11880,zone,openie_spacy,2026-01-30T04:00:21Z
61,doc_2ca9,doc_2ca9_sent_00447,"If set to Y or y, LSF dynamically creates GPU instances (GI) and compute instances (CI) on each host, and LSF controls the MIG of each host. If
you enable dynamic MIC scheduling, do not manually create or destroy MIG devices outside of LSF.",LSF,27,lsf,control,control,the MIG,1758,mig,openie_spacy,2026-01-30T04:00:21Z
62,doc_2ca9,doc_2ca9_sent_00448,"If set to N or n, LSF uses static MIG scheduling.",LSF,27,lsf,use,use,static MIG scheduling,1624,static mig scheduling,openie_spacy,2026-01-30T04:00:21Z
63,doc_2ca9,doc_2ca9_sent_00451,"The lshosts -gpu command option now shows whether the GPU supports MIG functions. To view detailed information on MIG instances, use the new
-mig option together with the lshosts -gpu command option.",the GPU,1554,gpu,support,support,MIG functions,12680,mig function,openie_spacy,2026-01-30T04:00:21Z
64,doc_2ca9,doc_2ca9_sent_00482,"Container support
 The following new feature affects LSF support for containers.",Container support,12523,container support,affect,affect,LSF support,24140,lsf support,openie_spacy,2026-01-30T04:00:21Z
65,doc_2ca9,doc_2ca9_sent_00494,"In addition, if LSF_GPU_AUTOCONFIG is set to Y and LSB_GPU_NEW_SYNTAX is set to Y or extend, all built-in GPU resources (gpu_<num>n) are
completely removed from the management host LIM. LSF uses a different method for the management host LIM and server host LIMs to collect GPU
information.",LSF_GPU_AUTOCONFIG,13210,lsf_gpu_autoconfig,set to,set_to,Y,8137,y,openie_spacy,2026-01-30T04:00:21Z
66,doc_2ca9,doc_2ca9_sent_00494,"In addition, if LSF_GPU_AUTOCONFIG is set to Y and LSB_GPU_NEW_SYNTAX is set to Y or extend, all built-in GPU resources (gpu_<num>n) are
completely removed from the management host LIM. LSF uses a different method for the management host LIM and server host LIMs to collect GPU
information.",the management host,668,management host,collect,collect,"GPU
information",1635,gpu information,openie_spacy,2026-01-30T04:00:21Z
67,doc_2ca9,doc_2ca9_sent_00498,"This is because LSF RTM uses
LSF resources to get host GPU information.",LSF RTM,6903,lsf rtm,use,use,LSF resources,8563,lsf resource,openie_spacy,2026-01-30T04:00:21Z
68,doc_2ca9,doc_2ca9_sent_00509,"In addition, the lshosts -gpu and bhosts -gpu command options now show the GPU vendor type (AMD or Nvidia).",the lshosts,905,lshost,show in,show_in,addition,687,addition,openie_spacy,2026-01-30T04:00:21Z
69,doc_2ca9,doc_2ca9_sent_00519,"In addition, the lshosts -gpu and bhosts -gpu command options now show the GPU vendor type (AMD or Nvidia).",the lshosts,905,lshost,show in,show_in,addition,687,addition,openie_spacy,2026-01-30T04:00:21Z
70,doc_2ca9,doc_2ca9_sent_00530,"GPU jobs
can also use mode=shared if the GPU is used by only one shared-mode job.",GPU jobs,1553,gpu job,use,use,mode,1650,mode,openie_spacy,2026-01-30T04:00:21Z
71,doc_2ca9,doc_2ca9_sent_00533,"LSF then treats the GPU resources the same
as other preemptable resources.",LSF,27,lsf,treat,treat,the GPU resources,550,gpu resource,openie_spacy,2026-01-30T04:00:21Z
72,doc_2ca9,doc_2ca9_sent_00538,"Submit jobs as other users
LSF now allows a job submission user to submit jobs as another job execution user. This is useful if you want the job submission user to be a
particular user, but to map the job execution user to other users.",a job submission user,7624,job submission user,submit,submit,jobs,2369,jobs,openie_spacy,2026-01-30T04:00:21Z
73,doc_2ca9,doc_2ca9_sent_00540,"Note that the bsubmit command is not included with LSF; to use the command, you build it from the source at:
https://github.com/IBMSpectrumComputing/lsf-utils/tree/master/bsubmit.
Using the bsubmit example, you can deﬁne the execution users to which you can map submission users, create a conﬁguration ﬁle named
lsf.usermapping in the $LSF_ENVDIR directory to deﬁne the user mapping policy for the bsubmit command.",the bsubmit command,7623,bsubmit command,include with,include_with,LSF,27,lsf,openie_spacy,2026-01-30T04:00:21Z
74,doc_2ca9,doc_2ca9_sent_00542,"For example:
#Submission user or group # Execution users or groups
userA userB,userC,userD
groupA groupB
This lsf.usermapping conﬁguration ﬁle means that the userA user can submit jobs as userB, userC, or userD. Users in the groupA group can
submit jobs as any user in the groupB user group.",the userA user,7632,usera user,submit,submit,jobs,2369,jobs,openie_spacy,2026-01-30T04:00:21Z
75,doc_2ca9,doc_2ca9_sent_00542,"For example:
#Submission user or group # Execution users or groups
userA userB,userC,userD
groupA groupB
This lsf.usermapping conﬁguration ﬁle means that the userA user can submit jobs as userB, userC, or userD. Users in the groupA group can
submit jobs as any user in the groupB user group.",the userA user,7632,usera user,submit as,submit_as,userB,1172,userb,openie_spacy,2026-01-30T04:00:21Z
76,doc_2ca9,doc_2ca9_sent_00544,"For example, run the following command if the job submission user userA is submitting a
job as job execution user userC:
bsubmit --user",the job submission user,7624,job submission user,submit,submit,"a
job",17,job,openie_spacy,2026-01-30T04:00:21Z
77,doc_2ca9,doc_2ca9_sent_00548,"Launch IBM Cloud Gen 2 instances
LSF clusters can launch instances from IBM Cloud Virtual Servers for VPC Gen 2 (IBM Cloud Gen 2) to satisfy pending workload.",LSF clusters,146,lsf cluster,launch,launch,instances,36,instance,openie_spacy,2026-01-30T04:00:21Z
78,doc_2ca9,doc_2ca9_sent_00549,"The instances join
the LSF cluster.",The instances,36,instance,join,join,the LSF cluster,146,lsf cluster,openie_spacy,2026-01-30T04:00:21Z
79,doc_2ca9,doc_2ca9_sent_00566,"This allows users to use the bsub -rcacct ""rc_account_name"" command option to assign an account name. This account name overrides
all other values of the account name, including the setting of the project name.",users,175,user,use,use,the bsub,1331,bsub,openie_spacy,2026-01-30T04:00:21Z
80,doc_2ca9,doc_2ca9_sent_00567,"This also allows users to use an esub script to set the
LSB_SUB6_RC_ACCOUNT parameter to change the job level account name. This parameter value overrides the value of the
DEFAULT_RC_ACCOUNT_PER_PROJECT parameter in the lsb.params ﬁle and bsub or bmod -rcacct command options.",users,175,user,use,use,an esub script,12774,esub script,openie_spacy,2026-01-30T04:00:21Z
81,doc_2ca9,doc_2ca9_sent_00569,"Related tasks
Updating LSF conﬁguration for resource connector
Related reference
bsub -rcacct command option
bacct -rcacct and -rcalloc command options
ENABLE_RC_ACCOUNT_REQUEST_BY_USER parameter in the lsb.params ﬁle
DEFAULT_RC_ACCOUNT_PER_PROJECT parameter in the lsb.params ﬁle
Resource management
The following new features affect resource management and allocation.",Related tasks,12527,related task,affect,affect,resource management,12521,resource management,openie_spacy,2026-01-30T04:00:21Z
82,doc_2ca9,doc_2ca9_sent_00576,"For instance, if the average run time of jobs equals the average time required to ﬁll a slot after a job ﬁnishes, the slot usage in the cluster
will be approximately 50% of what it would be if scheduling overhead is zero.",the average run time,2755,average run time,equal,equal,the average time,12783,average time,openie_spacy,2026-01-30T04:00:21Z
83,doc_2ca9,doc_2ca9_sent_00593,"Therefore, the LSF installer no longer enables the setuid bit for the LSF administration commands (badmin, lsadmin, egosh, utmpreg, swtbl_api,
ntbl_api, lstbl_nid, and swtbl_poe), so the LSF commands no longer run with root privileges.",the LSF installer,9279,lsf installer,enable,enable,the setuid bit,730,setuid bit,openie_spacy,2026-01-30T04:00:21Z
84,doc_2ca9,doc_2ca9_sent_00593,"Therefore, the LSF installer no longer enables the setuid bit for the LSF administration commands (badmin, lsadmin, egosh, utmpreg, swtbl_api,
ntbl_api, lstbl_nid, and swtbl_poe), so the LSF commands no longer run with root privileges.",the LSF commands,437,lsf command,run with,run_with,root privileges,729,root privilege,openie_spacy,2026-01-30T04:00:21Z
85,doc_2ca9,doc_2ca9_sent_00595,"Related concepts
If you install LSF as a non-root user
Related tasks
Allowing LSF administrators to start LSF daemons with lsf.sudoers
Related reference
badmin command
bctrld command
lsadmin command
lsf.sudoers ﬁle
Restrict user access to the lsmake command
LSF can now restrict users from using the lsmake command to run make tasks on remote hosts.",LSF administrators,358,lsf administrator,start,start,LSF daemons,626,lsf daemon,openie_spacy,2026-01-30T04:00:21Z
86,doc_2ca9,doc_2ca9_sent_00597,"This parameter enables the LSF RES process to refuse remote connections from the lsrun and lsgrun commands unless the user is either an LSF
administrator or root, but this parameter now also enables RES to refuse remote connections from the lsmake command.",This parameter,225,parameter,enable,enable,the LSF RES process,12806,lsf res process,openie_spacy,2026-01-30T04:00:21Z
